model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,alpha,1.7,0.207,1.329,2.073,0.008,0.004,670.0,1102.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,log_beta_order,0.605,0.035,0.537,0.667,0.001,0.001,1592.0,1351.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_salience,1.35,0.039,1.281,1.422,0.001,0.001,2783.0,1296.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.025,0.0,0.0,2324.0,1280.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.964,0.091,1.799,2.132,0.003,0.002,1068.0,1452.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_reliability_form,1.881,0.082,1.738,2.048,0.003,0.002,987.0,1466.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_sufficient_form_pair,0.658,0.086,0.492,0.815,0.003,0.002,1091.0,1317.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_three_word_penalty,0.916,0.079,0.772,1.073,0.003,0.002,907.0,1227.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,tau,0.879,0.087,0.723,1.045,0.004,0.002,496.0,606.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,alpha,1.724,0.201,1.364,2.12,0.008,0.004,680.0,1179.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,log_beta_order,0.603,0.035,0.536,0.666,0.001,0.001,1344.0,1428.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_salience,1.349,0.04,1.267,1.417,0.001,0.001,2416.0,1624.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.026,0.0,0.0,2119.0,1059.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_sufficient_single,1.96,0.088,1.807,2.139,0.003,0.002,995.0,1286.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_reliability_form,1.886,0.082,1.726,2.033,0.002,0.001,1106.0,1402.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_sufficient_form_pair,0.66,0.083,0.497,0.81,0.003,0.002,908.0,1273.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_three_word_penalty,0.922,0.076,0.778,1.061,0.003,0.002,840.0,1139.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,tau,0.884,0.086,0.72,1.04,0.004,0.002,559.0,829.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,alpha,2.022,0.21,1.631,2.403,0.009,0.005,562.0,693.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,log_beta_order,0.658,0.035,0.59,0.719,0.001,0.001,1879.0,1439.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_salience,1.416,0.043,1.337,1.491,0.001,0.001,2248.0,1500.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,rho_salience_stop,0.019,0.019,0.0,0.055,0.0,0.001,1891.0,1113.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.719,0.104,1.529,1.913,0.004,0.002,661.0,873.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_reliability_form,2.318,0.095,2.134,2.494,0.003,0.002,862.0,1161.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_sufficient_form_pair,0.738,0.093,0.55,0.897,0.004,0.002,655.0,1140.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_three_word_penalty,1.152,0.081,1.002,1.308,0.003,0.002,686.0,910.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_size_sharp_single_bonus,1.216,0.153,0.95,1.529,0.004,0.003,1465.0,1297.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_size_sharp_form_pair_penalty,1.085,0.136,0.836,1.333,0.003,0.003,2340.0,1326.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,tau,0.936,0.082,0.776,1.084,0.003,0.002,608.0,1071.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,alpha,2.021,0.206,1.653,2.42,0.009,0.005,550.0,970.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,log_beta_order,0.656,0.034,0.59,0.718,0.001,0.001,1442.0,1569.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,lambda_salience,1.414,0.044,1.33,1.493,0.001,0.001,2127.0,1622.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,rho_salience_stop,0.019,0.019,0.0,0.052,0.0,0.001,1601.0,1072.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,lambda_sufficient_single,1.722,0.101,1.523,1.899,0.003,0.002,848.0,1171.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,lambda_reliability_form,2.322,0.093,2.145,2.497,0.003,0.002,928.0,1313.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,lambda_sufficient_form_pair,0.741,0.091,0.577,0.914,0.003,0.002,875.0,1177.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,lambda_three_word_penalty,1.153,0.08,1.008,1.302,0.003,0.001,852.0,1117.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,lambda_size_sharp_single_bonus,1.218,0.158,0.921,1.513,0.004,0.003,1425.0,1390.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,lambda_size_sharp_form_pair_penalty,1.072,0.134,0.825,1.323,0.003,0.003,2469.0,1470.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,tau,0.938,0.082,0.782,1.086,0.004,0.002,513.0,1016.0,1.01
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,alpha,2.549,0.178,2.192,2.865,0.006,0.004,947.0,1117.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,log_beta_order,0.649,0.033,0.586,0.708,0.001,0.001,1817.0,1340.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_salience,1.505,0.04,1.436,1.588,0.001,0.001,2310.0,1492.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,rho_salience_stop,0.014,0.014,0.0,0.038,0.0,0.0,1839.0,989.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.209,0.071,1.063,1.33,0.002,0.001,1971.0,1470.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_reliability_form,2.509,0.078,2.373,2.664,0.002,0.002,2369.0,1676.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_three_word_penalty,1.397,0.055,1.294,1.5,0.001,0.001,2030.0,1652.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_size_reliability_single_bonus,1.766,0.14,1.5,2.03,0.003,0.003,2348.0,1306.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_size_reliability_form_pair_tradeoff,0.228,0.069,0.114,0.372,0.001,0.001,2428.0,1348.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,tau,1.026,0.079,0.872,1.169,0.003,0.001,902.0,1237.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,alpha,2.568,0.177,2.256,2.899,0.006,0.004,853.0,1211.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,log_beta_order,0.647,0.033,0.578,0.705,0.001,0.001,1911.0,1325.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,lambda_salience,1.504,0.04,1.436,1.586,0.001,0.001,2222.0,1386.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,rho_salience_stop,0.014,0.014,0.0,0.038,0.0,0.0,2257.0,1181.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,lambda_sufficient_single,1.207,0.073,1.069,1.344,0.002,0.002,1763.0,1254.0,1.0
