relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.012169611307420494,0.0035335689045936395,0.02120141342756184,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.06270671378091873,0.04240282685512368,0.0812720848056537,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.3102296819787986,0.2703180212014134,0.3498233215547703,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.07621201413427561,0.053003533568904596,0.0998674911660777,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.043070671378091875,0.026501766784452298,0.061837455830388695,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.061003533568904596,0.04063604240282685,0.0821996466431095,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.004841552838526365,0.0017667844522968198,0.01060070671378092,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.09358303886925795,0.06713780918727916,0.11837455830388692,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.18879505300353358,0.15724381625441697,0.22614840989399293,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.04360424028268551,0.02734098939929329,0.061837455830388695,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.05891519434628975,0.04063604240282685,0.07950530035335689,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.0027090694935217904,0.0017667844522968198,0.00530035335689046,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.005897834406111168,0.0017667844522968198,0.012367491166077738,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.031469964664310957,0.0176678445229682,0.04770318021201413,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.00700921045009558,0.0017667844522968198,0.014134275618374558,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.014807157057654076,0.005964214711729622,0.02584493041749503,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.0751530815109344,0.05168986083499006,0.09940357852882704,both | sharp
