model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,alpha,0.714,0.155,0.413,0.996,0.006,0.003,649.0,867.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,log_beta_order,0.674,0.031,0.619,0.735,0.001,0.001,726.0,1000.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,lambda_salience,1.313,0.043,1.235,1.395,0.001,0.001,1183.0,1103.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,rho_salience_stop,0.096,0.059,0.001,0.198,0.002,0.001,1024.0,792.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,lambda_sufficient_single,2.024,0.079,1.873,2.169,0.002,0.002,1187.0,1067.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,lambda_reliability_form,1.425,0.063,1.31,1.543,0.001,0.001,2017.0,1445.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,epsilon,0.003,0.003,0.0,0.009,0.0,0.0,1314.0,779.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,tau,0.624,0.097,0.453,0.815,0.007,0.003,204.0,551.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,alpha,0.707,0.156,0.424,1.017,0.005,0.003,825.0,1009.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,log_beta_order,0.675,0.03,0.618,0.732,0.001,0.001,1003.0,1191.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,lambda_salience,1.312,0.043,1.23,1.391,0.001,0.001,1366.0,1388.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,rho_salience_stop,0.098,0.059,0.002,0.2,0.002,0.001,954.0,865.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,lambda_sufficient_single,2.023,0.079,1.875,2.162,0.002,0.002,1419.0,1395.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,lambda_reliability_form,1.427,0.065,1.304,1.547,0.001,0.002,2422.0,1078.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,epsilon,0.004,0.003,0.0,0.01,0.0,0.0,1294.0,896.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,tau,0.629,0.097,0.447,0.807,0.006,0.003,234.0,485.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec,alpha,2.492,4.346,0.0,10.923,2.131,1.264,7.0,43.0,1.55
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec,log_beta_order,1.057,1.012,0.416,2.872,0.501,0.29,7.0,40.0,1.54
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec,lambda_salience,1.552,0.333,1.247,2.277,0.149,0.097,8.0,45.0,1.52
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec,rho_salience_stop,0.589,1.019,0.0,2.496,0.503,0.294,7.0,35.0,1.53
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec,lambda_sufficient_single,2.957,0.438,2.577,3.765,0.215,0.122,7.0,39.0,1.53
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec,lambda_reliability_form,1.495,0.199,1.268,1.892,0.094,0.052,7.0,35.0,1.53
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec,epsilon,0.135,0.228,0.0,0.539,0.113,0.065,7.0,27.0,1.54
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec,tau,0.067,0.062,0.005,0.185,0.024,0.015,6.0,33.0,1.82
principled_salience_stop_regularized_responsepolicy_2x2_glob_static,alpha,2.466,4.3,0.0,10.795,2.108,1.248,7.0,54.0,1.54
principled_salience_stop_regularized_responsepolicy_2x2_glob_static,log_beta_order,1.059,1.012,0.425,2.881,0.501,0.29,7.0,42.0,1.54
principled_salience_stop_regularized_responsepolicy_2x2_glob_static,lambda_salience,1.553,0.331,1.222,2.273,0.15,0.098,7.0,45.0,1.54
principled_salience_stop_regularized_responsepolicy_2x2_glob_static,rho_salience_stop,0.592,1.022,0.0,2.498,0.505,0.294,7.0,29.0,1.55
principled_salience_stop_regularized_responsepolicy_2x2_glob_static,lambda_sufficient_single,2.96,0.439,2.6,3.784,0.216,0.123,7.0,46.0,1.54
principled_salience_stop_regularized_responsepolicy_2x2_glob_static,lambda_reliability_form,1.496,0.198,1.273,1.887,0.093,0.052,7.0,45.0,1.54
principled_salience_stop_regularized_responsepolicy_2x2_glob_static,epsilon,0.135,0.228,0.0,0.539,0.113,0.065,7.0,35.0,1.54
principled_salience_stop_regularized_responsepolicy_2x2_glob_static,tau,0.06,0.054,0.006,0.163,0.019,0.011,7.0,42.0,1.66
