relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.012169611307420494,0.0035335689045936395,0.022968197879858657,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.062886925795053,0.04240282685512368,0.08480565371024736,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.3099187279151943,0.27208480565371024,0.34898409893992927,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.0773957597173145,0.053003533568904596,0.10070671378091872,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.04311660777385159,0.026501766784452298,0.06276501766784448,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.06106360424028268,0.041475265017667844,0.0812720848056537,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.00449234908877222,0.0017667844522968198,0.01060070671378092,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.0925547703180212,0.0706713780918728,0.11837455830388692,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.18861837455830388,0.15547703180212014,0.22084805653710246,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.04425088339222615,0.029107773851590107,0.061837455830388695,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.05836749116607774,0.04063604240282685,0.07950530035335689,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.0025704259913623875,0.0017667844522968198,0.00530035335689046,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.006116352774033733,0.0017667844522968198,0.012367491166077738,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.031325088339222616,0.0176678445229682,0.04686395759717311,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.0069802467705497315,0.0017667844522968198,0.014134275618374558,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.01473558648111332,0.005964214711729622,0.02584493041749503,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.07524453280318091,0.05168986083499006,0.09940357852882704,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.37553876739562625,0.3289761431411531,0.42147117296222664,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.09220675944333996,0.06759443339960239,0.11833996023856853,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.051129224652087475,0.033797216699801194,0.07157057654075547,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.049312127236580516,0.02982107355864811,0.073558648111332,both | sharp
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.00471145728369509,0.0019880715705765406,0.011928429423459244,both | sharp
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.0903300198807157,0.06560636182902585,0.1172962226640159,both | sharp
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.13058449304174952,0.10139165009940358,0.16302186878727634,both | sharp
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.030190854870775347,0.015904572564612324,0.0437375745526839,both | sharp
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.04827435387673956,0.03180914512922465,0.06863817097415502,both | sharp
both,sharp,11,FD,0.0,0.0,0.0,503,0.0028123939291082767,0.0019880715705765406,0.005964214711729622,both | sharp
both,sharp,12,FDC,0.0,0.0,0.0,503,0.006853394401523349,0.0019880715705765406,0.013916500994035786,both | sharp
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.025184890656063618,0.011928429423459244,0.039761431411530816,both | sharp
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503,0.005373740463203684,0.0019880715705765406,0.011928429423459244,both | sharp
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.10722021660649819,0.07942238267148015,0.1399368231046931,first | blurred
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554,0.064014440433213,0.04332129963898917,0.08664259927797834,first | blurred
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554,0.3237545126353791,0.27978339350180503,0.36823104693140796,first | blurred
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554,0.14978339350180506,0.12093862815884476,0.18145306859205773,first | blurred
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554,0.08344043321299639,0.0631768953068592,0.10564079422382668,first | blurred
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554,0.02911552346570397,0.016245487364620937,0.04332129963898917,first | blurred
first,blurred,6,CD,0.0018050541516245488,0.0,0.005415162454873646,554,0.003069083898130023,0.0018050541516245488,0.007220216606498195,first | blurred
