model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,alpha,0.71,0.15,0.427,0.99,0.006,0.003,643.0,1124.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,log_beta_order,0.674,0.031,0.619,0.733,0.001,0.001,675.0,1208.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,lambda_salience,1.31,0.043,1.225,1.385,0.001,0.001,1651.0,1540.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,rho_salience_stop,0.096,0.059,0.0,0.195,0.002,0.001,997.0,814.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,lambda_sufficient_single,2.023,0.077,1.879,2.17,0.003,0.002,906.0,1186.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,lambda_reliability_form,1.424,0.064,1.302,1.539,0.001,0.001,2130.0,1154.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,tau,0.612,0.108,0.416,0.812,0.008,0.003,188.0,205.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,alpha,0.697,0.153,0.421,0.993,0.007,0.004,435.0,755.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,log_beta_order,0.675,0.031,0.622,0.737,0.001,0.001,550.0,1140.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,lambda_salience,1.31,0.043,1.233,1.391,0.001,0.001,1277.0,1220.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,rho_salience_stop,0.093,0.059,0.001,0.193,0.002,0.001,1054.0,876.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,lambda_sufficient_single,2.026,0.078,1.866,2.166,0.003,0.002,807.0,1234.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,lambda_reliability_form,1.424,0.065,1.306,1.541,0.001,0.002,1897.0,1444.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,tau,0.611,0.102,0.436,0.815,0.007,0.004,201.0,205.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,alpha,0.014,0.013,0.0,0.037,0.001,0.001,246.0,301.0,1.02
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,log_beta_order,0.474,0.024,0.432,0.521,0.001,0.001,518.0,877.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,lambda_salience,1.374,0.059,1.265,1.486,0.003,0.002,304.0,245.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,rho_salience_stop,0.004,0.004,0.0,0.011,0.0,0.0,216.0,539.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,lambda_sufficient_single,2.713,0.065,2.598,2.838,0.004,0.002,239.0,246.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,lambda_reliability_form,1.39,0.06,1.277,1.498,0.003,0.002,462.0,516.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,tau,0.032,0.026,0.008,0.094,0.01,0.008,9.0,25.0,1.4
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,alpha,0.014,0.013,0.0,0.037,0.001,0.001,410.0,498.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,log_beta_order,0.472,0.026,0.423,0.519,0.002,0.001,225.0,255.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,lambda_salience,1.379,0.062,1.264,1.493,0.005,0.002,144.0,360.0,1.04
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,rho_salience_stop,0.004,0.004,0.0,0.011,0.0,0.0,203.0,322.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,lambda_sufficient_single,2.702,0.066,2.587,2.831,0.005,0.003,205.0,214.0,1.03
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,lambda_reliability_form,1.382,0.061,1.271,1.498,0.004,0.002,298.0,677.0,1.02
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,tau,0.032,0.022,0.006,0.074,0.007,0.004,10.0,44.0,1.34
