model,relevant_property,sharpness,mae,rmse,max_abs_residual,worst_utterance_code,worst_utterance_label,worst_human_mean,worst_model_mean,worst_signed_residual,coverage_rate
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both,blurred,0.03597872059603033,0.056302749408445076,0.14097879858657245,4,DFC,0.030035335689045935,0.17101413427561837,0.14097879858657245,0.3333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both,sharp,0.03943519555118286,0.05689666171795666,0.14552286282306162,4,DFC,0.02982107355864811,0.17534393638170973,0.14552286282306162,0.3333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first,blurred,0.04037723343529615,0.07287101262308777,0.2348303249097473,3,DF,0.36462093862815886,0.12979061371841155,-0.2348303249097473,0.4666666666666667
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first,sharp,0.03948485095930922,0.05444285325019214,0.12863745019920317,4,DFC,0.021912350597609563,0.15054980079681274,0.12863745019920317,0.13333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second,blurred,0.03482653509323146,0.0661317313049952,0.22212698412698412,8,CF,0.26278659611992944,0.04065961199294532,-0.22212698412698412,0.13333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second,sharp,0.03297511606457874,0.06057196653306274,0.19609523809523807,8,CF,0.23015873015873015,0.03406349206349207,-0.19609523809523807,0.2
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,both,blurred,0.03610161374051404,0.05628585748949847,0.14052650176678447,4,DFC,0.030035335689045935,0.1705618374558304,0.14052650176678447,0.3333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,both,sharp,0.03947439163096277,0.05683850161789975,0.14545526838966205,4,DFC,0.02982107355864811,0.17527634194831015,0.14545526838966205,0.3333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,first,blurred,0.04035990354770456,0.0728131708949682,0.23471841155234657,3,DF,0.36462093862815886,0.1299025270758123,-0.23471841155234657,0.4666666666666667
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,first,sharp,0.03948295737957842,0.054410198133126246,0.12841035856573704,4,DFC,0.021912350597609563,0.1503227091633466,0.12841035856573704,0.13333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,second,blurred,0.03477590236331708,0.06596720302513333,0.22159788359788357,8,CF,0.26278659611992944,0.04118871252204585,-0.22159788359788357,0.13333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,second,sharp,0.03311700887372834,0.06063905105748495,0.19587301587301587,8,CF,0.23015873015873015,0.03428571428571429,-0.19587301587301587,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both,blurred,0.022391150396831597,0.03339284623770447,0.08169964664310952,8,CF,0.2703180212014134,0.18861837455830388,-0.08169964664310952,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both,sharp,0.03368071835249841,0.04712374134942515,0.12157455268389661,1,DC,0.19681908548707752,0.07524453280318091,-0.12157455268389661,0.26666666666666666
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,first,blurred,0.030333157783256078,0.05986277136432343,0.2148375451263538,3,DF,0.36462093862815886,0.14978339350180506,-0.2148375451263538,0.6
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,first,sharp,0.044604566313221405,0.06818630518255062,0.17286454183266928,2,DCF,0.2051792828685259,0.3780438247011952,0.17286454183266928,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,second,blurred,0.031947663339018356,0.056495539915592925,0.18316402116402114,8,CF,0.26278659611992944,0.07962257495590828,-0.18316402116402114,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,second,sharp,0.028264934304121244,0.05051010639085889,0.16503571428571429,8,CF,0.23015873015873015,0.06512301587301587,-0.16503571428571429,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,both,blurred,0.022383396260224158,0.03317934580169854,0.0809328621908127,8,CF,0.2703180212014134,0.1893851590106007,-0.0809328621908127,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,both,sharp,0.03371841493263133,0.047201122128246,0.12190854870775346,1,DC,0.19681908548707752,0.07491053677932406,-0.12190854870775346,0.26666666666666666
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,first,blurred,0.030241829203027572,0.05998969992293316,0.2154765342960289,3,DF,0.36462093862815886,0.14914440433212997,-0.2154765342960289,0.6
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,first,sharp,0.04471438574161488,0.06847102850462938,0.17417928286852588,2,DCF,0.2051792828685259,0.3793585657370518,0.17417928286852588,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,second,blurred,0.03195999992652323,0.056560525003896696,0.1834285714285714,8,CF,0.26278659611992944,0.07935802469135803,-0.1834285714285714,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,second,sharp,0.028151111913011995,0.050457331526954294,0.16510714285714284,8,CF,0.23015873015873015,0.0650515873015873,-0.16510714285714284,0.2
