relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,model,condition,signed_residual,abs_residual,human_mean_covered_by_model_ci,model_mean_covered_by_human_ci,residual_rank
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.17101413427561837,0.1431095406360424,0.19964664310954064,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,0.14097879858657245,0.14097879858657245,False,False,1
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.14408480565371024,0.11484098939929328,0.17314487632508835,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,-0.12623321554770317,0.12623321554770317,False,False,2
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.03397879858657244,0.01850706713780919,0.04946996466431095,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,-0.08262897526501767,0.08262897526501767,False,False,3
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.26348763250883395,0.22791519434628976,0.2968197879858657,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,-0.04569964664310949,0.04569964664310949,False,False,4
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.0702826855123675,0.05207597173144877,0.09010600706713781,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,0.02964664310954064,0.02964664310954064,False,False,5
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.03498233215547703,0.020273851590106008,0.053003533568904596,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,0.026148409893992933,0.026148409893992933,False,False,6
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.029936395759717314,0.0176678445229682,0.044169611307420496,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,0.024636042402826856,0.024636042402826856,False,False,7
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.02067137809187279,0.01060070671378092,0.032729681978798546,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,0.01713780918727915,0.01713780918727915,False,False,8
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.04114487632508834,0.026501766784452298,0.05830388692579505,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,-0.010091872791519435,0.010091872791519435,True,True,9
both,blurred,14,FCD,0.0,0.0,0.0,566,0.009891154724906695,0.0035335689045936395,0.0176678445229682,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | blurred,0.009891154724906695,0.009891154724906695,False,False,10
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.17534393638170973,0.14209741550695826,0.21073558648111332,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,0.14552286282306162,0.14552286282306162,False,False,1
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.08766202783300199,0.061630218687872766,0.11530815109343936,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,-0.10915705765407553,0.10915705765407553,False,False,2
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.11927236580516899,0.09239562624254473,0.147117296222664,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,-0.08351093439363817,0.08351093439363817,False,False,3
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.03149105367793241,0.016848906560636184,0.04875745526838962,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,-0.0520079522862823,0.0520079522862823,False,False,4
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.27016302186878727,0.22758449304174952,0.3121272365805169,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,-0.04196421471172962,0.04196421471172962,True,False,5
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.05840954274353877,0.03777335984095427,0.08056660039761426,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,0.03654075546719682,0.03654075546719682,False,False,6
both,sharp,5,C,0.0,0.0,0.0,503,0.032043737574552686,0.017892644135188866,0.05168986083499006,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,0.032043737574552686,0.032043737574552686,False,False,7
both,sharp,12,FDC,0.0,0.0,0.0,503,0.03111729622266402,0.015904572564612324,0.04875745526838962,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,0.03111729622266402,0.03111729622266402,False,False,8
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.021821073558648114,0.011928429423459244,0.03578528827037773,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,0.017844930417495034,0.017844930417495034,False,False,9
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.04158250497017892,0.02584493041749503,0.05964214711729622,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,both | sharp,0.01374950298210735,0.01374950298210735,True,True,10
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554,0.12979061371841155,0.10469314079422383,0.15703971119133575,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,-0.2348303249097473,0.2348303249097473,False,False,1
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554,0.15823465703971118,0.12815884476534295,0.18953068592057762,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,0.1257436823104693,0.1257436823104693,False,False,2
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554,0.24230324909747292,0.20663357400722024,0.27978339350180503,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,-0.05733574007220216,0.05733574007220216,False,False,3
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.10810469314079423,0.08027978339350181,0.1399368231046931,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,0.05214801444043322,0.05214801444043322,False,False,4
first,blurred,13,FC,0.016245487364620937,0.007220216606498195,0.02707581227436823,554,0.04693140794223827,0.02888086642599278,0.0631768953068592,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,0.03068592057761733,0.03068592057761733,False,False,5
first,blurred,12,FDC,0.0036101083032490976,0.0,0.009025270758122744,554,0.027906137184115522,0.01444043321299639,0.04151624548736462,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,0.024296028880866426,0.024296028880866426,False,False,6
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554,0.06345126353790613,0.04151624548736462,0.08664259927797834,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,0.020129963898916962,0.020129963898916962,True,False,7
first,blurred,9,CFD,0.0,0.0,0.0,554,0.01919494584837545,0.009025270758122744,0.029828519855595627,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,0.01919494584837545,0.01919494584837545,False,False,8
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554,0.021375451263537903,0.010830324909747292,0.03429602888086643,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,0.015960288808664257,0.015960288808664257,False,False,9
first,blurred,8,CF,0.08664259927797834,0.06498194945848375,0.11191335740072202,554,0.09438989169675091,0.07220216606498195,0.11647111913357397,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | blurred,0.007747292418772575,0.007747292418772575,True,True,10
first,sharp,4,DFC,0.021912350597609563,0.0099601593625498,0.03386454183266932,502,0.15054980079681274,0.11952191235059761,0.18232071713147407,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,0.12863745019920317,0.12863745019920317,False,False,1
first,sharp,0,D,0.2689243027888446,0.2290836653386454,0.30876494023904383,502,0.16197211155378485,0.12749003984063745,0.20423306772908364,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,-0.10695219123505975,0.10695219123505975,False,False,2
first,sharp,3,DF,0.23107569721115537,0.19516932270916335,0.2689243027888446,502,0.15505179282868525,0.12350597609561753,0.1852589641434263,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,-0.07602390438247011,0.07602390438247011,False,False,3
first,sharp,10,F,0.10159362549800798,0.07569721115537849,0.1294820717131474,502,0.0260597609561753,0.01195219123505976,0.0398406374501992,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,-0.07553386454183267,0.07553386454183267,False,False,4
first,sharp,8,CF,0.09362549800796813,0.06772908366533864,0.1195717131474101,502,0.05669322709163347,0.037848605577689244,0.07873505976095613,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,-0.03693227091633466,0.03693227091633466,False,False,5
first,sharp,1,DC,0.045816733067729085,0.027888446215139442,0.06573705179282868,502,0.07665338645418326,0.053784860557768925,0.10263944223107566,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,0.03083665338645418,0.03083665338645418,False,False,6
first,sharp,12,FDC,0.0,0.0,0.0,502,0.026649402390438247,0.013944223107569721,0.04287848605577685,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,0.026649402390438247,0.026649402390438247,False,False,7
first,sharp,2,DCF,0.2051792828685259,0.17131474103585656,0.24108565737051765,502,0.23177290836653386,0.1952191235059761,0.2739541832669322,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,0.02659362549800795,0.02659362549800795,True,True,8
first,sharp,13,FC,0.0099601593625498,0.00199203187250996,0.0199203187250996,502,0.02800796812749004,0.013944223107569721,0.043824701195219126,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,0.01804780876494024,0.01804780876494024,False,False,9
first,sharp,7,CDF,0.017928286852589643,0.00796812749003984,0.029880478087649404,502,0.03533067729083665,0.0199203187250996,0.05179282868525897,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,first | sharp,0.01740239043824701,0.01740239043824701,False,False,10
second,blurred,8,CF,0.26278659611992944,0.2257495590828924,0.2980599647266314,567,0.04065961199294532,0.024691358024691357,0.0564373897707231,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,-0.22212698412698412,0.22212698412698412,False,False,1
second,blurred,1,DC,0.0,0.0,0.0,567,0.08229629629629628,0.059964726631393295,0.10758377425044091,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,0.08229629629629628,0.08229629629629628,False,False,2
second,blurred,5,C,0.6278659611992945,0.5890652557319224,0.6684303350970018,567,0.7053932980599648,0.6586860670194004,0.7504850088183421,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,0.07752733686067026,0.07752733686067026,False,False,3
second,blurred,10,F,0.04409171075837742,0.02821869488536155,0.06172839506172839,567,0.0070114818414138145,0.001763668430335097,0.014109347442680775,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,-0.03708022891696361,0.03708022891696361,False,False,4
second,blurred,2,DCF,0.026455026455026454,0.014109347442680775,0.04056437389770723,567,0.06040564373897707,0.03963844797178131,0.08205467372134034,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,0.033950617283950615,0.033950617283950615,False,False,5
second,blurred,4,DFC,0.014109347442680775,0.005291005291005291,0.024691358024691357,567,0.03862081128747795,0.023765432098765433,0.0564373897707231,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,0.024511463844797174,0.024511463844797174,False,False,6
second,blurred,3,DF,0.0,0.0,0.0,567,0.014169432339105018,0.005291005291005291,0.026455026455026454,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,0.014169432339105018,0.014169432339105018,False,False,7
second,blurred,12,FDC,0.0,0.0,0.0,567,0.0070980426171683006,0.001763668430335097,0.014109347442680775,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,0.0070980426171683006,0.0070980426171683006,False,False,8
second,blurred,9,CFD,0.0,0.0,0.0,567,0.00525657358629159,0.001763668430335097,0.010582010582010581,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,0.00525657358629159,0.00525657358629159,False,False,9
second,blurred,6,CD,0.0,0.0,0.0,567,0.004476396105693565,0.001763668430335097,0.010582010582010581,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | blurred,0.004476396105693565,0.004476396105693565,False,False,10
second,sharp,8,CF,0.23015873015873015,0.19246031746031747,0.26587301587301587,504,0.03406349206349207,0.018799603174603177,0.0496031746031746,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | sharp,-0.19609523809523807,0.19609523809523807,False,False,1
second,sharp,1,DC,0.001984126984126984,0.0,0.005952380952380952,504,0.09967063492063492,0.07341269841269842,0.12698412698412698,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | sharp,0.09768650793650793,0.09768650793650793,False,False,2
second,sharp,2,DCF,0.001984126984126984,0.0,0.005952380952380952,504,0.0648968253968254,0.04365079365079365,0.09032738095238091,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,second | sharp,0.06291269841269842,0.06291269841269842,False,False,3
