conditions,relevant_property,sharpness,utterance_code,utterance_label,n,condition_n,empirical_proportion
brcf,both,blurred,0,D,2,567,0.003527336860670194
brcf,both,blurred,1,DC,15,567,0.026455026455026454
brcf,both,blurred,2,DCF,47,567,0.08289241622574955
brcf,both,blurred,3,DF,14,567,0.024691358024691357
brcf,both,blurred,4,DFC,6,567,0.010582010582010581
brcf,both,blurred,5,C,4,567,0.007054673721340388
brcf,both,blurred,6,CD,0,567,0.0
brcf,both,blurred,7,CDF,4,567,0.007054673721340388
brcf,both,blurred,8,CF,430,567,0.7583774250440917
brcf,both,blurred,9,CFD,2,567,0.003527336860670194
brcf,both,blurred,10,F,7,567,0.012345679012345678
brcf,both,blurred,11,FD,1,567,0.001763668430335097
brcf,both,blurred,12,FDC,0,567,0.0
brcf,both,blurred,13,FC,35,567,0.06172839506172839
brcf,both,blurred,14,FCD,0,567,0.0
brcf,both,sharp,0,D,2,504,0.003968253968253968
brcf,both,sharp,1,DC,7,504,0.013888888888888888
brcf,both,sharp,2,DCF,59,504,0.11706349206349206
brcf,both,sharp,3,DF,27,504,0.05357142857142857
brcf,both,sharp,4,DFC,11,504,0.021825396825396824
brcf,both,sharp,5,C,1,504,0.001984126984126984
brcf,both,sharp,6,CD,0,504,0.0
brcf,both,sharp,7,CDF,1,504,0.001984126984126984
brcf,both,sharp,8,CF,363,504,0.7202380952380952
brcf,both,sharp,9,CFD,0,504,0.0
brcf,both,sharp,10,F,2,504,0.003968253968253968
brcf,both,sharp,11,FD,0,504,0.0
brcf,both,sharp,12,FDC,0,504,0.0
brcf,both,sharp,13,FC,31,504,0.061507936507936505
brcf,both,sharp,14,FCD,0,504,0.0
brdc,both,blurred,0,D,0,566,0.0
brdc,both,blurred,1,DC,39,566,0.06890459363957598
brdc,both,blurred,2,DCF,175,566,0.30918727915194344
brdc,both,blurred,3,DF,48,566,0.08480565371024736
brdc,both,blurred,4,DFC,17,566,0.030035335689045935
brdc,both,blurred,5,C,5,566,0.0088339222614841
brdc,both,blurred,6,CD,5,566,0.0088339222614841
brdc,both,blurred,7,CDF,29,566,0.05123674911660778
brdc,both,blurred,8,CF,153,566,0.2703180212014134
brdc,both,blurred,9,CFD,2,566,0.0035335689045936395
brdc,both,blurred,10,F,66,566,0.1166077738515901
brdc,both,blurred,11,FD,1,566,0.0017667844522968198
brdc,both,blurred,12,FDC,3,566,0.00530035335689046
brdc,both,blurred,13,FC,23,566,0.04063604240282685
brdc,both,blurred,14,FCD,0,566,0.0
brdc,both,sharp,0,D,0,503,0.0
brdc,both,sharp,1,DC,99,503,0.19681908548707752
brdc,both,sharp,2,DCF,157,503,0.3121272365805169
brdc,both,sharp,3,DF,54,503,0.1073558648111332
brdc,both,sharp,4,DFC,15,503,0.02982107355864811
brdc,both,sharp,5,C,0,503,0.0
brdc,both,sharp,6,CD,6,503,0.011928429423459244
brdc,both,sharp,7,CDF,14,503,0.027833001988071572
brdc,both,sharp,8,CF,102,503,0.20278330019880716
brdc,both,sharp,9,CFD,2,503,0.003976143141153081
brdc,both,sharp,10,F,42,503,0.08349900596421471
brdc,both,sharp,11,FD,0,503,0.0
brdc,both,sharp,12,FDC,0,503,0.0
brdc,both,sharp,13,FC,11,503,0.02186878727634195
brdc,both,sharp,14,FCD,1,503,0.0019880715705765406
brdf,both,blurred,0,D,2,558,0.0035842293906810036
brdf,both,blurred,1,DC,10,558,0.017921146953405017
brdf,both,blurred,2,DCF,159,558,0.2849462365591398
brdf,both,blurred,3,DF,231,558,0.41397849462365593
brdf,both,blurred,4,DFC,18,558,0.03225806451612903
brdf,both,blurred,5,C,6,558,0.010752688172043012
brdf,both,blurred,6,CD,1,558,0.0017921146953405018
brdf,both,blurred,7,CDF,22,558,0.03942652329749104
brdf,both,blurred,8,CF,85,558,0.15232974910394265
brdf,both,blurred,9,CFD,4,558,0.007168458781362007
brdf,both,blurred,10,F,9,558,0.016129032258064516
brdf,both,blurred,11,FD,1,558,0.0017921146953405018
brdf,both,blurred,12,FDC,0,558,0.0
brdf,both,blurred,13,FC,9,558,0.016129032258064516
brdf,both,blurred,14,FCD,1,558,0.0017921146953405018
brdf,both,sharp,0,D,1,504,0.001984126984126984
brdf,both,sharp,1,DC,31,504,0.061507936507936505
brdf,both,sharp,2,DCF,116,504,0.23015873015873015
brdf,both,sharp,3,DF,146,504,0.2896825396825397
brdf,both,sharp,4,DFC,9,504,0.017857142857142856
brdf,both,sharp,5,C,50,504,0.0992063492063492
brdf,both,sharp,6,CD,0,504,0.0
brdf,both,sharp,7,CDF,18,504,0.03571428571428571
brdf,both,sharp,8,CF,109,504,0.21626984126984128
brdf,both,sharp,9,CFD,2,504,0.003968253968253968
brdf,both,sharp,10,F,5,504,0.00992063492063492
brdf,both,sharp,11,FD,1,504,0.001984126984126984
brdf,both,sharp,12,FDC,1,504,0.001984126984126984
brdf,both,sharp,13,FC,13,504,0.025793650793650792
brdf,both,sharp,14,FCD,2,504,0.003968253968253968
ercf,first,blurred,0,D,4,567,0.007054673721340388
ercf,first,blurred,1,DC,10,567,0.01763668430335097
ercf,first,blurred,2,DCF,29,567,0.05114638447971781
ercf,first,blurred,3,DF,4,567,0.007054673721340388
ercf,first,blurred,4,DFC,5,567,0.008818342151675485
ercf,first,blurred,5,C,365,567,0.6437389770723104
ercf,first,blurred,6,CD,0,567,0.0
ercf,first,blurred,7,CDF,4,567,0.007054673721340388
ercf,first,blurred,8,CF,136,567,0.23985890652557318
ercf,first,blurred,9,CFD,0,567,0.0
ercf,first,blurred,10,F,0,567,0.0
ercf,first,blurred,11,FD,0,567,0.0
ercf,first,blurred,12,FDC,1,567,0.001763668430335097
ercf,first,blurred,13,FC,9,567,0.015873015873015872
ercf,first,blurred,14,FCD,0,567,0.0
ercf,first,sharp,0,D,4,504,0.007936507936507936
ercf,first,sharp,1,DC,5,504,0.00992063492063492
ercf,first,sharp,2,DCF,15,504,0.02976190476190476
ercf,first,sharp,3,DF,5,504,0.00992063492063492
ercf,first,sharp,4,DFC,4,504,0.007936507936507936
ercf,first,sharp,5,C,351,504,0.6964285714285714
ercf,first,sharp,6,CD,0,504,0.0
ercf,first,sharp,7,CDF,7,504,0.013888888888888888
ercf,first,sharp,8,CF,102,504,0.20238095238095238
ercf,first,sharp,9,CFD,0,504,0.0
ercf,first,sharp,10,F,0,504,0.0
ercf,first,sharp,11,FD,0,504,0.0
ercf,first,sharp,12,FDC,0,504,0.0
ercf,first,sharp,13,FC,11,504,0.021825396825396824
ercf,first,sharp,14,FCD,0,504,0.0
erdc,first,blurred,0,D,31,554,0.05595667870036101
erdc,first,blurred,1,DC,24,554,0.04332129963898917
erdc,first,blurred,2,DCF,166,554,0.2996389891696751
erdc,first,blurred,3,DF,202,554,0.36462093862815886
erdc,first,blurred,4,DFC,18,554,0.032490974729241874
erdc,first,blurred,5,C,3,554,0.005415162454873646
erdc,first,blurred,6,CD,1,554,0.0018050541516245488
erdc,first,blurred,7,CDF,22,554,0.039711191335740074
erdc,first,blurred,8,CF,48,554,0.08664259927797834
erdc,first,blurred,9,CFD,0,554,0.0
erdc,first,blurred,10,F,21,554,0.03790613718411552
erdc,first,blurred,11,FD,5,554,0.009025270758122744
erdc,first,blurred,12,FDC,2,554,0.0036101083032490976
erdc,first,blurred,13,FC,9,554,0.016245487364620937
erdc,first,blurred,14,FCD,2,554,0.0036101083032490976
erdc,first,sharp,0,D,135,502,0.2689243027888446
erdc,first,sharp,1,DC,23,502,0.045816733067729085
erdc,first,sharp,2,DCF,103,502,0.2051792828685259
erdc,first,sharp,3,DF,116,502,0.23107569721115537
