candidate,baseline,semantics,sufficient_single_boost,reliability_form_boost,nonsufficient_colour_penalty,utterance_rmse_gain,category_rmse_gain,target_abs_residual_reduction_mean,target_worst_abs_residual_harm,target_harm_ok,forward_gate_pass,rank_score,recommended_for_gpu_pilot,utterance_rmse_gate,category_rmse_gate,target_residual_gate,max_target_harm
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,1.5,1.0,3.0,0.045936047730381735,0.08869481997409975,0.19892946315138552,0.08024429082722653,False,False,0.333560330855867,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,1.0,3.0,0.04594071639755075,0.08866285109221168,0.19889850170492146,0.08024422656596888,False,False,0.3335020691946839,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,1.5,1.5,3.0,0.045650725134136635,0.08076646891602797,0.20476673240874127,0.08131599211917509,False,False,0.3311839264589059,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,1.5,3.0,0.045664719335505116,0.08073173645575843,0.20472459695984774,0.08131593100113113,False,False,0.33112105275111126,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,1.5,1.0,2.0,0.045774101676593834,0.08847384619318778,0.19567511777188326,0.07514420775548805,False,False,0.32992306564166485,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,1.0,2.0,0.04577836647641069,0.08844227148983218,0.1956441239153936,0.07514410996661772,False,False,0.3298647618816365,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,1.5,1.5,2.0,0.04558395447004379,0.08089092597671983,0.2032267996265753,0.07802871074379672,False,False,0.32970168007333894,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,1.5,2.0,0.04559763517990437,0.08085631988974945,0.20318471362508972,0.07802862226815213,False,False,0.32963866869474356,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,1.5,1.5,1.5,0.04549426940232894,0.08095175923334447,0.20095261579174245,0.07468152204380621,False,False,0.32739864442741584,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,1.5,1.5,0.04550761359026849,0.08091730202397697,0.2009105596391454,0.07468140469716181,False,False,0.32733547525339085,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,2.0,1.0,3.0,0.04728727878676903,0.09552571727579211,0.18376580066572545,0.13105781748890877,False,False,0.3265787967282866,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,2.0,1.0,3.0,0.047284938515580646,0.09549652006220768,0.18373043965141891,0.13100439310073853,False,False,0.32651189822920723,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,2.0,1.5,3.0,0.04751747485711495,0.08898507522599787,0.1890338139005087,0.08131599211917509,False,False,0.3255363639836215,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,2.0,1.5,3.0,0.047525005484012076,0.08894987087205034,0.18898865053566055,0.08131593100113113,False,False,0.325463526891723,False,0.005,0.02,0.03,0.05
