model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_2x2_inc_rec,alpha,1.304,0.134,1.044,1.543,0.004,0.002,1260.0,1586.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,log_beta_order,0.615,0.029,0.562,0.67,0.001,0.001,1628.0,1495.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,lambda_salience,1.572,0.041,1.494,1.647,0.001,0.001,2141.0,1450.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,rho_salience_stop,0.503,0.048,0.415,0.592,0.001,0.001,2593.0,1218.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,epsilon,0.004,0.003,0.0,0.009,0.0,0.0,1910.0,976.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,tau,0.8,0.088,0.644,0.961,0.004,0.002,559.0,1052.0,1.0
principled_salience_stop_regularized_2x2_inc_static,alpha,1.29,0.136,1.033,1.535,0.004,0.003,1208.0,1350.0,1.0
principled_salience_stop_regularized_2x2_inc_static,log_beta_order,0.616,0.03,0.562,0.672,0.001,0.001,1677.0,1471.0,1.0
principled_salience_stop_regularized_2x2_inc_static,lambda_salience,1.572,0.042,1.501,1.657,0.001,0.001,2244.0,1420.0,1.0
principled_salience_stop_regularized_2x2_inc_static,rho_salience_stop,0.503,0.051,0.41,0.599,0.001,0.001,3358.0,1382.0,1.0
principled_salience_stop_regularized_2x2_inc_static,epsilon,0.003,0.003,0.0,0.009,0.0,0.0,1742.0,1187.0,1.0
principled_salience_stop_regularized_2x2_inc_static,tau,0.796,0.087,0.622,0.948,0.004,0.002,532.0,599.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,alpha,0.714,0.155,0.413,0.996,0.006,0.003,649.0,867.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,log_beta_order,0.674,0.031,0.619,0.735,0.001,0.001,726.0,1000.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,lambda_salience,1.313,0.043,1.235,1.395,0.001,0.001,1183.0,1103.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,rho_salience_stop,0.096,0.059,0.001,0.198,0.002,0.001,1024.0,792.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,lambda_sufficient_single,2.024,0.079,1.873,2.169,0.002,0.002,1187.0,1067.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,lambda_reliability_form,1.425,0.063,1.31,1.543,0.001,0.001,2017.0,1445.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,epsilon,0.003,0.003,0.0,0.009,0.0,0.0,1314.0,779.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,tau,0.624,0.097,0.453,0.815,0.007,0.003,204.0,551.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,alpha,0.707,0.156,0.424,1.017,0.005,0.003,825.0,1009.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,log_beta_order,0.675,0.03,0.618,0.732,0.001,0.001,1003.0,1191.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,lambda_salience,1.312,0.043,1.23,1.391,0.001,0.001,1366.0,1388.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,rho_salience_stop,0.098,0.059,0.002,0.2,0.002,0.001,954.0,865.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,lambda_sufficient_single,2.023,0.079,1.875,2.162,0.002,0.002,1419.0,1395.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,lambda_reliability_form,1.427,0.065,1.304,1.547,0.001,0.002,2422.0,1078.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,epsilon,0.004,0.003,0.0,0.01,0.0,0.0,1294.0,896.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,tau,0.629,0.097,0.447,0.807,0.006,0.003,234.0,485.0,1.01
