model,relevant_property,sharpness,mae,rmse,max_abs_residual,worst_utterance_code,worst_utterance_label,worst_human_mean,worst_model_mean,worst_signed_residual,coverage_rate
principled_salience_stop_regularized_2x2_inc_rec,both,blurred,0.06037008833553447,0.09181874480028396,0.23444522968197878,5,C,0.0088339222614841,0.2432791519434629,0.23444522968197878,0.3333333333333333
principled_salience_stop_regularized_2x2_inc_rec,both,sharp,0.04610798086387403,0.0701406988729236,0.188389662027833,5,C,0.0,0.188389662027833,0.188389662027833,0.26666666666666666
principled_salience_stop_regularized_2x2_inc_rec,first,blurred,0.04761863856590051,0.08927554003256644,0.25334296028880865,3,DF,0.36462093862815886,0.11127797833935019,-0.25334296028880865,0.4666666666666667
principled_salience_stop_regularized_2x2_inc_rec,first,sharp,0.061662276530491764,0.0932733963780418,0.2295378486055777,1,DC,0.045816733067729085,0.2753545816733068,0.2295378486055777,0.26666666666666666
principled_salience_stop_regularized_2x2_inc_rec,second,blurred,0.04328105645139965,0.07372884858291258,0.237679012345679,5,C,0.6278659611992945,0.3901869488536155,-0.237679012345679,0.06666666666666667
principled_salience_stop_regularized_2x2_inc_rec,second,sharp,0.058717279680201656,0.10869263112240593,0.36366269841269844,5,C,0.7162698412698413,0.35260714285714284,-0.36366269841269844,0.2
principled_salience_stop_regularized_2x2_inc_static,both,blurred,0.06031293084696675,0.09175081146747255,0.23460070671378092,5,C,0.0088339222614841,0.24343462897526502,0.23460070671378092,0.3333333333333333
principled_salience_stop_regularized_2x2_inc_static,both,sharp,0.045933215337303525,0.07017064799401727,0.1894155069582505,5,C,0.0,0.1894155069582505,0.1894155069582505,0.26666666666666666
principled_salience_stop_regularized_2x2_inc_static,first,blurred,0.04766139499647673,0.08946265425614588,0.25420938628158846,3,DF,0.36462093862815886,0.11041155234657041,-0.25420938628158846,0.4666666666666667
principled_salience_stop_regularized_2x2_inc_static,first,sharp,0.061770994910350735,0.09340631649495325,0.22973306772908364,1,DC,0.045816733067729085,0.27554980079681274,0.22973306772908364,0.26666666666666666
principled_salience_stop_regularized_2x2_inc_static,second,blurred,0.04335382803960041,0.07388019780476711,0.23818694885361552,5,C,0.6278659611992945,0.389679012345679,-0.23818694885361552,0.2
principled_salience_stop_regularized_2x2_inc_static,second,sharp,0.058807796839624914,0.10889744628864247,0.3645238095238095,5,C,0.7162698412698413,0.35174603174603175,-0.3645238095238095,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,both,blurred,0.022436560873420545,0.0333433288322704,0.08152296819787982,8,CF,0.2703180212014134,0.18879505300353358,-0.08152296819787982,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,both,sharp,0.03408361924751851,0.04756534487612609,0.12166600397614312,1,DC,0.19681908548707752,0.0751530815109344,-0.12166600397614312,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,first,blurred,0.03039189517142565,0.06017118306215684,0.21597111913357403,3,DF,0.36462093862815886,0.14864981949458483,-0.21597111913357403,0.6
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,first,sharp,0.044849893770201064,0.06859441425806073,0.17402788844621517,2,DCF,0.2051792828685259,0.3792071713147411,0.17402788844621517,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,second,blurred,0.03200325693804181,0.056714829505889394,0.18350617283950615,8,CF,0.26278659611992944,0.07928042328042328,-0.18350617283950615,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,second,sharp,0.0280416350173631,0.05037985127973047,0.16526190476190475,8,CF,0.23015873015873015,0.0648968253968254,-0.16526190476190475,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,both,blurred,0.02250930298156622,0.03340063746198467,0.08162544169611305,8,CF,0.2703180212014134,0.18869257950530036,-0.08162544169611305,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,both,sharp,0.033892794119359713,0.04732392035016648,0.12166998011928429,1,DC,0.19681908548707752,0.07514910536779323,-0.12166998011928429,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,first,blurred,0.030328015849367045,0.06015087661944876,0.2160216606498195,3,DF,0.36462093862815886,0.14859927797833936,-0.2160216606498195,0.6
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,first,sharp,0.04483374926807811,0.06860983547747548,0.1743227091633466,2,DCF,0.2051792828685259,0.3795019920318725,0.1743227091633466,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,second,blurred,0.031967336414179495,0.05672244644639856,0.18344973544973545,8,CF,0.26278659611992944,0.07933686067019399,-0.18344973544973545,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,second,sharp,0.028034474089833377,0.050435246378577596,0.1654484126984127,8,CF,0.23015873015873015,0.06471031746031745,-0.1654484126984127,0.2
