conditions,relevant_property,sharpness,utterance_label,context_fixed,context_updating,delta_updating_minus_fixed,abs_delta_updating_minus_fixed,semantic_family
brdc,both,blurred,C,0.18229252,0.18229462,2.1010637e-06,2.1010637e-06,current
brdc,both,blurred,CD,0.028261827,0.028262125,2.9802322e-07,2.9802322e-07,current
brdc,both,blurred,CDF,0.06591014,0.065910846,7.0780516e-07,7.0780516e-07,current
brdc,both,blurred,CF,0.035505302,0.035505712,4.0978193e-07,4.0978193e-07,current
brdc,both,blurred,CFD,0.017289931,0.017290125,1.937151e-07,1.937151e-07,current
brdc,both,blurred,D,0.105984755,0.10598596,1.206994e-06,1.206994e-06,current
brdc,both,blurred,DC,0.22268212,0.22271055,2.8431416e-05,2.8431416e-05,current
brdc,both,blurred,DCF,0.13824385,0.13826053,1.66744e-05,1.66744e-05,current
brdc,both,blurred,DF,0.059222788,0.05919358,-2.9206276e-05,2.9206276e-05,current
brdc,both,blurred,DFC,0.04445088,0.044429038,-2.1841377e-05,2.1841377e-05,current
brdc,both,blurred,F,0.048251446,0.048251938,4.917383e-07,4.917383e-07,current
brdc,both,blurred,FC,0.024888001,0.024888257,2.5518239e-07,2.5518239e-07,current
brdc,both,blurred,FCD,0.0068532177,0.006853279,6.146729e-08,6.146729e-08,current
brdc,both,blurred,FD,0.00645504,0.0064550987,5.8673322e-08,5.8673322e-08,current
brdc,both,blurred,FDC,0.013708203,0.013708334,1.3131648e-07,1.3131648e-07,current
brdc,both,sharp,C,0.12902258,0.12902544,2.861023e-06,2.861023e-06,current
brdc,both,sharp,CD,0.024202466,0.024202982,5.159527e-07,5.159527e-07,current
brdc,both,sharp,CDF,0.056312557,0.056313775,1.2181699e-06,1.2181699e-06,current
brdc,both,sharp,CF,0.018059261,0.01805968,4.1909516e-07,4.1909516e-07,current
brdc,both,sharp,CFD,0.008965548,0.008965748,2.0023435e-07,2.0023435e-07,current
brdc,both,sharp,D,0.1261133,0.12611581,2.5182962e-06,2.5182962e-06,current
brdc,both,sharp,DC,0.26557252,0.26563707,6.455183e-05,6.455183e-05,current
brdc,both,sharp,DCF,0.17518473,0.17522773,4.300475e-05,4.300475e-05,current
brdc,both,sharp,DF,0.069885105,0.06981819,-6.6913664e-05,6.6913664e-05,current
brdc,both,sharp,DFC,0.05242342,0.052373383,-5.00381e-05,5.00381e-05,current
brdc,both,sharp,F,0.035213724,0.035214532,8.08388e-07,8.08388e-07,current
