model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,alpha,1.7,0.207,1.329,2.073,0.008,0.004,670.0,1102.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,log_beta_order,0.605,0.035,0.537,0.667,0.001,0.001,1592.0,1351.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_salience,1.35,0.039,1.281,1.422,0.001,0.001,2783.0,1296.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.025,0.0,0.0,2324.0,1280.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.964,0.091,1.799,2.132,0.003,0.002,1068.0,1452.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_reliability_form,1.881,0.082,1.738,2.048,0.003,0.002,987.0,1466.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_sufficient_form_pair,0.658,0.086,0.492,0.815,0.003,0.002,1091.0,1317.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_three_word_penalty,0.916,0.079,0.772,1.073,0.003,0.002,907.0,1227.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,tau,0.879,0.087,0.723,1.045,0.004,0.002,496.0,606.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,alpha,1.724,0.201,1.364,2.12,0.008,0.004,680.0,1179.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,log_beta_order,0.603,0.035,0.536,0.666,0.001,0.001,1344.0,1428.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_salience,1.349,0.04,1.267,1.417,0.001,0.001,2416.0,1624.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.026,0.0,0.0,2119.0,1059.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_sufficient_single,1.96,0.088,1.807,2.139,0.003,0.002,995.0,1286.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_reliability_form,1.886,0.082,1.726,2.033,0.002,0.001,1106.0,1402.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_sufficient_form_pair,0.66,0.083,0.497,0.81,0.003,0.002,908.0,1273.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_three_word_penalty,0.922,0.076,0.778,1.061,0.003,0.002,840.0,1139.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,tau,0.884,0.086,0.72,1.04,0.004,0.002,559.0,829.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,alpha,1.655,0.197,1.25,2.001,0.009,0.004,450.0,803.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,log_beta_order,0.605,0.034,0.547,0.676,0.001,0.001,1250.0,1589.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,lambda_salience,1.349,0.041,1.274,1.428,0.001,0.001,2034.0,1427.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.025,0.0,0.0,1554.0,887.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.912,0.089,1.74,2.069,0.003,0.002,759.0,1216.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,lambda_reliability_form,1.9,0.079,1.748,2.048,0.003,0.002,743.0,1107.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,lambda_sufficient_form_pair,0.713,0.083,0.551,0.861,0.003,0.002,696.0,1218.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,lambda_three_word_penalty,0.882,0.075,0.739,1.016,0.003,0.002,593.0,1158.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,lambda_sharp_form_suppression,0.264,0.097,0.085,0.441,0.002,0.002,1579.0,989.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,tau,0.87,0.083,0.721,1.032,0.004,0.002,425.0,813.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,alpha,1.679,0.2,1.287,2.037,0.01,0.005,423.0,776.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,log_beta_order,0.603,0.034,0.538,0.664,0.001,0.001,1253.0,1560.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,lambda_salience,1.349,0.041,1.268,1.422,0.001,0.001,2606.0,1293.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.026,0.0,0.0,2236.0,1036.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,lambda_sufficient_single,1.906,0.09,1.73,2.072,0.003,0.002,718.0,1284.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,lambda_reliability_form,1.909,0.08,1.76,2.061,0.003,0.002,777.0,1171.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,lambda_sufficient_form_pair,0.709,0.084,0.542,0.857,0.003,0.002,700.0,1280.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,lambda_three_word_penalty,0.891,0.076,0.754,1.033,0.003,0.002,549.0,908.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,lambda_sharp_form_suppression,0.261,0.098,0.081,0.449,0.002,0.003,1582.0,688.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,tau,0.878,0.086,0.716,1.037,0.004,0.002,455.0,802.0,1.01
