model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,alpha,2.023,0.206,1.651,2.423,0.004,0.002,2311.0,3847.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,log_beta_order,0.657,0.034,0.594,0.724,0.0,0.0,5926.0,5963.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_salience,1.417,0.042,1.337,1.494,0.0,0.0,7311.0,5814.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,rho_salience_stop,0.019,0.019,0.0,0.053,0.0,0.0,7855.0,3879.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.72,0.103,1.519,1.907,0.002,0.001,3029.0,4345.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_reliability_form,2.319,0.094,2.15,2.508,0.002,0.001,3853.0,5392.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_sufficient_form_pair,0.735,0.093,0.557,0.905,0.002,0.001,3149.0,4171.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_three_word_penalty,1.154,0.079,1.006,1.303,0.002,0.001,2716.0,4794.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_size_sharp_single_bonus,1.221,0.152,0.935,1.514,0.002,0.002,5162.0,5299.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,lambda_size_sharp_form_pair_penalty,1.075,0.133,0.809,1.314,0.001,0.002,7954.0,5612.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,tau,0.938,0.084,0.783,1.099,0.002,0.001,1837.0,3762.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,alpha,2.026,0.208,1.632,2.411,0.004,0.002,2709.0,4212.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,log_beta_order,0.657,0.035,0.592,0.723,0.0,0.0,6602.0,5728.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,lambda_salience,1.416,0.043,1.336,1.496,0.0,0.0,8056.0,6246.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,rho_salience_stop,0.019,0.018,0.0,0.052,0.0,0.0,8677.0,4426.0,1.0
