relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,model,condition,signed_residual,abs_residual,human_mean_covered_by_model_ci,model_mean_covered_by_human_ci
both,blurred,0,D,0.0,0.0,0.0,566,0.010618445513502776,0.0035335689045936395,0.019434628975265017,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,0.010618445513502776,0.010618445513502776,False,False
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.057551236749116615,0.038869257950530034,0.07773851590106007,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,-0.011353356890459361,0.011353356890459361,True,True
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.23125088339222613,0.19257950530035337,0.26855123674911663,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,-0.07793639575971731,0.07793639575971731,False,False
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.11059717314487633,0.08480565371024736,0.14227031802120138,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,0.02579151943462897,0.02579151943462897,True,False
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.019936395759717312,0.007906360424028272,0.03180212014134275,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,-0.010098939929328622,0.010098939929328622,True,True
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.04680212014134275,0.028268551236749116,0.06713780918727916,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,0.03796819787985865,0.03796819787985865,False,False
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.00495754443331048,0.0017667844522968198,0.011130742049469984,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,-0.0038763778281736194,0.0038763778281736194,True,True
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07628975265017668,0.054770318021201414,0.10070671378091872,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,0.0250530035335689,0.0250530035335689,False,False
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.2884593639575972,0.24642226148409893,0.3321554770318021,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,0.018141342756183787,0.018141342756183787,True,True
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.022063604240282687,0.01060070671378092,0.0353356890459364,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both | blurred,0.018530035335689046,0.018530035335689046,False,False
