model,relevant_property,sharpness,mae,rmse,max_abs_residual,worst_utterance_code,worst_utterance_label,worst_human_mean,worst_model_mean,worst_signed_residual,coverage_rate
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,both,blurred,0.03342781370866551,0.04693072045833544,0.10222968197879859,4,DFC,0.030035335689045935,0.13226501766784451,0.10222968197879859,0.2
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,both,sharp,0.03531798913135673,0.05001402901454054,0.10938767395626242,4,DFC,0.02982107355864811,0.13920874751491052,0.10938767395626242,0.3333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,first,blurred,0.02964386744422236,0.05948895100238911,0.1765740072202166,2,DCF,0.2996389891696751,0.12306498194945849,-0.1765740072202166,0.6
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,first,sharp,0.021041783686668612,0.03242720094725624,0.07670517928286853,10,F,0.10159362549800798,0.024888446215139443,-0.07670517928286853,0.3333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,second,blurred,0.022822461699949732,0.04024704231858363,0.12010934744268079,8,CF,0.26278659611992944,0.14267724867724865,-0.12010934744268079,0.26666666666666666
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,second,sharp,0.023266262775356254,0.03929899521804457,0.10757539682539682,8,CF,0.23015873015873015,0.12258333333333332,-0.10757539682539682,0.2
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,both,blurred,0.033484222731859026,0.046993957110470996,0.10225088339222616,4,DFC,0.030035335689045935,0.13228621908127208,0.10225088339222616,0.2
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,both,sharp,0.03534434054417428,0.05009516910398535,0.10970178926441354,4,DFC,0.02982107355864811,0.13952286282306164,0.10970178926441354,0.3333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,first,blurred,0.029623706792052666,0.05951642609685514,0.17696750902527075,2,DCF,0.2996389891696751,0.12267148014440432,-0.17696750902527075,0.6
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,first,sharp,0.021086410791886438,0.032508848199721545,0.07656175298804782,10,F,0.10159362549800798,0.02503187250996016,-0.07656175298804782,0.3333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,second,blurred,0.022788638599005647,0.04018100229300974,0.1200141093474427,8,CF,0.26278659611992944,0.14277248677248675,-0.1200141093474427,0.26666666666666666
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,second,sharp,0.023210587945129525,0.03912264384536779,0.10732142857142857,8,CF,0.23015873015873015,0.12283730158730158,-0.10732142857142857,0.2
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both,blurred,0.018941441130016876,0.027242160034195363,0.07793639575971731,2,DCF,0.30918727915194344,0.23125088339222613,-0.07793639575971731,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,both,sharp,0.022819270113292246,0.03698763154772235,0.11834194831013915,1,DC,0.19681908548707752,0.07847713717693837,-0.11834194831013915,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,first,blurred,0.020385481765850002,0.04209833358526273,0.1140974729241877,3,DF,0.36462093862815886,0.47871841155234657,0.1140974729241877,0.7333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,first,sharp,0.017488274882792643,0.02913187856668694,0.06536653386454183,10,F,0.10159362549800798,0.03622709163346614,-0.06536653386454183,0.4666666666666667
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,second,blurred,0.016065629062861672,0.02270401129157868,0.05010934744268078,8,CF,0.26278659611992944,0.21267724867724866,-0.05010934744268078,0.26666666666666666
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,second,sharp,0.01675274170539341,0.024881204227700814,0.05665873015873015,1,DC,0.001984126984126984,0.058642857142857135,0.05665873015873015,0.2
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,both,blurred,0.01885907213091053,0.02723015572918117,0.0779929328621908,2,DCF,0.30918727915194344,0.23119434628975263,-0.0779929328621908,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,both,sharp,0.022943283995825813,0.03716322416606157,0.11864811133200794,1,DC,0.19681908548707752,0.07817097415506959,-0.11864811133200794,0.4666666666666667
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,first,blurred,0.020296850882171005,0.041801488563365706,0.1125703971119133,3,DF,0.36462093862815886,0.47719133574007216,0.1125703971119133,0.7333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,first,sharp,0.017366601972449366,0.029055155828721767,0.06555776892430279,10,F,0.10159362549800798,0.03603585657370518,-0.06555776892430279,0.4666666666666667
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,second,blurred,0.016086763340411495,0.022752630483997113,0.05000352733686064,8,CF,0.26278659611992944,0.2127830687830688,-0.05000352733686064,0.2
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,second,sharp,0.016756428089385947,0.024844851497832415,0.05646031746031746,1,DC,0.001984126984126984,0.058444444444444445,0.05646031746031746,0.2
