relevant_property,sharpness,utterance_label,model_proportion,utterance_code,model,semantics,lambda_size_sharp_single_bonus,lambda_size_sharp_form_pair_penalty,empirical_proportion,condition_n,signed_residual,abs_residual
both,blurred,C,0.06184489652514458,5,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0088339222614841,566,0.05301097426366048,0.05301097426366048
both,blurred,CD,0.00621500751003623,6,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0088339222614841,566,-0.002618914751447869,0.002618914751447869
both,blurred,CDF,0.08116272836923599,7,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.05123674911660778,566,0.029925979252628215,0.029925979252628215
both,blurred,CF,0.2618986964225769,8,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.2703180212014134,566,-0.008419324778836501,0.008419324778836501
both,blurred,CFD,0.028240909799933434,9,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0035335689045936395,566,0.024707340895339793,0.024707340895339793
both,blurred,D,0.013749158009886742,0,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,566,0.013749158009886742,0.013749158009886742
both,blurred,DC,0.06644915789365768,1,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.06890459363957598,566,-0.0024554357459182913,0.0024554357459182913
both,blurred,DCF,0.2268938571214676,2,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.30918727915194344,566,-0.08229342203047585,0.08229342203047585
both,blurred,DF,0.09883350133895874,3,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.08480565371024736,566,0.014027847628711385,0.014027847628711385
both,blurred,DFC,0.024177437648177147,4,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.030035335689045935,566,-0.005857898040868788,0.005857898040868788
both,blurred,F,0.07760956883430481,10,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.1166077738515901,566,-0.03899820501728529,0.03899820501728529
both,blurred,FC,0.04247855395078659,13,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.04063604240282685,566,0.0018425115479597381,0.0018425115479597381
both,blurred,FCD,0.004448625259101391,14,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,566,0.004448625259101391,0.004448625259101391
both,blurred,FD,0.002354090567678213,11,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0017667844522968198,566,0.0005873061153813934,0.0005873061153813934
both,blurred,FDC,0.003643802599981427,12,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.00530035335689046,566,-0.0016565507569090325,0.0016565507569090325
both,sharp,C,0.051045726984739304,5,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,503,0.051045726984739304,0.051045726984739304
both,sharp,CD,0.006224285811185837,6,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.011928429423459244,503,-0.005704143612273407,0.005704143612273407
both,sharp,CDF,0.08121718466281891,7,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.027833001988071572,503,0.05338418267474734,0.05338418267474734
both,sharp,CF,0.15570540726184845,8,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.20278330019880716,503,-0.047077892936958715,0.047077892936958715
both,sharp,CFD,0.016862206161022186,9,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.003976143141153081,503,0.012886063019869106,0.012886063019869106
both,sharp,D,0.018679119646549225,0,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,503,0.018679119646549225,0.018679119646549225
both,sharp,DC,0.090608611702919,1,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.19681908548707752,503,-0.10621047378415852,0.10621047378415852
both,sharp,DCF,0.30960962176322937,2,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.3121272365805169,503,-0.002517614817287517,0.002517614817287517
both,sharp,DF,0.1320594847202301,3,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.1073558648111332,503,0.024703619909096905,0.024703619909096905
both,sharp,DFC,0.03228694945573807,4,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.02982107355864811,503,0.002465875897089957,0.002465875897089957
both,sharp,F,0.06381502002477646,10,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.08349900596421471,503,-0.01968398593943825,0.01968398593943825
both,sharp,FC,0.031354039907455444,13,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.02186878727634195,503,0.009485252631113494,0.009485252631113494
