relevant_property,sharpness,utterance_code,utterance_label,n,condition_n,empirical_proportion
both,blurred,0,D,0,566,0.0
both,blurred,1,DC,39,566,0.06890459363957598
both,blurred,2,DCF,175,566,0.30918727915194344
both,blurred,3,DF,48,566,0.08480565371024736
both,blurred,4,DFC,17,566,0.030035335689045935
both,blurred,5,C,5,566,0.0088339222614841
both,blurred,6,CD,5,566,0.0088339222614841
both,blurred,7,CDF,29,566,0.05123674911660778
both,blurred,8,CF,153,566,0.2703180212014134
both,blurred,9,CFD,2,566,0.0035335689045936395
both,blurred,10,F,66,566,0.1166077738515901
both,blurred,11,FD,1,566,0.0017667844522968198
both,blurred,12,FDC,3,566,0.00530035335689046
both,blurred,13,FC,23,566,0.04063604240282685
both,blurred,14,FCD,0,566,0.0
both,sharp,0,D,0,503,0.0
both,sharp,1,DC,99,503,0.19681908548707752
both,sharp,2,DCF,157,503,0.3121272365805169
both,sharp,3,DF,54,503,0.1073558648111332
both,sharp,4,DFC,15,503,0.02982107355864811
both,sharp,5,C,0,503,0.0
both,sharp,6,CD,6,503,0.011928429423459244
both,sharp,7,CDF,14,503,0.027833001988071572
both,sharp,8,CF,102,503,0.20278330019880716
both,sharp,9,CFD,2,503,0.003976143141153081
both,sharp,10,F,42,503,0.08349900596421471
both,sharp,11,FD,0,503,0.0
both,sharp,12,FDC,0,503,0.0
both,sharp,13,FC,11,503,0.02186878727634195
both,sharp,14,FCD,1,503,0.0019880715705765406
first,blurred,0,D,31,554,0.05595667870036101
first,blurred,1,DC,24,554,0.04332129963898917
first,blurred,2,DCF,166,554,0.2996389891696751
first,blurred,3,DF,202,554,0.36462093862815886
first,blurred,4,DFC,18,554,0.032490974729241874
first,blurred,5,C,3,554,0.005415162454873646
first,blurred,6,CD,1,554,0.0018050541516245488
first,blurred,7,CDF,22,554,0.039711191335740074
first,blurred,8,CF,48,554,0.08664259927797834
first,blurred,9,CFD,0,554,0.0
first,blurred,10,F,21,554,0.03790613718411552
first,blurred,11,FD,5,554,0.009025270758122744
first,blurred,12,FDC,2,554,0.0036101083032490976
first,blurred,13,FC,9,554,0.016245487364620937
first,blurred,14,FCD,2,554,0.0036101083032490976
first,sharp,0,D,135,502,0.2689243027888446
first,sharp,1,DC,23,502,0.045816733067729085
first,sharp,2,DCF,103,502,0.2051792828685259
first,sharp,3,DF,116,502,0.23107569721115537
first,sharp,4,DFC,11,502,0.021912350597609563
first,sharp,5,C,0,502,0.0
first,sharp,6,CD,0,502,0.0
first,sharp,7,CDF,9,502,0.017928286852589643
first,sharp,8,CF,47,502,0.09362549800796813
first,sharp,9,CFD,1,502,0.00199203187250996
first,sharp,10,F,51,502,0.10159362549800798
first,sharp,11,FD,1,502,0.00199203187250996
first,sharp,12,FDC,0,502,0.0
first,sharp,13,FC,5,502,0.0099601593625498
first,sharp,14,FCD,0,502,0.0
second,blurred,0,D,0,567,0.0
second,blurred,1,DC,0,567,0.0
second,blurred,2,DCF,15,567,0.026455026455026454
second,blurred,3,DF,0,567,0.0
second,blurred,4,DFC,8,567,0.014109347442680775
second,blurred,5,C,356,567,0.6278659611992945
second,blurred,6,CD,0,567,0.0
second,blurred,7,CDF,3,567,0.005291005291005291
second,blurred,8,CF,149,567,0.26278659611992944
second,blurred,9,CFD,0,567,0.0
second,blurred,10,F,25,567,0.04409171075837742
second,blurred,11,FD,0,567,0.0
second,blurred,12,FDC,0,567,0.0
second,blurred,13,FC,11,567,0.019400352733686066
second,blurred,14,FCD,0,567,0.0
second,sharp,0,D,0,504,0.0
second,sharp,1,DC,1,504,0.001984126984126984
second,sharp,2,DCF,1,504,0.001984126984126984
second,sharp,3,DF,0,504,0.0
second,sharp,4,DFC,3,504,0.005952380952380952
second,sharp,5,C,361,504,0.7162698412698413
second,sharp,6,CD,0,504,0.0
second,sharp,7,CDF,2,504,0.003968253968253968
second,sharp,8,CF,116,504,0.23015873015873015
second,sharp,9,CFD,0,504,0.0
second,sharp,10,F,10,504,0.01984126984126984
second,sharp,11,FD,0,504,0.0
second,sharp,12,FDC,0,504,0.0
second,sharp,13,FC,10,504,0.01984126984126984
second,sharp,14,FCD,0,504,0.0
