model,scope,n_points,r,r2,mae,rmse,slope,intercept
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,all_cells,90,0.9474847128825983,0.8977272811462197,0.022857302629772255,0.041225579567094627,0.9445268039998562,0.003996726569680671
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,nonzero_cells,90,0.9474847128825983,0.8977272811462197,0.022857302629772255,0.041225579567094627,0.9445268039998562,0.003996726569680671
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,all_cells,90,0.9476655960188626,0.898070081877786,0.0228265824905228,0.0411632697751174,0.9451320859485268,0.003956085129525025
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,nonzero_cells,90,0.9476655960188626,0.898070081877786,0.0228265824905228,0.0411632697751174,0.9451320859485268,0.003956085129525025
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,all_cells,90,0.9507687298165195,0.9039611775969179,0.022513671541228127,0.039940198770529796,0.9490164723012195,0.0036896026594970387
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,nonzero_cells,90,0.9507687298165195,0.9039611775969179,0.022513671541228127,0.039940198770529796,0.9490164723012195,0.0036896026594970387
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,all_cells,90,0.9507475037622358,0.9039208159101226,0.022591805502338323,0.039960809592341245,0.9495837835099418,0.0036523636238597105
principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,nonzero_cells,90,0.9507475037622358,0.9039208159101226,0.022591805502338323,0.039960809592341245,0.9495837835099418,0.0036523636238597105
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,all_cells,90,0.9694595799047677,0.9398518770691288,0.018670054008850683,0.031267987954666364,0.9487989014242518,0.0037513033618880977
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,nonzero_cells,90,0.9694595799047677,0.9398518770691288,0.018670054008850683,0.031267987954666364,0.9487989014242518,0.0037513033618880977
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,all_cells,90,0.9695129796565723,0.9399554177225653,0.018658859702819358,0.031240913809374094,0.9488690057558312,0.003744447871348219
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,nonzero_cells,90,0.9695129796565723,0.9399554177225653,0.018658859702819358,0.031240913809374094,0.9488690057558312,0.003744447871348219
