model,speaker_type,fold,artifact,n_heldout,heldout_elpd,heldout_elpd_mean,heldout_log_lik_mean,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,n_draws,divergence_rate,diagnostic_status
incremental_recursive,incremental,0,mcmc_results_incremental_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,699,-575.2310791015625,-0.8229343295097351,-0.8366989493370056,138,1.01,0,0,443.0,713.0,0,2000,0.0,pass
incremental_recursive,incremental,1,mcmc_results_incremental_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,698,-514.371826171875,-0.7369223833084106,-0.7480102777481079,138,1.01,0,0,608.0,1014.0,0,2000,0.0,pass
incremental_recursive,incremental,2,mcmc_results_incremental_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,698,-549.8768310546875,-0.7877891659736633,-0.8004796504974365,138,1.01,0,0,572.0,1053.0,0,2000,0.0,pass
incremental_recursive,incremental,3,mcmc_results_incremental_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,696,-570.5938110351562,-0.8198186755180359,-0.8290330171585083,138,1.01,0,0,520.0,896.0,0,2000,0.0,pass
incremental_recursive,incremental,4,mcmc_results_incremental_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,694,-555.6705932617188,-0.8006780743598938,-0.8141868710517883,138,1.01,0,0,452.0,790.0,0,2000,0.0,pass
incremental_static,incremental_static,0,mcmc_results_incremental_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,699,-575.2265625,-0.8229278326034546,-0.8366435170173645,138,1.01,0,0,511.0,917.0,1,2000,0.0005,fail
incremental_static,incremental_static,1,mcmc_results_incremental_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,698,-514.3817138671875,-0.7369365692138672,-0.7479987144470215,138,1.01,0,0,544.0,928.0,0,2000,0.0,pass
incremental_static,incremental_static,2,mcmc_results_incremental_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,698,-549.7412109375,-0.7875948548316956,-0.800351083278656,138,1.01,0,0,529.0,953.0,0,2000,0.0,pass
incremental_static,incremental_static,3,mcmc_results_incremental_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,696,-570.611083984375,-0.8198435306549072,-0.8290730714797974,138,1.01,0,0,495.0,815.0,0,2000,0.0,pass
incremental_static,incremental_static,4,mcmc_results_incremental_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,694,-555.5556640625,-0.8005124926567078,-0.8139212131500244,138,1.01,0,0,454.0,817.0,0,2000,0.0,pass
planned_usefulness_order,planned_usefulness_order,0,mcmc_results_planned_usefulness_order_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,699,-575.155517578125,-0.8228262066841125,-0.8364973068237305,139,1.01,0,0,418.0,819.0,0,2000,0.0,pass
planned_usefulness_order,planned_usefulness_order,1,mcmc_results_planned_usefulness_order_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,698,-514.4261474609375,-0.7370002269744873,-0.7480456829071045,139,1.01,0,0,543.0,873.0,0,2000,0.0,pass
planned_usefulness_order,planned_usefulness_order,2,mcmc_results_planned_usefulness_order_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,698,-549.9115600585938,-0.7878389358520508,-0.8005675077438354,139,1.01,0,0,456.0,918.0,0,2000,0.0,pass
planned_usefulness_order,planned_usefulness_order,3,mcmc_results_planned_usefulness_order_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,696,-570.7178955078125,-0.8199969530105591,-0.8292816281318665,139,1.01,0,0,404.0,785.0,0,2000,0.0,pass
planned_usefulness_order,planned_usefulness_order,4,mcmc_results_planned_usefulness_order_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,694,-555.0036010742188,-0.7997170090675354,-0.8130108118057251,139,1.02,1,0,304.0,476.0,0,2000,0.0,pass
planned_usefulness_order_static,planned_usefulness_order_static,0,mcmc_results_planned_usefulness_order_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,699,-575.123291015625,-0.8227800726890564,-0.8364039659500122,139,1.01,0,0,281.0,624.0,0,2000,0.0,pass
planned_usefulness_order_static,planned_usefulness_order_static,1,mcmc_results_planned_usefulness_order_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,698,-514.3907470703125,-0.7369495034217834,-0.7479864954948425,139,1.01,0,0,412.0,720.0,1,2000,0.0005,fail
planned_usefulness_order_static,planned_usefulness_order_static,2,mcmc_results_planned_usefulness_order_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,698,-549.5975341796875,-0.7873890399932861,-0.8001819252967834,139,1.01,0,0,651.0,737.0,0,2000,0.0,pass
planned_usefulness_order_static,planned_usefulness_order_static,3,mcmc_results_planned_usefulness_order_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,696,-570.76513671875,-0.8200648427009583,-0.8293206095695496,139,1.01,0,0,535.0,866.0,0,2000,0.0,pass
planned_usefulness_order_static,planned_usefulness_order_static,4,mcmc_results_planned_usefulness_order_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,694,-554.5230712890625,-0.7990245819091797,-0.8124046921730042,139,1.01,0,0,266.0,540.0,0,2000,0.0,pass
planned_usefulness_signed_order,planned_usefulness_signed_order,0,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,699,-575.1687622070312,-0.8228451609611511,-0.8364362716674805,139,1.01,0,0,365.0,612.0,0,2000,0.0,pass
planned_usefulness_signed_order,planned_usefulness_signed_order,1,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,698,-514.4105224609375,-0.7369778156280518,-0.7480304837226868,139,1.01,0,0,639.0,734.0,1,2000,0.0005,fail
planned_usefulness_signed_order,planned_usefulness_signed_order,2,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,698,-549.8885498046875,-0.78780597448349,-0.8006187081336975,139,1.01,0,0,343.0,585.0,0,2000,0.0,pass
planned_usefulness_signed_order,planned_usefulness_signed_order,3,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,696,-570.6533203125,-0.8199042081832886,-0.8291710019111633,139,1.01,0,0,501.0,980.0,0,2000,0.0,pass
planned_usefulness_signed_order,planned_usefulness_signed_order,4,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,694,-555.0161743164062,-0.7997351288795471,-0.8130472898483276,139,1.01,0,0,520.0,729.0,0,2000,0.0,pass
planned_usefulness_signed_order_static,planned_usefulness_signed_order_static,0,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,699,-575.13232421875,-0.8227930068969727,-0.8364341259002686,139,1.01,0,0,563.0,772.0,0,2000,0.0,pass
planned_usefulness_signed_order_static,planned_usefulness_signed_order_static,1,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,698,-514.380859375,-0.7369353175163269,-0.7480294108390808,139,1.01,0,0,669.0,780.0,0,2000,0.0,pass
planned_usefulness_signed_order_static,planned_usefulness_signed_order_static,2,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,698,-549.6614379882812,-0.7874805927276611,-0.8003168106079102,139,1.01,0,0,400.0,579.0,0,2000,0.0,pass
planned_usefulness_signed_order_static,planned_usefulness_signed_order_static,3,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,696,-570.6436767578125,-0.8198903203010559,-0.8291245698928833,139,1.01,0,0,667.0,795.0,0,2000,0.0,pass
planned_usefulness_signed_order_static,planned_usefulness_signed_order_static,4,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,694,-554.5914306640625,-0.7991231083869934,-0.8124000430107117,139,1.01,0,0,280.0,455.0,0,2000,0.0,pass
planned_usefulness_mixture,planned_usefulness_mixture,0,mcmc_results_planned_usefulness_mixture_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,699,-575.3173217773438,-0.8230577111244202,-0.8368586301803589,140,1.02,1,0,546.0,612.0,0,2000,0.0,pass
planned_usefulness_mixture,planned_usefulness_mixture,1,mcmc_results_planned_usefulness_mixture_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,698,-514.4423828125,-0.7370234727859497,-0.7480106949806213,140,1.01,0,0,564.0,273.0,0,2000,0.0,pass
planned_usefulness_mixture,planned_usefulness_mixture,2,mcmc_results_planned_usefulness_mixture_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,698,-549.6904296875,-0.7875220775604248,-0.8002321720123291,140,1.01,0,0,401.0,193.0,0,2000,0.0,pass
planned_usefulness_mixture,planned_usefulness_mixture,3,mcmc_results_planned_usefulness_mixture_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,696,-570.7154541015625,-0.8199934959411621,-0.829259991645813,140,1.02,1,0,450.0,260.0,0,2000,0.0,pass
planned_usefulness_mixture,planned_usefulness_mixture,4,mcmc_results_planned_usefulness_mixture_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,694,-555.3631591796875,-0.8002350926399231,-0.8135553598403931,140,1.02,1,0,571.0,405.0,0,2000,0.0,pass
planned_usefulness_mixture_static,planned_usefulness_mixture_static,0,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,699,-575.2347412109375,-0.8229395151138306,-0.8364748954772949,140,1.01,0,0,489.0,549.0,0,2000,0.0,pass
planned_usefulness_mixture_static,planned_usefulness_mixture_static,1,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,698,-514.3258056640625,-0.7368564605712891,-0.7478314638137817,140,1.01,0,0,908.0,487.0,0,2000,0.0,pass
planned_usefulness_mixture_static,planned_usefulness_mixture_static,2,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,698,-549.6026000976562,-0.787396252155304,-0.8001090884208679,140,1.01,0,0,614.0,594.0,0,2000,0.0,pass
planned_usefulness_mixture_static,planned_usefulness_mixture_static,3,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,696,-570.6785278320312,-0.8199403882026672,-0.8292338252067566,140,1.01,0,0,561.0,460.0,0,2000,0.0,pass
planned_usefulness_mixture_static,planned_usefulness_mixture_static,4,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,694,-555.257080078125,-0.800082266330719,-0.8134320974349976,140,1.01,0,0,857.0,787.0,0,2000,0.0,pass
planned_usefulness_mixture_anchored_static,planned_usefulness_mixture_anchored_static,0,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,699,-575.5050659179688,-0.8233262896537781,-0.8370693922042847,140,1.01,0,0,599.0,784.0,0,2000,0.0,pass
planned_usefulness_mixture_anchored_static,planned_usefulness_mixture_anchored_static,1,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,698,-514.3931884765625,-0.7369530200958252,-0.7480030059814453,140,1.01,0,0,483.0,784.0,0,2000,0.0,pass
planned_usefulness_mixture_anchored_static,planned_usefulness_mixture_anchored_static,2,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,698,-549.7971801757812,-0.7876750230789185,-0.8004176020622253,140,1.01,0,0,579.0,882.0,0,2000,0.0,pass
planned_usefulness_mixture_anchored_static,planned_usefulness_mixture_anchored_static,3,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,696,-570.4866943359375,-0.8196647763252258,-0.8289132714271545,140,1.01,0,0,433.0,812.0,0,2000,0.0,pass
planned_usefulness_mixture_anchored_static,planned_usefulness_mixture_anchored_static,4,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,694,-555.7964477539062,-0.8008594512939453,-0.8143306970596313,140,1.02,1,0,476.0,786.0,1,2000,0.0005,fail
