pair,candidate,baseline,candidate_total_heldout_elpd,baseline_total_heldout_elpd,delta_heldout_elpd,candidate_mean_fold_elpd,baseline_mean_fold_elpd,candidate_se_fold_elpd,baseline_se_fold_elpd,n_folds
planned_vs_greedy_recursive,planned_usefulness_order,incremental_recursive,-2765.2147216796875,-2765.744140625,0.5294189453125,-553.0429443359375,-553.148828125,10.738427579357335,10.753312005222165,5
planned_vs_greedy_static,planned_usefulness_order_static,incremental_static,-2764.3997802734375,-2765.5162353515625,1.116455078125,-552.8799560546875,-553.1032470703125,10.74602011642549,10.753232557406811,5
signed_order_vs_planned_recursive,planned_usefulness_signed_order,planned_usefulness_order,-2765.1373291015625,-2765.2147216796875,0.077392578125,-553.0274658203125,-553.0429443359375,10.737746090127692,10.738427579357335,5
signed_order_vs_planned_static,planned_usefulness_signed_order_static,planned_usefulness_order_static,-2764.4097290039062,-2764.3997802734375,-0.00994873046875,-552.8819458007813,-552.8799560546875,10.73821701067363,10.74602011642549,5
mixture_vs_planned_recursive,planned_usefulness_mixture,planned_usefulness_order,-2765.5287475585938,-2765.2147216796875,-0.31402587890625,-553.1057495117187,-553.0429443359375,10.758884400070585,10.738427579357335,5
mixture_vs_planned_static,planned_usefulness_mixture_static,planned_usefulness_order_static,-2765.0987548828125,-2764.3997802734375,-0.698974609375,-553.0197509765625,-552.8799560546875,10.768570370827469,10.74602011642549,5
anchored_mixture_vs_mixture_static,planned_usefulness_mixture_anchored_static,planned_usefulness_mixture_static,-2765.9785766601562,-2765.0987548828125,-0.87982177734375,-553.1957153320312,-553.0197509765625,10.77180351470363,10.768570370827469,5
signed_order_vs_greedy_recursive,planned_usefulness_signed_order,incremental_recursive,-2765.1373291015625,-2765.744140625,0.6068115234375,-553.0274658203125,-553.148828125,10.737746090127692,10.753312005222165,5
signed_order_vs_greedy_static,planned_usefulness_signed_order_static,incremental_static,-2764.4097290039062,-2765.5162353515625,1.10650634765625,-552.8819458007813,-553.1032470703125,10.73821701067363,10.753232557406811,5
mixture_vs_greedy_recursive,planned_usefulness_mixture,incremental_recursive,-2765.5287475585938,-2765.744140625,0.21539306640625,-553.1057495117187,-553.148828125,10.758884400070585,10.753312005222165,5
mixture_vs_greedy_static,planned_usefulness_mixture_static,incremental_static,-2765.0987548828125,-2765.5162353515625,0.41748046875,-553.0197509765625,-553.1032470703125,10.768570370827469,10.753232557406811,5
anchored_mixture_vs_greedy_static,planned_usefulness_mixture_anchored_static,incremental_static,-2765.9785766601562,-2765.5162353515625,-0.46234130859375,-553.1957153320312,-553.1032470703125,10.77180351470363,10.753232557406811,5
