model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
incremental_recursive,alpha,0.69,0.06,0.567,0.79,0.001,0.001,2670.0,1767.0,1.0
incremental_recursive,bias,0.58,0.06,0.47,0.692,0.003,0.002,424.0,887.0,1.01
incremental_recursive,sigma,0.716,0.01,0.697,0.735,0.0,0.0,3174.0,1628.0,1.0
incremental_recursive,tau,0.115,0.01,0.097,0.135,0.0,0.0,991.0,1430.0,1.0
incremental_static,alpha,0.687,0.059,0.573,0.796,0.001,0.001,2378.0,1647.0,1.0
incremental_static,bias,0.577,0.06,0.467,0.69,0.003,0.002,400.0,788.0,1.01
incremental_static,sigma,0.716,0.01,0.697,0.735,0.0,0.0,2659.0,1554.0,1.0
incremental_static,tau,0.115,0.011,0.096,0.134,0.0,0.0,969.0,1449.0,1.0
planned_usefulness_order,alpha,1.75,1.481,0.002,4.478,0.031,0.037,1236.0,832.0,1.0
planned_usefulness_order,bias,0.693,0.063,0.577,0.808,0.004,0.002,281.0,620.0,1.01
planned_usefulness_order,usefulness_order_scale,2.148,0.195,1.794,2.512,0.004,0.006,2056.0,1385.0,1.0
planned_usefulness_order,sigma,0.712,0.01,0.692,0.73,0.0,0.0,2399.0,1469.0,1.0
planned_usefulness_order,tau,0.115,0.011,0.095,0.136,0.0,0.0,849.0,1359.0,1.0
planned_usefulness_order_static,alpha,4.117,3.063,0.005,9.48,0.061,0.068,1478.0,718.0,1.0
planned_usefulness_order_static,bias,0.687,0.062,0.564,0.799,0.004,0.002,239.0,735.0,1.01
planned_usefulness_order_static,usefulness_order_scale,2.149,0.2,1.784,2.522,0.005,0.006,2046.0,1427.0,1.0
planned_usefulness_order_static,sigma,0.712,0.01,0.694,0.732,0.0,0.0,2642.0,1597.0,1.0
planned_usefulness_order_static,tau,0.115,0.01,0.094,0.133,0.0,0.0,864.0,1103.0,1.0
planned_usefulness_signed_order,alpha,1.739,1.406,0.0,4.295,0.029,0.037,1467.0,928.0,1.0
planned_usefulness_signed_order,bias,0.692,0.062,0.574,0.803,0.003,0.002,471.0,723.0,1.01
planned_usefulness_signed_order,signed_order_scale,2.127,0.173,1.799,2.436,0.004,0.004,1920.0,1505.0,1.0
planned_usefulness_signed_order,sigma,0.712,0.01,0.693,0.731,0.0,0.0,2681.0,1450.0,1.0
planned_usefulness_signed_order,tau,0.115,0.01,0.096,0.134,0.0,0.0,1010.0,1284.0,1.0
planned_usefulness_signed_order_static,alpha,4.059,2.917,0.002,9.194,0.074,0.06,889.0,475.0,1.0
planned_usefulness_signed_order_static,bias,0.689,0.062,0.579,0.806,0.003,0.002,357.0,438.0,1.01
planned_usefulness_signed_order_static,signed_order_scale,2.128,0.176,1.802,2.461,0.004,0.004,2225.0,1538.0,1.0
planned_usefulness_signed_order_static,sigma,0.712,0.01,0.693,0.731,0.0,0.0,3055.0,1677.0,1.0
planned_usefulness_signed_order_static,tau,0.115,0.01,0.097,0.135,0.0,0.0,1003.0,1400.0,1.0
planned_usefulness_mixture,alpha,0.998,0.608,0.005,2.057,0.018,0.019,986.0,890.0,1.0
planned_usefulness_mixture,bias,0.695,0.061,0.578,0.814,0.002,0.001,612.0,949.0,1.01
planned_usefulness_mixture,usefulness_order_scale,2.122,0.939,0.143,3.328,0.035,0.054,757.0,529.0,1.01
planned_usefulness_mixture,planned_mixture_weight,0.619,0.209,0.21,0.964,0.006,0.005,1188.0,1112.0,1.01
planned_usefulness_mixture,sigma,0.712,0.011,0.692,0.732,0.0,0.0,3346.0,1848.0,1.0
planned_usefulness_mixture,tau,0.116,0.011,0.097,0.137,0.0,0.0,1116.0,1339.0,1.0
planned_usefulness_mixture_static,alpha,1.185,0.79,0.022,2.526,0.024,0.035,942.0,737.0,1.0
planned_usefulness_mixture_static,bias,0.691,0.062,0.57,0.807,0.003,0.002,342.0,628.0,1.03
planned_usefulness_mixture_static,usefulness_order_scale,2.012,0.896,0.136,3.426,0.026,0.027,1105.0,937.0,1.0
planned_usefulness_mixture_static,planned_mixture_weight,0.63,0.211,0.243,0.986,0.007,0.005,1012.0,960.0,1.01
planned_usefulness_mixture_static,sigma,0.712,0.011,0.692,0.732,0.0,0.0,2046.0,1240.0,1.01
planned_usefulness_mixture_static,tau,0.115,0.011,0.095,0.134,0.0,0.0,951.0,1422.0,1.0
planned_usefulness_mixture_anchored,alpha,0.735,0.183,0.388,1.073,0.005,0.004,1292.0,1041.0,1.0
planned_usefulness_mixture_anchored,bias,0.731,0.058,0.619,0.835,0.003,0.001,483.0,1018.0,1.01
planned_usefulness_mixture_anchored,usefulness_order_scale,3.176,0.634,2.078,4.419,0.017,0.023,1551.0,1295.0,1.0
planned_usefulness_mixture_anchored,planned_mixture_weight,0.508,0.129,0.278,0.764,0.003,0.003,1639.0,1422.0,1.0
planned_usefulness_mixture_anchored,sigma,0.712,0.01,0.693,0.731,0.0,0.0,2603.0,1639.0,1.0
planned_usefulness_mixture_anchored,tau,0.115,0.01,0.095,0.134,0.0,0.0,885.0,1330.0,1.0
planned_usefulness_mixture_anchored_static,alpha,0.742,0.183,0.383,1.058,0.005,0.004,1596.0,1142.0,1.0
planned_usefulness_mixture_anchored_static,bias,0.732,0.057,0.627,0.833,0.003,0.001,481.0,921.0,1.01
planned_usefulness_mixture_anchored_static,usefulness_order_scale,3.173,0.649,2.088,4.454,0.018,0.021,1402.0,996.0,1.0
planned_usefulness_mixture_anchored_static,planned_mixture_weight,0.506,0.128,0.27,0.748,0.003,0.003,1527.0,1400.0,1.0
planned_usefulness_mixture_anchored_static,sigma,0.711,0.01,0.693,0.73,0.0,0.0,3787.0,1836.0,1.0
planned_usefulness_mixture_anchored_static,tau,0.115,0.01,0.096,0.134,0.0,0.0,890.0,1037.0,1.0
