model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
incremental_recursive,alpha,0.69,0.06,0.567,0.79,0.001,0.001,2670.0,1767.0,1.0
incremental_recursive,bias,0.58,0.06,0.47,0.692,0.003,0.002,424.0,887.0,1.01
incremental_recursive,sigma,0.716,0.01,0.697,0.735,0.0,0.0,3174.0,1628.0,1.0
incremental_recursive,tau,0.115,0.01,0.097,0.135,0.0,0.0,991.0,1430.0,1.0
incremental_static,alpha,0.687,0.059,0.573,0.796,0.001,0.001,2378.0,1647.0,1.0
incremental_static,bias,0.577,0.06,0.467,0.69,0.003,0.002,400.0,788.0,1.01
incremental_static,sigma,0.716,0.01,0.697,0.735,0.0,0.0,2659.0,1554.0,1.0
incremental_static,tau,0.115,0.011,0.096,0.134,0.0,0.0,969.0,1449.0,1.0
incremental_free_color,alpha,1.526,0.609,0.509,2.578,0.028,0.015,469.0,425.0,1.01
incremental_free_color,bias,0.408,0.147,0.126,0.661,0.008,0.005,359.0,350.0,1.01
incremental_free_color,color_semvalue,0.633,0.099,0.5,0.822,0.004,0.002,422.0,370.0,1.01
incremental_free_color,sigma,0.717,0.01,0.696,0.735,0.0,0.0,2111.0,1593.0,1.01
incremental_free_color,tau,0.115,0.011,0.096,0.136,0.0,0.0,899.0,1224.0,1.0
incremental_static_free_color,alpha,1.475,0.549,0.515,2.442,0.018,0.01,987.0,866.0,1.01
incremental_static_free_color,bias,0.419,0.134,0.137,0.623,0.005,0.003,836.0,620.0,1.0
incremental_static_free_color,color_semvalue,0.633,0.086,0.508,0.8,0.003,0.002,944.0,859.0,1.0
incremental_static_free_color,sigma,0.716,0.01,0.699,0.739,0.0,0.0,3427.0,1502.0,1.0
incremental_static_free_color,tau,0.115,0.011,0.096,0.135,0.0,0.0,1259.0,1652.0,1.0
