model,relevant_property,sharpness,human_mean,model_mean,signed_residual,abs_residual
production_anchor_reliabilitybackup_2x2_inc_rec,both,blurred,0.7456020075441603,0.6684199,-0.07718210998785535,0.07718210998785535
production_anchor_reliabilitybackup_2x2_inc_rec,both,sharp,0.7039198614267522,0.6756051,-0.028314743152063504,0.028314743152063504
production_anchor_reliabilitybackup_2x2_inc_rec,first,blurred,0.8004220194738666,0.7131018,-0.08732021521742739,0.08732021521742739
production_anchor_reliabilitybackup_2x2_inc_rec,first,sharp,0.8430052735958975,0.75238603,-0.09061924006089384,0.09061924006089384
production_anchor_reliabilitybackup_2x2_inc_rec,second,blurred,0.5622611471576391,0.64160854,0.07934738908579964,0.07934738908579964
production_anchor_reliabilitybackup_2x2_inc_rec,second,sharp,0.5434676018329876,0.6502675,0.10679987997090645,0.10679987997090645
production_anchor_reliabilitybackup_2x2_inc_static,both,blurred,0.7456020075441603,0.6683827,-0.0772193032861952,0.0772193032861952
production_anchor_reliabilitybackup_2x2_inc_static,both,sharp,0.7039198614267522,0.6756288,-0.028291080108087674,0.028291080108087674
production_anchor_reliabilitybackup_2x2_inc_static,first,blurred,0.8004220194738666,0.71315366,-0.0872683591764728,0.0872683591764728
production_anchor_reliabilitybackup_2x2_inc_static,first,sharp,0.8430052735958975,0.75239325,-0.09061202789887601,0.09061202789887601
production_anchor_reliabilitybackup_2x2_inc_static,second,blurred,0.5622611471576391,0.64149696,0.0792358091907801,0.0792358091907801
production_anchor_reliabilitybackup_2x2_inc_static,second,sharp,0.5434676018329876,0.650293,0.10682539075887032,0.10682539075887032
production_anchor_reliabilitybackup_2x2_glob_rec,both,blurred,0.7456020075441603,0.6813895,-0.064212496912599,0.064212496912599
production_anchor_reliabilitybackup_2x2_glob_rec,both,sharp,0.7039198614267522,0.68149954,-0.022420320620935574,0.022420320620935574
production_anchor_reliabilitybackup_2x2_glob_rec,first,blurred,0.8004220194738666,0.68128246,-0.11913955878432192,0.11913955878432192
production_anchor_reliabilitybackup_2x2_glob_rec,first,sharp,0.8430052735958975,0.68148005,-0.1615252235089224,0.1615252235089224
production_anchor_reliabilitybackup_2x2_glob_rec,second,blurred,0.5622611471576391,0.6812156,0.1189544371204676,0.1189544371204676
production_anchor_reliabilitybackup_2x2_glob_rec,second,sharp,0.5434676018329876,0.6811443,0.13767669528996773,0.13767669528996773
production_anchor_reliabilitybackup_2x2_glob_static,both,blurred,0.7456020075441603,0.6814067,-0.06419533077490369,0.06419533077490369
production_anchor_reliabilitybackup_2x2_glob_static,both,sharp,0.7039198614267522,0.68151623,-0.022403631320398465,0.022403631320398465
production_anchor_reliabilitybackup_2x2_glob_static,first,blurred,0.8004220194738666,0.6812915,-0.11913049887831606,0.11913049887831606
production_anchor_reliabilitybackup_2x2_glob_static,first,sharp,0.8430052735958975,0.68149006,-0.16151520992860013,0.16151520992860013
production_anchor_reliabilitybackup_2x2_glob_static,second,blurred,0.5622611471576391,0.68120867,0.11894752298167366,0.11894752298167366
production_anchor_reliabilitybackup_2x2_glob_static,second,sharp,0.5434676018329876,0.6811336,0.13766602605855294,0.13766602605855294
