model,speaker_type,fold,artifact,n_heldout,heldout_elpd,heldout_elpd_mean,heldout_log_lik_mean,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,n_draws,divergence_rate,diagnostic_status
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_inc_rec,0,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold0of5_relbackup2x2_warmup2000_samples2000_chains4.nc,699,-581.9259033203125,-0.8325120210647583,-0.8374797105789185,275,1.0,0,0,2389.0,2418.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_inc_rec,1,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold1of5_relbackup2x2_warmup2000_samples2000_chains4.nc,698,-591.3656005859375,-0.8472286462783813,-0.8485447764396667,275,1.05,126,0,90.0,35.0,102,8000,0.01275,fail
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_inc_rec,2,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold2of5_relbackup2x2_warmup2000_samples2000_chains4.nc,698,-604.0968627929688,-0.8654682636260986,-0.871334969997406,275,1.18,189,117,16.0,65.0,0,8000,0.0,fail
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_inc_rec,3,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold3of5_relbackup2x2_warmup2000_samples2000_chains4.nc,696,-584.8772583007812,-0.8403409123420715,-0.8444610238075256,275,1.37,189,170,9.0,66.0,117,8000,0.014625,fail
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_inc_rec,4,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold4of5_relbackup2x2_warmup2000_samples2000_chains4.nc,694,-557.5477294921875,-0.8033828735351562,-0.8042879104614258,275,1.0,0,0,2854.0,2908.0,33,8000,0.004125,fail
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_static,0,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_static_speaker_hier_fold0of5_relbackup2x2_warmup2000_samples2000_chains4.nc,699,-582.024169921875,-0.8326526284217834,-0.8376275300979614,275,1.01,0,0,1167.0,636.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_static,1,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_static_speaker_hier_fold1of5_relbackup2x2_warmup2000_samples2000_chains4.nc,698,-586.665283203125,-0.840494692325592,-0.8436883687973022,275,1.18,185,155,16.0,157.0,41,8000,0.005125,fail
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_static,2,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_static_speaker_hier_fold2of5_relbackup2x2_warmup2000_samples2000_chains4.nc,698,-608.6617431640625,-0.872008204460144,-0.8762372136116028,275,1.27,246,178,12.0,12.0,701,8000,0.087625,fail
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_static,3,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_static_speaker_hier_fold3of5_relbackup2x2_warmup2000_samples2000_chains4.nc,696,-580.3541259765625,-0.8338421583175659,-0.8388534188270569,275,1.37,274,247,9.0,14.0,1633,8000,0.204125,fail
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_static,4,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_static_speaker_hier_fold4of5_relbackup2x2_warmup2000_samples2000_chains4.nc,694,-557.5211181640625,-0.8033445477485657,-0.8042753338813782,275,1.0,0,0,3199.0,3005.0,28,8000,0.0035,fail
production_anchor_reliabilitybackup_2x2_glob_rec,production_anchor_reliabilitybackup_2x2_glob_rec,0,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold0of5_relbackup2x2_warmup2000_samples2000_chains4.nc,699,-609.4938354492188,-0.8719511032104492,-0.8722211122512817,275,1.0,0,0,6127.0,2886.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_2x2_glob_rec,production_anchor_reliabilitybackup_2x2_glob_rec,1,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold1of5_relbackup2x2_warmup2000_samples2000_chains4.nc,698,-602.0894165039062,-0.8625922799110413,-0.862847626209259,275,1.0,0,0,6910.0,3341.0,0,8000,0.0,pass
