candidate,baseline,relevant_property,property_label,sharpness,baseline_model_mean,candidate_model_mean,baseline_signed_residual,candidate_signed_residual,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction,signed_residual_change,pair
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_glob_rec,both,brdc_like_both_properties,blurred,0.6813895,0.6684199,-0.064212496912599,-0.0771821099878553,0.064212496912599,0.0771821099878553,-0.012969613075256292,-0.012969613075256292,production_anchor_reliabilitybackup_architecture_recursive
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_glob_rec,both,brdc_like_both_properties,sharp,0.68149954,0.6756051,-0.0224203206209355,-0.0283147431520635,0.0224203206209355,0.0283147431520635,-0.005894422531127999,-0.005894422531127999,production_anchor_reliabilitybackup_architecture_recursive
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_glob_rec,first,erdc_like_first_property,blurred,0.68128246,0.7131018,-0.1191395587843219,-0.0873202152174273,0.1191395587843219,0.0873202152174273,0.0318193435668946,0.0318193435668946,production_anchor_reliabilitybackup_architecture_recursive
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_glob_rec,first,erdc_like_first_property,sharp,0.68148005,0.75238603,-0.1615252235089224,-0.0906192400608938,0.1615252235089224,0.0906192400608938,0.0709059834480286,0.0709059834480286,production_anchor_reliabilitybackup_architecture_recursive
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_glob_rec,second,zrdc_like_second_property,blurred,0.6812156,0.64160854,0.1189544371204676,0.0793473890857996,0.1189544371204676,0.0793473890857996,0.03960704803466801,-0.03960704803466801,production_anchor_reliabilitybackup_architecture_recursive
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_glob_rec,second,zrdc_like_second_property,sharp,0.6811443,0.6502675,0.1376766952899677,0.1067998799709064,0.1376766952899677,0.1067998799709064,0.030876815319061307,-0.030876815319061307,production_anchor_reliabilitybackup_architecture_recursive
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_glob_static,both,brdc_like_both_properties,blurred,0.6814067,0.6683827,-0.0641953307749036,-0.0772193032861952,0.0641953307749036,0.0772193032861952,-0.013023972511291601,-0.013023972511291601,production_anchor_reliabilitybackup_architecture_static
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_glob_static,both,brdc_like_both_properties,sharp,0.68151623,0.6756288,-0.0224036313203984,-0.0282910801080876,0.0224036313203984,0.0282910801080876,-0.005887448787689202,-0.005887448787689202,production_anchor_reliabilitybackup_architecture_static
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_glob_static,first,erdc_like_first_property,blurred,0.6812915,0.71315366,-0.119130498878316,-0.0872683591764728,0.119130498878316,0.0872683591764728,0.031862139701843206,0.031862139701843206,production_anchor_reliabilitybackup_architecture_static
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_glob_static,first,erdc_like_first_property,sharp,0.68149006,0.75239325,-0.1615152099286001,-0.090612027898876,0.1615152099286001,0.090612027898876,0.07090318202972411,0.07090318202972411,production_anchor_reliabilitybackup_architecture_static
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_glob_static,second,zrdc_like_second_property,blurred,0.68120867,0.64149696,0.1189475229816736,0.0792358091907801,0.1189475229816736,0.0792358091907801,0.0397117137908935,-0.0397117137908935,production_anchor_reliabilitybackup_architecture_static
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_glob_static,second,zrdc_like_second_property,sharp,0.6811336,0.650293,0.1376660260585529,0.1068253907588703,0.1376660260585529,0.1068253907588703,0.030840635299682603,-0.030840635299682603,production_anchor_reliabilitybackup_architecture_static
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_rec,both,brdc_like_both_properties,blurred,0.6684199,0.6683827,-0.0771821099878553,-0.0772193032861952,0.0771821099878553,0.0772193032861952,-3.719329833989926e-05,-3.719329833989926e-05,production_anchor_reliabilitybackup_semantics_incremental
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_rec,both,brdc_like_both_properties,sharp,0.6756051,0.6756288,-0.0283147431520635,-0.0282910801080876,0.0283147431520635,0.0282910801080876,2.3663043975899467e-05,2.3663043975899467e-05,production_anchor_reliabilitybackup_semantics_incremental
