model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,alpha,1.329,0.284,0.801,1.85,0.005,0.003,3573.0,4975.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,log_alpha,0.261,0.219,-0.159,0.653,0.004,0.002,3573.0,4975.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,log_beta_order,-0.814,0.099,-0.996,-0.624,0.001,0.001,8280.0,5807.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,lambda_salience,3.984,0.42,3.17,4.731,0.006,0.004,4979.0,5450.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,rho_salience_stop,4.025,0.438,3.197,4.828,0.007,0.004,4410.0,5354.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,sigma,0.735,0.011,0.713,0.756,0.0,0.0,7438.0,6218.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,alpha_tau,1.079,0.159,0.801,1.389,0.003,0.002,2939.0,4815.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,alpha,1.336,0.288,0.818,1.903,0.004,0.003,4289.0,5196.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,log_alpha,0.266,0.222,-0.144,0.684,0.003,0.002,4289.0,5196.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,log_beta_order,-0.812,0.098,-0.991,-0.624,0.001,0.001,11066.0,6096.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,lambda_salience,3.989,0.422,3.167,4.747,0.006,0.005,5552.0,5225.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,rho_salience_stop,4.032,0.441,3.189,4.83,0.006,0.005,4778.0,5436.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,sigma,0.735,0.011,0.713,0.756,0.0,0.0,8246.0,6137.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,alpha_tau,1.075,0.159,0.788,1.374,0.003,0.002,3039.0,4699.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,alpha,1.932,1.642,0.139,4.62,0.019,0.048,13476.0,5908.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,log_alpha,0.386,0.738,-0.996,1.787,0.006,0.009,13476.0,5908.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,log_beta_order,-1.31,0.054,-1.411,-1.212,0.0,0.001,12720.0,6209.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,lambda_salience,0.792,0.597,0.0,1.857,0.006,0.007,7321.0,3219.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,rho_salience_stop,0.591,0.446,0.001,1.407,0.004,0.005,6848.0,3490.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,sigma,0.819,0.011,0.798,0.839,0.0,0.0,12154.0,6038.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,alpha_tau,0.588,0.443,0.0,1.388,0.004,0.005,6480.0,3349.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,alpha,2.014,1.745,0.172,5.01,0.02,0.052,14705.0,5609.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,log_alpha,0.415,0.756,-1.017,1.805,0.006,0.009,14705.0,5609.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,log_beta_order,-1.31,0.054,-1.416,-1.214,0.0,0.001,13740.0,5983.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,lambda_salience,0.792,0.603,0.0,1.868,0.006,0.007,7590.0,3904.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,rho_salience_stop,0.596,0.452,0.0,1.409,0.004,0.005,7365.0,3266.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,sigma,0.819,0.011,0.798,0.839,0.0,0.0,13432.0,6455.0,1.0
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,alpha_tau,0.598,0.448,0.0,1.406,0.004,0.005,7810.0,4077.0,1.0
