model,speaker_type,fold,artifact,n_heldout,heldout_elpd,heldout_elpd_mean,heldout_log_lik_mean,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,n_draws,divergence_rate,diagnostic_status
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,0,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_rec_speaker_hier_fold0of5_logalpha2x2_warmup2000_samples2000_chains4.nc,699,-581.8515625,-0.832405686378479,-0.8432413339614868,276,1.0,0,0,1056.0,312.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,1,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_rec_speaker_hier_fold1of5_logalpha2x2_warmup2000_samples2000_chains4.nc,698,-573.9732666015625,-0.822311282157898,-0.8307897448539734,276,1.0,0,0,2236.0,1014.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,2,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_rec_speaker_hier_fold2of5_logalpha2x2_warmup2000_samples2000_chains4.nc,698,-596.3753051757812,-0.8544058799743652,-0.8639381527900696,276,1.0,0,0,2463.0,1617.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,3,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_rec_speaker_hier_fold3of5_logalpha2x2_warmup2000_samples2000_chains4.nc,696,-575.4132080078125,-0.8267431259155273,-0.837703287601471,276,1.0,0,0,2002.0,1884.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,4,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_rec_speaker_hier_fold4of5_logalpha2x2_warmup2000_samples2000_chains4.nc,694,-531.3176879882812,-0.7655874490737915,-0.7742842435836792,276,1.0,0,0,2287.0,1737.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_logalpha_2x2_inc_static,0,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_static_speaker_hier_fold0of5_logalpha2x2_warmup2000_samples2000_chains4.nc,699,-581.8778076171875,-0.8324432373046875,-0.8432632088661194,276,1.0,0,0,1798.0,928.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_logalpha_2x2_inc_static,1,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_static_speaker_hier_fold1of5_logalpha2x2_warmup2000_samples2000_chains4.nc,698,-573.9803466796875,-0.8223214149475098,-0.8307035565376282,276,1.0,0,0,2609.0,1477.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_logalpha_2x2_inc_static,2,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_static_speaker_hier_fold2of5_logalpha2x2_warmup2000_samples2000_chains4.nc,698,-596.4061889648438,-0.8544501066207886,-0.8639886379241943,276,1.0,0,0,2516.0,851.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_logalpha_2x2_inc_static,3,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_static_speaker_hier_fold3of5_logalpha2x2_warmup2000_samples2000_chains4.nc,696,-575.4981079101562,-0.8268650770187378,-0.8377959132194519,276,1.0,0,0,2421.0,1502.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_logalpha_2x2_inc_static,4,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_inc_static_speaker_hier_fold4of5_logalpha2x2_warmup2000_samples2000_chains4.nc,694,-531.3594360351562,-0.7656475901603699,-0.7742969989776611,276,1.0,0,0,2732.0,2152.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,0,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_rec_speaker_hier_fold0of5_logalpha2x2_warmup2000_samples2000_chains4.nc,699,-609.4979248046875,-0.8719569444656372,-0.8722262978553772,276,1.0,0,0,7199.0,3740.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,1,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_rec_speaker_hier_fold1of5_logalpha2x2_warmup2000_samples2000_chains4.nc,698,-602.0888671875,-0.8625915050506592,-0.8628494143486023,276,1.0,0,0,5792.0,3066.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,2,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_rec_speaker_hier_fold2of5_logalpha2x2_warmup2000_samples2000_chains4.nc,698,-621.69189453125,-0.8906760811805725,-0.8909922242164612,276,1.0,0,0,6748.0,3294.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,3,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_rec_speaker_hier_fold3of5_logalpha2x2_warmup2000_samples2000_chains4.nc,696,-604.5126953125,-0.8685527443885803,-0.8688600063323975,276,1.0,0,0,6204.0,3472.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,4,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_rec_speaker_hier_fold4of5_logalpha2x2_warmup2000_samples2000_chains4.nc,694,-564.867431640625,-0.8139300346374512,-0.8142263293266296,276,1.0,0,0,6426.0,3071.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,production_anchor_reliabilitybackup_logalpha_2x2_glob_static,0,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_static_speaker_hier_fold0of5_logalpha2x2_warmup2000_samples2000_chains4.nc,699,-609.4848022460938,-0.8719382286071777,-0.87220698595047,276,1.0,0,0,6197.0,3585.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,production_anchor_reliabilitybackup_logalpha_2x2_glob_static,1,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_static_speaker_hier_fold1of5_logalpha2x2_warmup2000_samples2000_chains4.nc,698,-602.0791625976562,-0.8625776171684265,-0.8628373742103577,276,1.0,0,0,6556.0,3414.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,production_anchor_reliabilitybackup_logalpha_2x2_glob_static,2,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_static_speaker_hier_fold2of5_logalpha2x2_warmup2000_samples2000_chains4.nc,698,-621.6796264648438,-0.8906584978103638,-0.8909749984741211,276,1.0,0,0,6949.0,3522.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,production_anchor_reliabilitybackup_logalpha_2x2_glob_static,3,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_static_speaker_hier_fold3of5_logalpha2x2_warmup2000_samples2000_chains4.nc,696,-604.5076293945312,-0.8685454726219177,-0.8688419461250305,276,1.0,0,0,5896.0,3327.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,production_anchor_reliabilitybackup_logalpha_2x2_glob_static,4,mcmc_results_production_anchor_reliabilitybackup_logalpha_2x2_glob_static_speaker_hier_fold4of5_logalpha2x2_warmup2000_samples2000_chains4.nc,694,-564.8693237304688,-0.8139327168464661,-0.8142309188842773,276,1.0,0,0,6866.0,2871.0,0,8000,0.0,pass
