model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,alpha,1.257,0.272,0.766,1.767,0.005,0.003,3070.0,4140.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,log_alpha,0.204,0.223,-0.201,0.622,0.004,0.003,3070.0,4140.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,log_beta_order,-1.305,0.189,-1.656,-0.947,0.003,0.002,5368.0,4434.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,lambda_salience,3.839,0.381,3.148,4.589,0.006,0.004,3565.0,5231.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,rho_salience_stop,4.325,0.408,3.584,5.124,0.007,0.005,3168.0,4587.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,lambda_order_planning,0.41,0.1,0.215,0.59,0.001,0.002,5221.0,3356.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,sigma,0.728,0.012,0.707,0.75,0.0,0.0,5073.0,6468.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,alpha_tau,1.116,0.164,0.821,1.424,0.003,0.002,2540.0,4110.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,alpha,1.26,0.273,0.766,1.774,0.006,0.003,2333.0,2866.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,log_alpha,0.207,0.224,-0.206,0.622,0.005,0.003,2333.0,2866.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,log_beta_order,-1.306,0.186,-1.672,-0.974,0.003,0.002,4788.0,4378.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,lambda_salience,3.837,0.387,3.143,4.591,0.007,0.004,3136.0,4640.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,rho_salience_stop,4.324,0.417,3.591,5.14,0.008,0.004,2670.0,3891.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,lambda_order_planning,0.41,0.099,0.218,0.585,0.001,0.001,4559.0,3436.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,sigma,0.728,0.012,0.707,0.75,0.0,0.0,4823.0,5810.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,alpha_tau,1.118,0.163,0.837,1.429,0.003,0.003,2183.0,3494.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,alpha,1.951,1.66,0.154,4.754,0.019,0.055,13802.0,5527.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,log_alpha,0.394,0.742,-1.002,1.767,0.006,0.009,13802.0,5527.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,log_beta_order,-1.348,0.054,-1.452,-1.249,0.0,0.001,12203.0,6463.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,lambda_salience,0.803,0.6,0.0,1.876,0.006,0.007,7141.0,4178.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,rho_salience_stop,0.594,0.446,0.0,1.383,0.004,0.005,6928.0,3115.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,lambda_order_planning,0.677,0.06,0.561,0.785,0.001,0.001,12089.0,5786.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,sigma,0.792,0.011,0.77,0.812,0.0,0.0,12164.0,6357.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,alpha_tau,0.593,0.452,0.0,1.396,0.004,0.005,6828.0,3383.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,alpha,1.992,1.753,0.148,4.766,0.021,0.067,9641.0,5960.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,log_alpha,0.411,0.745,-0.97,1.847,0.008,0.009,9641.0,5960.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,log_beta_order,-1.347,0.055,-1.453,-1.246,0.001,0.001,9387.0,6941.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,lambda_salience,0.797,0.604,0.0,1.908,0.006,0.007,5681.0,2806.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,rho_salience_stop,0.594,0.451,0.0,1.399,0.004,0.005,6974.0,3152.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,lambda_order_planning,0.677,0.06,0.56,0.787,0.001,0.001,10390.0,5918.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,sigma,0.792,0.011,0.77,0.812,0.0,0.0,10492.0,5786.0,1.0
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,alpha_tau,0.605,0.459,0.0,1.435,0.004,0.005,6178.0,2800.0,1.0
