comparison,left_variant,right_variant,architecture,conditions,relevant_property,sharpness,mean_signed_delta,mean_abs_delta,max_abs_delta,n
current_context_effect,current_context_fixed,current_context_updating,global,brdc,both,blurred,-0.0006815646959448122,0.0007464872473892934,0.0018661747604503676,598
current_context_effect,current_context_fixed,current_context_updating,global,brdc,both,sharp,-0.0002070132049444671,0.00022687465638805194,0.0009764370557932001,574
current_context_effect,current_context_fixed,current_context_updating,global,erdc,first,blurred,-0.000894770650273189,0.000894770650273189,0.010058289146472887,545
current_context_effect,current_context_fixed,current_context_updating,global,erdc,first,sharp,-0.0006313969943752505,0.0006313969943752505,0.008492970469497152,569
current_context_effect,current_context_fixed,current_context_updating,global,zrdc,second,blurred,-2.483197533125783e-09,2.483197533125783e-09,6.780208916534747e-08,628
current_context_effect,current_context_fixed,current_context_updating,global,zrdc,second,sharp,-2.4935969745574377e-09,2.4935969745574377e-09,6.780208916534747e-08,571
current_context_effect,current_context_fixed,current_context_updating,incremental,brdc,both,blurred,-0.00027939267524280427,0.0003058980635936102,0.0007603497029189388,598
current_context_effect,current_context_fixed,current_context_updating,incremental,brdc,both,sharp,-8.088766345778665e-05,8.827975743312672e-05,0.0003823480376065058,574
current_context_effect,current_context_fixed,current_context_updating,incremental,erdc,first,blurred,-0.00035799377329449693,0.00035799377329449693,0.003978929368395168,545
current_context_effect,current_context_fixed,current_context_updating,incremental,erdc,first,sharp,-0.00025092831732269056,0.00025092831732269056,0.0033665321546443305,569
current_context_effect,current_context_fixed,current_context_updating,incremental,zrdc,second,blurred,-1.01014804924853e-09,1.01014804924853e-09,2.758143369252508e-08,628
current_context_effect,current_context_fixed,current_context_updating,incremental,zrdc,second,sharp,-1.0143784720543376e-09,1.0143784720543376e-09,2.758143369252508e-08,571
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,global,brdc,both,blurred,0.0,0.0,0.0,598
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,global,brdc,both,sharp,0.0,0.0,0.0,574
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,global,erdc,first,blurred,-2.6889805367068013e-17,5.785382366854027e-17,2.220446049250313e-16,545
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,global,erdc,first,sharp,8.194967844333317e-18,2.3804430404968208e-17,2.220446049250313e-16,569
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,global,zrdc,second,blurred,0.0,0.0,0.0,628
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,global,zrdc,second,sharp,0.0,0.0,0.0,571
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,incremental,brdc,both,blurred,0.0,0.0,0.0,598
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,incremental,brdc,both,sharp,0.0,0.0,0.0,574
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,incremental,erdc,first,blurred,-0.022351479611129963,0.022351479611129963,0.02547162223184718,545
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,incremental,erdc,first,sharp,-0.021942642244475865,0.021942642244475865,0.023844120293491256,569
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,incremental,zrdc,second,blurred,0.0,0.0,0.0,628
target_match_encoding_effect,current_context_fixed,target_match_context_fixed,incremental,zrdc,second,sharp,0.0,0.0,0.0,571
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,global,brdc,both,blurred,-0.0006815646959448122,0.0007464872473892934,0.0018661747604503676,598
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,global,brdc,both,sharp,-0.0002070132049444671,0.00022687465638805194,0.0009764370557932001,574
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,global,erdc,first,blurred,0.0,0.0,0.0,545
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,global,erdc,first,sharp,0.0,0.0,0.0,569
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,global,zrdc,second,blurred,-2.483197533125783e-09,2.483197533125783e-09,6.780208916534747e-08,628
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,global,zrdc,second,sharp,-2.4935969745574377e-09,2.4935969745574377e-09,6.780208916534747e-08,571
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,incremental,brdc,both,blurred,-0.00027939267524280427,0.0003058980635936102,0.0007603497029189388,598
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,incremental,brdc,both,sharp,-8.088766345778665e-05,8.827975743312672e-05,0.0003823480376065058,574
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,incremental,erdc,first,blurred,0.0,0.0,0.0,545
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,incremental,erdc,first,sharp,0.0,0.0,0.0,569
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,incremental,zrdc,second,blurred,-1.01014804924853e-09,1.01014804924853e-09,2.758143369252508e-08,628
target_match_posterior_context_effect,target_match_context_fixed,target_match_context_updating,incremental,zrdc,second,sharp,-1.0143784720543376e-09,1.0143784720543376e-09,2.758143369252508e-08,571
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,global,brdc,both,blurred,-0.0006815646959448122,0.0007464872473892934,0.0018661747604503676,598
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,global,brdc,both,sharp,-0.0002070132049444671,0.00022687465638805194,0.0009764370557932001,574
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,global,erdc,first,blurred,-0.0010441552800820049,0.0010441552800820049,0.006428853041414606,545
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,global,erdc,first,sharp,-0.0015744748024915545,0.0015744748024915545,0.008213959536960358,569
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,global,zrdc,second,blurred,1.691213592837333e-05,3.9408969119749395e-05,0.00011103479032581465,628
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,global,zrdc,second,sharp,3.312292703989197e-05,5.932458518886518e-05,0.00019902502335422678,571
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,incremental,brdc,both,blurred,-0.00027939267524280427,0.0003058980635936102,0.0007603497029189388,598
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,incremental,brdc,both,sharp,-8.088766345778665e-05,8.827975743312672e-05,0.0003823480376065058,574
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,incremental,erdc,first,blurred,-0.0004462034916393099,0.0004462034916393099,0.0027475760260818882,545
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,incremental,erdc,first,sharp,-0.0006584553179339521,0.0006584553179339521,0.003413499356508587,569
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,incremental,zrdc,second,blurred,7.003739310367998e-06,1.6186032444045277e-05,4.569811945809299e-05,628
tmcc_context_effect,target_match_context_fixed,tmcc_context_updating,incremental,zrdc,second,sharp,1.3647671470061858e-05,2.433708331339926e-05,8.177794496755375e-05,571
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,global,brdc,both,blurred,0.0,0.0,0.0,598
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,global,brdc,both,sharp,0.0,0.0,0.0,574
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,global,erdc,first,blurred,-0.0001493846298088429,0.0019389259303552368,0.010058289146472887,545
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,global,erdc,first,sharp,-0.0009430778081162958,0.002205871796866829,0.008492970469497152,569
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,global,zrdc,second,blurred,1.6914619125906454e-05,3.940648592221627e-05,0.00011103479032581465,628
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,global,zrdc,second,sharp,3.3125420636866524e-05,5.9322091591890626e-05,0.00019902502335422678,571
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,incremental,brdc,both,blurred,0.0,0.0,0.0,598
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,incremental,brdc,both,sharp,0.0,0.0,0.0,574
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,incremental,erdc,first,blurred,-0.022439689329474776,0.02243968932947478,0.024805108491772532,545
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,incremental,erdc,first,sharp,-0.022350169245087124,0.022350169245087124,0.025233781047610426,569
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,incremental,zrdc,second,blurred,7.0047494584172456e-06,1.618502229599603e-05,4.569811945809299e-05,628
full_tmcc_vs_current_updating,current_context_updating,tmcc_context_updating,incremental,zrdc,second,sharp,1.3648685848533913e-05,2.4336068934927206e-05,8.177794496755375e-05,571
