variant,semantic_family,semantic_regime,state_encoding,size_context_mode,architecture,conditions,relevant_property,sharpness,human_mean,pred_mean,pred_min,pred_max,signed_residual_mean,abs_residual_mean,first_step_size_mean,continue_after_size_mean,continue_after_colour_mean,chain_dc_mean,chain_cd_mean,n,rmse
current_context_fixed,current,context_fixed,canonical,static,global,brdc,both,blurred,0.7456020066889633,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.1351950712889191,0.2422509827101397,,,,,,598,0.3614477629713453
current_context_fixed,current,context_fixed,canonical,static,global,brdc,both,sharp,0.7039198606271777,0.8807970779778824,0.8807970779778823,0.8807970779778825,0.17687721735070466,0.28621976672666527,,,,,,574,0.4186005930327804
current_context_fixed,current,context_fixed,canonical,static,global,erdc,first,blurred,0.8004220183486239,0.8807970779778824,0.8807970779778823,0.8807970779778825,0.0803750596292585,0.20050033658008332,,,,,,545,0.3094321072410784
current_context_fixed,current,context_fixed,canonical,static,global,erdc,first,sharp,0.8430052724077329,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.03779180557014947,0.1784721572143699,,,,,,569,0.27850409622213806
current_context_fixed,current,context_fixed,canonical,static,global,zrdc,second,blurred,0.5622611464968154,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.318535931481067,0.40263638432698384,,,,,,628,0.5278460872538356
current_context_fixed,current,context_fixed,canonical,static,global,zrdc,second,sharp,0.5434676007005254,0.8807970779778823,0.8807970779778823,0.8807970779778823,0.3373294772773569,0.42662516490412034,,,,,,571,0.555031587090869
current_context_fixed,current,context_fixed,canonical,static,incremental,brdc,both,blurred,0.7456020066889633,0.8664911670144504,0.8594139314340303,0.874272219700609,0.12088916032548727,0.24324050421078258,0.44685315478039256,0.6324760710581914,0.5815727240956164,0.28261140386150396,0.3215702094065646,598,0.3564279684171607
current_context_fixed,current,context_fixed,canonical,static,incremental,brdc,both,sharp,0.7039198606271777,0.8722353339478676,0.8682786594447345,0.8759894534725567,0.16831547332068988,0.28733050535247695,0.46817062592181174,0.6358609930476063,0.6058232792011875,0.29770648804019695,0.32212553682569794,574,0.41520940726313765
current_context_fixed,current,context_fixed,canonical,static,incremental,erdc,first,blurred,0.8004220183486239,0.9168760370994123,0.9110171170111517,0.9221585375626814,0.11645401875078847,0.19525163598896164,0.686784673604617,0.41301974468283537,0.6063830358185388,0.28369782318597675,0.18970418301499395,545,0.32063788792462483
current_context_fixed,current,context_fixed,canonical,static,incremental,erdc,first,sharp,0.8430052724077329,0.9182199592000803,0.9138923157746647,0.922925300541809,0.07521468679234733,0.16583422901990993,0.6935669523324558,0.4110350077633103,0.6121104333997657,0.2851506597347498,0.18742134755471962,569,0.2861006434734682
current_context_fixed,current,context_fixed,canonical,static,incremental,zrdc,second,blurred,0.5622611464968154,0.8083363357496478,0.8008389079721813,0.815391000328282,0.2460751892528325,0.3933759357920349,0.28859426237022273,0.7218808613508473,0.5128066648402313,0.2083040062459439,0.3647519606923868,628,0.4875516200622121
