combination,relevant_property,sharpness,category,Fully incremental,Global,Plan-guided,architecture_spread,endpoint_difference,plan_guided_minus_endpoint_midpoint,summary_type
color_form,both,sharp,F,0.1688039832285115,0.3038233752620545,0.2435639412997903,0.135019392033543,-0.135019392033543,0.007250262054507295,Initial adjective
dimension_form,both,blurred,C,0.5130819209039548,0.3911365348399247,0.4852923728813559,0.12194538606403005,0.12194538606403005,0.03318314500941616,Initial adjective
color_form,both,blurred,F,0.1382685185185185,0.2532407407407407,0.1969754629629629,0.1149722222222222,-0.1149722222222222,0.0012208333333332821,Initial adjective
dimension_form,both,sharp,C,0.443877358490566,0.3315780922431866,0.4082866876310272,0.1122992662473794,0.1122992662473794,0.020558962264150937,Initial adjective
color_form,both,sharp,C,0.5617431865828092,0.4535204402515723,0.5202028301886792,0.10822274633123691,0.10822274633123691,0.012571016771488419,Initial adjective
dimension_form,first,blurred,C,0.3534951550387597,0.2488798449612402,0.3235833333333334,0.10461531007751954,0.10461531007751954,0.022395833333333448,Initial adjective
color_form,both,sharp,1,0.156520964360587,0.2562222222222223,0.251045073375262,0.0997012578616353,-0.0997012578616353,0.04467348008385735,Response length
color_form,both,sharp,CF,0.4577353249475891,0.3616446540880503,0.4146027253668763,0.09609067085953882,0.09609067085953882,0.004912735849056604,Exact response
dimension_form,both,blurred,CF,0.4044755178907721,0.3101412429378531,0.3864618644067797,0.09433427495291896,0.09433427495291896,0.029153483992467144,Exact response
color_form,both,blurred,C,0.5106189814814815,0.4229699074074073,0.48445,0.08764907407407424,0.08764907407407424,0.01765555555555559,Initial adjective
dimension_form,first,blurred,DFC,0.016000968992248,0.1034345930232557,0.0381472868217054,0.0874336240310077,-0.0874336240310077,-0.021570494186046445,Exact response
dimension_form,first,sharp,DCF,0.2812868421052631,0.1964463157894737,0.2770889473684211,0.08484052631578942,0.08484052631578942,0.0382223684210527,Exact response
dimension_form,both,sharp,CF,0.3214229559748428,0.243272536687631,0.2946357442348008,0.07815041928721178,0.07815041928721178,0.01228799790356394,Exact response
color_form,both,blurred,CF,0.4250402777777777,0.3480486111111111,0.4020203703703703,0.07699166666666662,0.07699166666666662,0.015475925925925949,Exact response
color_form,both,blurred,1,0.1333680555555555,0.207524537037037,0.1964046296296296,0.07415648148148149,-0.07415648148148149,0.025958333333333333,Response length
dimension_form,both,blurred,F,0.0985084745762711,0.1716671374764595,0.12729802259887,0.07315866290018841,-0.07315866290018841,-0.0077897834274953115,Initial adjective
color_form,both,sharp,F,0.1029544025157232,0.1746011530398322,0.1653810272536687,0.071646750524109,-0.071646750524109,0.026603249475891017,Exact response
dimension_form,first,sharp,DFC,0.0168963157894736,0.0876878947368421,0.0365647368421052,0.07079157894736851,-0.07079157894736851,-0.01572736842105265,Exact response
dimension_form,first,blurred,CF,0.2379147286821705,0.1689762596899224,0.2213575581395348,0.06893846899224812,0.06893846899224812,0.01791206395348835,Exact response
dimension_color,both,sharp,C,0.3234028361344537,0.2558560924369747,0.2892326680672268,0.06754674369747898,0.06754674369747898,-0.0003967962184874274,Initial adjective
dimension_form,both,sharp,F,0.1139281970649895,0.1783993710691823,0.1413831236897274,0.0644711740041928,-0.0644711740041928,-0.004780660377358498,Initial adjective
dimension_form,first,blurred,DCF,0.2943536821705426,0.2529685077519379,0.3168347868217054,0.0638662790697675,0.041385174418604675,0.04317369186046516,Exact response
dimension_color,both,blurred,F,0.148121521335807,0.2115839517625231,0.1849893320964749,0.0634624304267161,-0.0634624304267161,0.00513659554730983,Initial adjective
dimension_form,first,blurred,D,0.5910891472868217,0.6538095930232558,0.608890019379845,0.0627204457364341,-0.0627204457364341,-0.013559350775193768,Initial adjective
color_form,both,sharp,FC,0.0583537735849056,0.1207384696016771,0.0722159329140461,0.0623846960167715,-0.0623846960167715,-0.017330188679245254,Exact response
