combination,relevant_property,sharpness,tv_G_K,tv_G_I,tv_K_I,maximum_pairwise_tv,mean_pairwise_tv
dimension_form,first,blurred,0.1576814437984496,0.2204496124031008,0.0875813953488371,0.2204496124031008,0.1552374838501292
color_form,both,sharp,0.086518998951782,0.1930974842767295,0.1199685534591194,0.1930974842767295,0.1331950122292103
dimension_form,first,sharp,0.1257706578947368,0.1739548684210526,0.0585115789473684,0.1739548684210526,0.1194123684210526
color_form,both,blurred,0.0835644675925924,0.1707981481481481,0.0948101851851852,0.1707981481481481,0.1163909336419752
dimension_form,both,sharp,0.1114614779874214,0.1664458857442348,0.07758857442348,0.1664458857442348,0.1184986460517121
dimension_form,both,blurred,0.1186977401129942,0.1615077683615819,0.0817716572504708,0.1615077683615819,0.1206590552416823
dimension_color,both,blurred,0.0619078153988869,0.1211147959183673,0.0784267161410017,0.1211147959183673,0.0871497758194187
dimension_color,both,sharp,0.0632158613445379,0.1083256302521008,0.0714338235294115,0.1083256302521008,0.0809917717086834
color_form,first,blurred,0.0433225694444445,0.0925415509259259,0.0492245370370369,0.0925415509259259,0.0616962191358025
color_form,first,sharp,0.0363041142557653,0.0913359538784067,0.0552332285115302,0.0913359538784067,0.0609577655485674
dimension_color,first,blurred,0.0397554554079695,0.0890531309297912,0.0592073055028461,0.0890531309297912,0.062671963946869
dimension_form,second,blurred,0.0517193287037038,0.0868951388888888,0.063537037037037,0.0868951388888888,0.0673838348765432
dimension_form,second,sharp,0.0509271271008402,0.0704961922268908,0.0444816176470588,0.0704961922268908,0.0553016456582633
dimension_color,second,sharp,0.0304462788259957,0.0607172431865828,0.0321519916142559,0.0607172431865828,0.0411051712089448
dimension_color,first,sharp,0.0377306578947368,0.0534123684210525,0.0267815789473684,0.0534123684210525,0.0393082017543859
color_form,second,blurred,0.0247366898148148,0.0531134259259261,0.0284712962962964,0.0531134259259261,0.0354404706790124
dimension_color,second,blurred,0.0305537037037037,0.0524189814814814,0.0237199074074074,0.0524189814814814,0.0355641975308642
color_form,second,sharp,0.0186691561844865,0.0362129192872119,0.0194737945492662,0.0362129192872119,0.0247852900069882
