row_type,estimand,label,architecture,semantic_regime,estimate_elpd,posterior_mean,posterior_median,credible_lower_95,credible_upper_95,posterior_probability,probability_positive,probability_negative,probability_within_pm4,practical_margin,participant_count,posterior_draws,posterior_seed,posterior_method
factorial_cell,predictive_loss_relative_to_plan_guided_updating,G-HO,Global,Context-fixed,203.4852112728804,203.35732305239665,209.66521916830425,19.078848687319805,349.958410349208,,0.982665,0.017335,0.002445,4.0,113,200000,20260812,participant-level Bayesian bootstrap
factorial_cell,predictive_loss_relative_to_plan_guided_updating,K-HO,Plan-guided,Context-fixed,-61.68291613446854,-61.69616315769834,-61.53571223485324,-80.85541504683279,-43.52406702515778,,0.0,1.0,0.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
factorial_cell,predictive_loss_relative_to_plan_guided_updating,I-HO,Fully incremental,Context-fixed,505.7373319811304,506.05705037358416,497.52258850200906,308.6252536358889,752.0202713854549,,1.0,0.0,0.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
factorial_cell,predictive_loss_relative_to_plan_guided_updating,G-UPD-HO,Global,Sequential context updating,248.5891500919552,248.4719894078767,254.62094053163943,67.8242135646282,392.8708485030936,,0.99353,0.00647,0.00112,4.0,113,200000,20260812,participant-level Bayesian bootstrap
factorial_cell,predictive_loss_relative_to_plan_guided_updating,K-UPD-HO,Plan-guided,Sequential context updating,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
factorial_cell,predictive_loss_relative_to_plan_guided_updating,I-UPD-HO,Fully incremental,Sequential context updating,529.5299890957413,529.8620397516003,521.5334090305187,333.9789877254772,773.6914904618363,,1.0,0.0,0.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
factor_main_effect,production_architecture_main_effect,All marginal architecture scores within 4 ELPD,,,,,,,,0.0,,,,4.0,113,200000,20260812,participant-level Bayesian bootstrap
factor_ordering_probability,production_architecture_main_effect,Plan-guided has highest marginal predictive accuracy,,,,,,,,0.993825,,,,4.0,113,200000,20260812,participant-level Bayesian bootstrap
planned_contrast,production_architecture_planned_contrast,Plan-guided minus average endpoints,,,402.6768786776611,402.7851822252136,401.1410133782483,311.4656069965311,503.09819561284417,,1.0,0.0,0.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
planned_contrast,production_architecture_planned_contrast,Fully incremental minus Global,,,-291.59647985601623,-292.0448888324556,-273.77796339471934,-684.6728134123603,-1.3212873238932417,,0.024425,0.975575,0.00368,4.0,113,200000,20260812,participant-level Bayesian bootstrap
marginal_pairwise,production_architecture_pairwise,Plan-guided minus Global,,,256.87863874965296,256.76273780898583,262.93178088063087,71.79383416175607,404.69948080021794,,0.993825,0.006175,0.00101,4.0,113,200000,20260812,participant-level Bayesian bootstrap
marginal_pairwise,production_architecture_pairwise,Plan-guided minus Fully incremental,,,548.4751186056692,548.8076266414414,540.7556366319868,349.84810488984755,795.0645708761709,,1.0,0.0,0.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
factor_main_effect,semantic_regime_main_effect,Average across production architectures,,,-43.52650402271805,-43.53860629706482,-43.41381355567288,-56.00524146239864,-31.77022576641101,,0.0,1.0,0.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
simple_effect,semantic_regime_simple_effect,Global,Global,,-45.10393881907476,-45.11466635548008,-45.08972376517977,-60.18810989619415,-30.17392575717177,,0.0,1.0,0.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
simple_effect,semantic_regime_simple_effect,Plan-guided,Plan-guided,,-61.68291613446854,-61.69616315769834,-61.53571223485324,-80.85541504683279,-43.52406702515778,,0.0,1.0,0.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
simple_effect,semantic_regime_simple_effect,Fully incremental,Fully incremental,,-23.792657114610847,-23.804989378016064,-23.646826432775924,-32.408584367443424,-16.075237837346602,,0.0,1.0,0.0,4.0,113,200000,20260812,participant-level Bayesian bootstrap
interaction_practical_null,production_by_semantics_interaction,All architecture-specific semantic effects within a 4-ELPD range,,,,,,,,0.0,,,,4.0,113,200000,20260812,participant-level Bayesian bootstrap
