row_type,estimand,label,architecture,semantic_regime,estimate_elpd,posterior_mean,posterior_median,credible_lower_95,credible_upper_95,probability_positive,probability_negative,probability_within_pm4,practical_margin,participant_count,posterior_draws,posterior_seed,posterior_method
factorial_cell,predictive_loss_relative_to_best,G-HO,Global,Context-fixed,581.9043741584774,581.5600966718598,576.6921122438616,433.3709706728997,758.2023086813513,1.0,0.0,0.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
factorial_cell,predictive_loss_relative_to_best,K-HKO,Plan-guided,Context-fixed,0.8748888361369609,0.8730422736386169,0.8719881950928539,-0.6052758626132799,2.3569745875640815,0.879245,0.120755,0.999935,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
factorial_cell,predictive_loss_relative_to_best,I-HO,Fully incremental,Context-fixed,774.6866745611696,774.4499016161607,758.4351756577098,508.06586084267684,1131.7001940438352,1.0,0.0,0.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
factorial_cell,predictive_loss_relative_to_best,G-UPD-HO,Global,Sequential context updating,583.0255415947468,582.6794773338893,577.7689042388165,434.68633497276846,759.1768836646404,1.0,0.0,0.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
factorial_cell,predictive_loss_relative_to_best,K-UPD-HKO,Plan-guided,Sequential context updating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
factorial_cell,predictive_loss_relative_to_best,I-UPD-HO,Fully incremental,Sequential context updating,774.4017209071862,774.1646132032979,758.1572570611825,507.8699018849653,1131.341622322038,1.0,0.0,0.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,production_main_effect,K-HKO family minus average endpoint family,Plan-guided,,678.067133387327,677.7770010694826,671.6730381810894,509.1095236174568,880.7603463891538,1.0,0.0,0.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,production_main_effect,"Fully incremental minus Global, averaged across semantics",Fully incremental,,-192.07923985756588,-192.18747040685489,-173.80952710465135,-574.6336462801189,86.12480490597056,0.105745,0.894255,0.01199,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,semantic_main_effect,"Updating minus fixed, averaged across architectures",,,0.0128916846169886,0.0129833414906972,0.0128771265481191,-0.9290881291026684,0.9536566529283238,0.510595,0.489405,1.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,semantic_simple_effect,Global,Global,,-1.1211674362693884,-1.1193806620295264,-1.124496421331969,-2.697272913915276,0.492221109293586,0.08205,0.91795,0.99971,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,semantic_simple_effect,Plan-guided,Plan-guided,,0.8748888361369609,0.8730422736387442,0.8719881950928539,-0.6052758626132345,2.3569745875622625,0.879245,0.120755,0.999935,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,semantic_simple_effect,Fully incremental,Fully incremental,,0.2849536539833934,0.2852884128628739,0.2843112565442425,-0.9434829788177922,1.5177908916467002,0.677115,0.322885,1.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,architecture_by_semantics_interaction,D_K minus D_G,,,1.9960562724063493,1.9924229356682708,1.9996562362130137,-0.2274267085234896,4.169112274059396,0.961165,0.038835,0.964875,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,architecture_by_semantics_interaction,D_I minus D_G,,,1.406121090252782,1.4046690748924002,1.4050959251044333,-0.0222716584313275,2.820476663174121,0.973455,0.026545,0.999705,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,participant_kappa_contribution_fixed,K-HKO minus old K-HO,Plan-guided,,351.4245694436595,351.240338310267,344.2879162881709,239.3534983427444,503.1196049444927,1.0,0.0,0.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
contrast,participant_kappa_contribution_updating,K-UPD-HKO minus old K-UPD-HO,Plan-guided,,352.1503694855601,351.9626732432093,344.89854472505067,240.0215015599192,504.081195439762,1.0,0.0,0.0,4.0,113,200000,20260813,"participant-level Dirichlet(1,...,1) Bayesian bootstrap"
