panel,label,semantic_regime,estimate,lower,upper
Factorial predictive loss,Global,Context-fixed,203.4852112728804,19.078848687319805,349.958410349208
Factorial predictive loss,Plan-guided,Context-fixed,-61.68291613446854,-80.85541504683279,-43.52406702515778
Factorial predictive loss,Fully incremental,Context-fixed,505.7373319811304,308.6252536358889,752.0202713854549
Factorial predictive loss,Global,Sequential context updating,248.5891500919552,67.8242135646282,392.8708485030936
Factorial predictive loss,Plan-guided,Sequential context updating,0,0,0
Factorial predictive loss,Fully incremental,Sequential context updating,529.5299890957413,333.9789877254772,773.6914904618363
Successive-choice contribution,kappa,NA,0.4459711585225396,0.4072315645330528,0.4861958539575372
Semantic architecture,Average across architectures,NA,-43.52650402271805,-56.00524146239864,-31.77022576641101
Semantic architecture,Global,NA,-45.10393881907476,-60.18810989619415,-30.17392575717177
Semantic architecture,Plan-guided,NA,-61.68291613446854,-80.85541504683279,-43.52406702515778
Semantic architecture,Fully incremental,NA,-23.792657114610847,-32.408584367443424,-16.075237837346602
