outcome,context,discriminability,model,observed_proportion,predicted_mean,residual,residual_lower,residual_upper
Size-initial responses,Both necessary,Low,Global,0.49165120593692024,0.487610853432282,-0.004040352504638245,-0.04638218923933213,0.04081632653061218
Size-initial responses,Both necessary,High,Global,0.6449579831932774,0.5331769957983192,-0.11178098739495812,-0.15966386554621853,-0.06512605042016806
Size-initial responses,Size sufficient,Low,Global,0.793168880455408,0.707634724857685,-0.08553415559772304,-0.1252371916508539,-0.04554079696394686
Size-initial responses,Size sufficient,High,Global,0.7642105263157895,0.8250131578947368,0.060802631578947386,0.025263157894736876,0.09473684210526323
Size-initial responses,Colour sufficient,Low,Global,0.04259259259259259,0.1353162037037037,0.0927236111111111,0.0648148148148148,0.1222222222222222
Size-initial responses,Colour sufficient,High,Global,0.01048218029350104,0.12679769392033544,0.1163155136268344,0.0880503144654088,0.14675052410901468
Size-initial responses,Both necessary,Low,Plan-guided,0.49165120593692024,0.4732073283858998,-0.01844387755102045,-0.06122448979591838,0.024118738404452666
Size-initial responses,Both necessary,High,Plan-guided,0.6449579831932774,0.5204201680672268,-0.12453781512605056,-0.17016806722689082,-0.07773109243697485
Size-initial responses,Size sufficient,Low,Plan-guided,0.793168880455408,0.7269454459203036,-0.06622343453510438,-0.10436432637571158,-0.028462998102466885
Size-initial responses,Size sufficient,High,Plan-guided,0.7642105263157895,0.8424315789473684,0.07822105263157897,0.04210526315789476,0.10947368421052639
Size-initial responses,Colour sufficient,Low,Plan-guided,0.04259259259259259,0.1210023148148148,0.0784097222222222,0.05185185185185185,0.1074074074074074
Size-initial responses,Colour sufficient,High,Plan-guided,0.01048218029350104,0.10932232704402514,0.0988401467505241,0.07127882599580714,0.1278825995807128
Size-initial responses,Both necessary,Low,Fully incremental,0.49165120593692024,0.4890556586270872,-0.002595547309833024,-0.04638218923933213,0.04081632653061218
Size-initial responses,Both necessary,High,Fully incremental,0.6449579831932774,0.5150824579831932,-0.12987552521008416,-0.17647058823529416,-0.08193277310924374
Size-initial responses,Size sufficient,Low,Fully incremental,0.793168880455408,0.750045540796964,-0.04312333965844406,-0.0815939278937382,-0.005692599620493399
Size-initial responses,Size sufficient,High,Fully incremental,0.7642105263157895,0.8475794736842105,0.08336894736842104,0.04842105263157892,0.11789473684210527
Size-initial responses,Colour sufficient,Low,Fully incremental,0.04259259259259259,0.11941388888888887,0.07682129629629628,0.05000000000000001,0.10555555555555554
Size-initial responses,Colour sufficient,High,Fully incremental,0.01048218029350104,0.11221698113207546,0.10173480083857442,0.07337526205450735,0.12997903563941302
Redundant adjective use,Both necessary,Low,Global,0.4025974025974026,0.28444990723562147,-0.11814749536178115,-0.15584415584415587,-0.07977736549165121
Redundant adjective use,Both necessary,High,Global,0.37184873949579833,0.30083140756302523,-0.0710173319327731,-0.11344537815126049,-0.027310924369747913
Redundant adjective use,Size sufficient,Low,Global,0.8975332068311196,0.85051944971537,-0.04701375711574962,-0.07969639468690703,-0.017077798861480087
Redundant adjective use,Size sufficient,High,Global,0.6252631578947369,0.6674015789473684,0.04213842105263155,-0.004210526315789553,0.09052631578947368
Redundant adjective use,Colour sufficient,Low,Global,0.3388888888888889,0.24806851851851852,-0.09082037037037038,-0.125925925925926,-0.05555555555555558
Redundant adjective use,Colour sufficient,High,Global,0.26415094339622647,0.21548899371069186,-0.04866194968553461,-0.08595387840670865,-0.01048218029350112
Redundant adjective use,Both necessary,Low,Plan-guided,0.4025974025974026,0.27270686456400745,-0.12989053803339518,-0.16883116883116886,-0.08905380333951762
Redundant adjective use,Both necessary,High,Plan-guided,0.37184873949579833,0.29656880252100837,-0.07527993697478996,-0.11974789915966388,-0.031512605042016806
Redundant adjective use,Size sufficient,Low,Plan-guided,0.8975332068311196,0.8521579696394687,-0.04537523719165093,-0.07779886148007598,-0.013282732447817858
Redundant adjective use,Size sufficient,High,Plan-guided,0.6252631578947369,0.6827457894736843,0.057482631578947396,0.010526315789473606,0.10315789473684212
Redundant adjective use,Colour sufficient,Low,Plan-guided,0.3388888888888889,0.2445291666666667,-0.09435972222222222,-0.12962962962962965,-0.05740740740740746
Redundant adjective use,Colour sufficient,High,Plan-guided,0.26415094339622647,0.20850890985324955,-0.05564203354297692,-0.09224318658280928,-0.018867924528301994
Redundant adjective use,Both necessary,Low,Fully incremental,0.4025974025974026,0.26101484230055655,-0.14158256029684607,-0.18181818181818185,-0.10204081632653061
Redundant adjective use,Both necessary,High,Fully incremental,0.37184873949579833,0.28297006302521005,-0.08887867647058828,-0.13025210084033614,-0.04411764705882354
Redundant adjective use,Size sufficient,Low,Fully incremental,0.8975332068311196,0.8454051233396584,-0.05212808349146114,-0.08538899430740043,-0.020872865275142316
Redundant adjective use,Size sufficient,High,Fully incremental,0.6252631578947369,0.6921200000000001,0.06685684210526321,0.0189473684210526,0.11373684210526314
Redundant adjective use,Colour sufficient,Low,Fully incremental,0.3388888888888889,0.2466328703703704,-0.0922560185185185,-0.12962962962962965,-0.05555555555555558
Redundant adjective use,Colour sufficient,High,Fully incremental,0.26415094339622647,0.22388417190775678,-0.04026677148846969,-0.07756813417190778,-0.002096436058700246
