relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n
both,blurred,0,D,0.0,0.0,0.0,566
both,blurred,1,DC,0.06886395759717313,0.04946996466431095,0.09010600706713781,566
both,blurred,2,DCF,0.30964840989399295,0.2703180212014134,0.3498233215547703,566
both,blurred,3,DF,0.0843065371024735,0.061837455830388695,0.10781802120141319,566
both,blurred,4,DFC,0.030020318021201413,0.0176678445229682,0.044169611307420496,566
both,blurred,5,C,0.008814487632508835,0.0017667844522968198,0.0176678445229682,566
both,blurred,6,CD,0.008813604240282685,0.0017667844522968198,0.0176678445229682,566
both,blurred,7,CDF,0.05100176678445229,0.03356890459363958,0.0706713780918728,566
both,blurred,8,CF,0.27022879858657245,0.23498233215547704,0.30918727915194344,566
both,blurred,9,CFD,0.0035106007067137804,0.0,0.0088339222614841,566
both,blurred,10,F,0.116773851590106,0.09010600706713781,0.1431095406360424,566
both,blurred,11,FD,0.0018109540636042402,0.0,0.00530035335689046,566
both,blurred,12,FDC,0.005287102473498234,0.0,0.012367491166077738,566
both,blurred,13,FC,0.040724381625441695,0.024734982332155476,0.05653710247349823,566
both,blurred,14,FCD,0.0,0.0,0.0,566
both,sharp,0,D,0.0,0.0,0.0,503
both,sharp,1,DC,0.19727335984095426,0.16302186878727634,0.23061630218687873,503
both,sharp,2,DCF,0.3123747514910537,0.27236580516898606,0.3538767395626243,503
both,sharp,3,DF,0.1067037773359841,0.08151093439363817,0.13325049701789238,503
both,sharp,4,DFC,0.029820079522862822,0.015904572564612324,0.04572564612326044,503
both,sharp,5,C,0.0,0.0,0.0,503
both,sharp,6,CD,0.012004970178926442,0.003976143141153081,0.02186878727634195,503
both,sharp,7,CDF,0.027773359840954276,0.013916500994035786,0.0437375745526839,503
both,sharp,8,CF,0.20186481113320082,0.16898608349900596,0.23658051689860835,503
both,sharp,9,CFD,0.003907554671968191,0.0,0.009940357852882704,503
both,sharp,10,F,0.0835258449304175,0.05964214711729622,0.10934393638170974,503
both,sharp,11,FD,0.0,0.0,0.0,503
both,sharp,12,FDC,0.0,0.0,0.0,503
both,sharp,13,FC,0.021823061630218688,0.009940357852882704,0.03578528827037773,503
both,sharp,14,FCD,0.00191948310139165,0.0,0.005964214711729622,503
first,blurred,0,D,0.055603790613718417,0.03790613718411552,0.07581227436823104,554
first,blurred,1,DC,0.04328880866425993,0.02707581227436823,0.061371841155234655,554
first,blurred,2,DCF,0.3002734657039711,0.26173285198555957,0.33935018050541516,554
first,blurred,3,DF,0.36438537906137186,0.3249097472924188,0.4043321299638989,554
first,blurred,4,DFC,0.032615523465703976,0.018050541516245487,0.04693140794223827,554
first,blurred,5,C,0.005367328519855595,0.0,0.01263537906137184,554
first,blurred,6,CD,0.0017879061371841155,0.0,0.005415162454873646,554
first,blurred,7,CDF,0.039802346570397114,0.023465703971119134,0.05776173285198556,554
