outcome,context,discriminability,observed_proportion,posterior_median,lower,upper,n_observations
Size-initial responses,Size sufficient,Low,0.793168880455408,0.768181513962908,0.6909191295478702,0.8316453340264717,527
Size-initial responses,Size sufficient,High,0.7642105263157895,0.7467585149023839,0.6647083831477859,0.8153709784600736,475
Size-initial responses,Both necessary,Low,0.49165120593692024,0.49195688116963665,0.4033308041198682,0.5860445663370607,539
Size-initial responses,Both necessary,High,0.6449579831932774,0.6341554547421071,0.5376852015758987,0.7217206554953733,476
Size-initial responses,Colour sufficient,Low,0.04259259259259259,0.04668698867564458,0.02403998729633419,0.08577259445915246,540
Size-initial responses,Colour sufficient,High,0.01048218029350104,0.01410127618400276,0.00438822699283862,0.03534032876480133,477
Over-informative responses,Size sufficient,Low,0.8975332068311196,0.8759809968474757,0.8245839846718008,0.91471938404951,527
Over-informative responses,Size sufficient,High,0.6252631578947369,0.6415171722742885,0.5581003491677817,0.7209322659428031,475
Over-informative responses,Both necessary,Low,0.4025974025974026,0.4200401569185296,0.34782544295589096,0.49565388333928734,539
Over-informative responses,Both necessary,High,0.37184873949579833,0.36434872303916416,0.2913729691774638,0.4465379651839313,476
Over-informative responses,Colour sufficient,Low,0.3388888888888889,0.3666590546092808,0.28272081622239975,0.4597344990523678,540
Over-informative responses,Colour sufficient,High,0.2641509433962264,0.2589875190727414,0.1799896173613967,0.348054786569702,477
