response,archived_gpt2_score,within_set_log_residual
S,0.1669514,0.0
SC,0.16733019,0.9516353951510996
SCF,0.12160929,1.077202636125874
SF,0.11005973,1.0946647015917867
SFC,0.09253279,0.8039523396750483
C,0.07532827,0.0
CS,0.02494562,-0.9516353951510994
CSF,0.03780574,-0.09114978556525921
CF,0.05690099,0.22352035630279188
CFS,0.02470998,-0.516403517903048
F,0.02651604,0.0
FS,0.01232579,-1.0946647015917867
FSC,0.03122547,-0.2823766205743339
FC,0.0363892,-0.22352035630279188
FCS,0.01536951,-0.9912250517582826
