parameter,participant_id,posterior_mean,posterior_q025,posterior_q975
Successive-choice contribution,1,0.23704568174947435,0.0035135176325150155,0.563150843528419
Successive-choice contribution,2,0.39175319524015106,0.03913725141421593,0.6599482252655752
Successive-choice contribution,3,0.5660776110186867,0.1627891207263296,0.9639008400737377
Successive-choice contribution,4,0.9783410143791016,0.9059474101929058,0.9996009349963922
Successive-choice contribution,5,0.026169056775940405,0.0004343171837606774,0.10826563822373399
Successive-choice contribution,6,0.01697788326490644,0.00036672645251892684,0.07135007215325424
Successive-choice contribution,7,0.9425231482712921,0.7549450316902464,0.9993029365011405
Successive-choice contribution,8,0.32938961794408644,0.009400641715185913,0.7376345170828407
Successive-choice contribution,9,0.9473861686174366,0.7872204146545484,0.9989561095819105
Successive-choice contribution,10,0.8046476140435667,0.4280127973618468,0.9971238410299579
Successive-choice contribution,11,0.6203057565860198,0.2540040100353195,0.9809617930258185
Successive-choice contribution,12,0.26786989153759505,0.005400393563474976,0.6037432831410939
Successive-choice contribution,13,0.2614135352929158,0.005189555840981851,0.6303071254246726
Successive-choice contribution,14,0.5574078899474038,0.09868109841948404,0.9920838328538464
Successive-choice contribution,15,0.24240515495488046,0.004872584053335613,0.550085480307708
Successive-choice contribution,16,0.985812432577404,0.9401379266121219,0.9997362308985508
Successive-choice contribution,17,0.5410476627646663,0.1756305154106719,0.8021744559359378
Successive-choice contribution,18,0.8503584612584264,0.5744883166433256,0.9963794078570071
Successive-choice contribution,19,0.0815431222405181,0.001061583941314785,0.2905328303134243
Successive-choice contribution,20,0.7971792200078893,0.37219189170676137,0.9964017207299171
Successive-choice contribution,21,0.13769766282467005,0.001901272267669815,0.5211720010331848
Successive-choice contribution,22,0.09570922608743006,0.0011088660939639775,0.345871852189486
Successive-choice contribution,23,0.7161951951659943,0.3458864091183346,0.9781466281699992
Successive-choice contribution,24,0.6428400811898075,0.2137666232332122,0.9724222565210185
Successive-choice contribution,25,0.24552279969771784,0.005878657368851273,0.578468377604666
Successive-choice contribution,26,0.07768323661269198,0.0011123641484563583,0.31016328199659904
