pattern,measure,mean
Middle 70%,Canonical order | multi-adjective,0.9173382061021921
Middle 70%,One adjective,0.4204848947092304
Middle 70%,Size initial | multi-adjective,0.5720463021902713
Middle 70%,Three adjectives,0.1622313370224678
Stable order favoured,Canonical order | multi-adjective,0.8296936679627687
Stable order favoured,One adjective,0.3635770294990945
Stable order favoured,Size initial | multi-adjective,0.3737156815325914
Stable order favoured,Three adjectives,0.17671878878133532
Successive choice favoured,Canonical order | multi-adjective,0.863008748653753
Successive choice favoured,One adjective,0.2680576504105916
Successive choice favoured,Size initial | multi-adjective,0.47716134209552946
Successive choice favoured,Three adjectives,0.26247137031450757
