pattern,dimension,cell,mean_log_score_difference,se,lower,upper,participants
Middle 70%,Initial adjective,Colour initial,0.009682132812571846,0.010769562171230903,-0.01176280519730016,0.031127070822443852,78
Middle 70%,Initial adjective,Form initial,0.004510583241821423,0.012389884901001316,-0.020176801323709196,0.02919796780735204,75
Middle 70%,Initial adjective,Size initial,0.03102582203236166,0.031221510937789364,-0.03113143150200844,0.09318307556673176,79
Middle 70%,Utterance length,1 adjective,0.0033510368932261215,0.008638508166336867,-0.013869514406677474,0.020571588193129715,73
Middle 70%,Utterance length,2 adjective,0.035248683689166026,0.00987847439602913,0.015582151893500096,0.054915215484831956,79
Middle 70%,Utterance length,3 adjective,-0.055882570540067504,0.026351688708621965,-0.10836650715891244,-0.0033986339212225616,77
Stable order favoured,Initial adjective,Colour initial,-0.0084956490453558,0.04056315105125051,-0.09448568791201394,0.07749438982130234,17
Stable order favoured,Initial adjective,Form initial,-0.1644053977163652,0.14421414456688902,-0.4701257270063733,0.1413149315736429,17
Stable order favoured,Initial adjective,Size initial,0.01810765595881251,0.0917151903925316,-0.18003096668673016,0.21624627860435516,14
Stable order favoured,Utterance length,1 adjective,-0.04475197904646778,0.05292949465619592,-0.16007544107119046,0.07057148297825488,13
Stable order favoured,Utterance length,2 adjective,-0.11611655811229249,0.0610061825709511,-0.24544388782971105,0.01321077160512607,17
Stable order favoured,Utterance length,3 adjective,-0.18268507438850376,0.10445811620981328,-0.4102797581493152,0.0449096093723077,13
Successive choice favoured,Initial adjective,Colour initial,0.11865998361943349,0.02577107126130061,0.06402775308599376,0.17329221415287321,17
Successive choice favoured,Initial adjective,Form initial,0.024244547017936904,0.043854628427013466,-0.07049761767660513,0.11898671171247895,14
Successive choice favoured,Initial adjective,Size initial,0.0761342935284823,0.045619303765063846,-0.020574310269860646,0.17284289732682526,17
Successive choice favoured,Utterance length,1 adjective,0.020166909627908295,0.029352346153890617,-0.04324497899660318,0.08357879825241976,14
Successive choice favoured,Utterance length,2 adjective,0.1389142915813806,0.016550771338281593,0.10382822371515821,0.174000359447603,17
Successive choice favoured,Utterance length,3 adjective,0.08955339666458094,0.05315493688369016,-0.02313003571492514,0.20223682904408702,17
