context,context_order,discriminability,annotation,estimate,lower,upper,n_participants,response
Size sufficient,1,Low,D,0.06048280423280422,0.02339900734613483,0.09756660111947361,60,Size
Size sufficient,1,Low,DC,0.04305555555555554,0.019862623597863914,0.06624848751324716,60,Size-colour
Size sufficient,1,Low,DCF,0.30714285714285716,0.23285320002623067,0.38143251425948366,60,Size-colour-form
Size sufficient,1,Low,DF,0.3492724867724868,0.277656685984118,0.42088828756085556,60,Size-form
Size sufficient,1,Low,DFC,0.03449074074074073,0.0020986788154663677,0.0668828026660151,60,Size-form-colour
Size sufficient,1,Low,C,0.005555555555555555,-0.00267393240759713,0.01378504351870824,60,Colour
Size sufficient,1,Low,CD,0.0018518518518518502,-0.001853695144607898,0.005557398848311598,60,Colour-size
Size sufficient,1,Low,CDF,0.039351851851851846,0.004994160845206215,0.07370954285849748,60,Colour-size-form
Size sufficient,1,Low,CF,0.08819444444444444,0.05186346695364725,0.12452542193524163,60,Colour-form
Size sufficient,1,Low,CFD,0,0,0,60,Colour-form-size
Size sufficient,1,Low,F,0.037962962962962955,0.022988468163101596,0.05293745776282431,60,Form
Size sufficient,1,Low,FD,0.007407407407407404,1.8718909808087408e-4,0.014627625716733934,60,Form-size
Size sufficient,1,Low,FDC,0.0039351851851851865,-0.0015952607279514216,0.009465631098321794,60,Form-size-colour
Size sufficient,1,Low,FC,0.017361111111111112,-0.002386047338434477,0.0371082695606567,60,Form-colour
Size sufficient,1,Low,FCD,0.003935185185185186,-0.001595260727951419,0.00946563109832179,60,Form-colour-size
Size sufficient,1,High,D,0.27148846960167716,0.19036729960388338,0.35260963959947095,53,Size
Size sufficient,1,High,DC,0.0440251572327044,0.023799477738146262,0.06425083672726253,53,Size-colour
Size sufficient,1,High,DCF,0.19339622641509432,0.12955393288563888,0.25723851994454977,53,Size-colour-form
Size sufficient,1,High,DF,0.2321802935010482,0.1656380622827,0.2987225247193964,53,Size-form
Size sufficient,1,High,DFC,0.02332285115303983,0.004844253958114858,0.0418014483479648,53,Size-form-colour
Size sufficient,1,High,C,0,0,0,53,Colour
Size sufficient,1,High,CD,0,0,0,53,Colour-size
Size sufficient,1,High,CDF,0.01886792452830189,-0.004188470367632424,0.0419243194242362,53,Colour-size-form
Size sufficient,1,High,CF,0.09853249475890985,0.03948138512793933,0.15758360438988037,53,Colour-form
Size sufficient,1,High,CFD,0.002096436058700211,-0.002110370660506682,0.006303242777907104,53,Colour-form-size
Size sufficient,1,High,F,0.10351153039832285,0.08171859118389603,0.12530446961274969,53,Form
Size sufficient,1,High,FD,0.002096436058700211,-0.002110370660506682,0.006303242777907104,53,Form-size
Size sufficient,1,High,FDC,0,0,0,53,Form-size-colour
Size sufficient,1,High,FC,0.010482180293501049,-0.003298415252412314,0.024262775839414413,53,Form-colour
Size sufficient,1,High,FCD,0,0,0,53,Form-colour-size
Both necessary,2,Low,D,0,0,0,60,Size
Both necessary,2,Low,DC,0.06689814814814816,0.032953652794069074,0.10084264350222726,60,Size-colour
Both necessary,2,Low,DCF,0.31319444444444444,0.2479824703040997,0.3784064185847892,60,Size-colour-form
Both necessary,2,Low,DF,0.08171296296296296,0.052333073157071947,0.11109285276885397,60,Size-form
Both necessary,2,Low,DFC,0.02962962962962961,-2.0256897691662765e-4,0.05946182823617585,60,Size-form-colour
Both necessary,2,Low,C,0.009259259259259257,-0.002897370287845688,0.021415888806364202,60,Colour
Both necessary,2,Low,CD,0.005555555555555554,-0.002673932407597129,0.013785043518708236,60,Colour-size
Both necessary,2,Low,CDF,0.05208333333333332,0.021477440914358204,0.08268922575230844,60,Colour-size-form
Both necessary,2,Low,CF,0.27685185185185185,0.22338193838376863,0.33032176531993507,60,Colour-form
Both necessary,2,Low,CFD,0.0037037037037037025,-0.001492130858361525,0.00889953826576893,60,Colour-form-size
Both necessary,2,Low,F,0.1185185185185185,0.09496371719916998,0.14207331983786703,60,Form
Both necessary,2,Low,FD,0.0018518518518518508,-0.0018536951446079,0.005557398848311601,60,Form-size
Both necessary,2,Low,FDC,0.0037037037037037025,-0.0014921308583615276,0.008899538265768933,60,Form-size-colour
Both necessary,2,Low,FC,0.03703703703703704,0.006373870452739534,0.06770020362133455,60,Form-colour
Both necessary,2,Low,FCD,0,0,0,60,Form-colour-size
Both necessary,2,High,D,0,0,0,53,Size
Both necessary,2,High,DC,0.1970649895178197,0.13275554363689068,0.2613744353987487,53,Size-colour
Both necessary,2,High,DCF,0.3050314465408805,0.24263987381191493,0.36742301926984605,53,Size-colour-form
Both necessary,2,High,DF,0.1121593291404612,0.07531857922697341,0.149000079053949,53,Size-form
Both necessary,2,High,DFC,0.03144654088050315,0.00789362454972311,0.054999457211283194,53,Size-form-colour
Both necessary,2,High,C,0,0,0,53,Colour
Both necessary,2,High,CD,0.008385744234800839,-0.0033979365367053944,0.02016942500630707,53,Colour-size
Both necessary,2,High,CDF,0.02935010482180293,0.001727241710389675,0.056972967933216184,53,Colour-size-form
Both necessary,2,High,CF,0.20335429769392033,0.1436725884839289,0.26303600690391177,53,Colour-form
Both necessary,2,High,CFD,0.004192872117400422,-0.004220741321013364,0.012606485555814208,53,Colour-form-size
Both necessary,2,High,F,0.08385744234800836,0.052702593562551456,0.11501229113346527,53,Form
Both necessary,2,High,FD,0,0,0,53,Form-size
Both necessary,2,High,FDC,0,0,0,53,Form-size-colour
Both necessary,2,High,FC,0.0230607966457023,0.007915393592907764,0.03820619969849683,53,Form-colour
Both necessary,2,High,FCD,0.002096436058700211,-0.002110370660506682,0.006303242777907104,53,Form-colour-size
Colour sufficient,3,Low,D,0,0,0,60,Size
Colour sufficient,3,Low,DC,0,0,0,60,Size-colour
Colour sufficient,3,Low,DCF,0.02777777777777777,0.0049709394695124295,0.05058461608604311,60,Size-colour-form
Colour sufficient,3,Low,DF,0,0,0,60,Size-form
Colour sufficient,3,Low,DFC,0.014814814814814798,-0.008501651860986868,0.03813128149061647,60,Size-form-colour
Colour sufficient,3,Low,C,0.6148148148148148,0.5224516393191277,0.7071779903105019,60,Colour
Colour sufficient,3,Low,CD,0,0,0,60,Colour-size
Colour sufficient,3,Low,CDF,0.005555555555555555,-0.0026739324075971353,0.013785043518708245,60,Colour-size-form
Colour sufficient,3,Low,CF,0.27037037037037037,0.18428286412882514,0.35645787661191564,60,Colour-form
Colour sufficient,3,Low,CFD,0,0,0,60,Colour-form-size
Colour sufficient,3,Low,F,0.046296296296296294,0.029342779586680405,0.06324981300591218,60,Form
Colour sufficient,3,Low,FD,0,0,0,60,Form-size
Colour sufficient,3,Low,FDC,0,0,0,60,Form-size-colour
Colour sufficient,3,Low,FC,0.020370370370370372,-0.013257531341815232,0.053998272082555976,60,Form-colour
Colour sufficient,3,Low,FCD,0,0,0,60,Form-colour-size
Colour sufficient,3,High,D,0,0,0,53,Size
Colour sufficient,3,High,DC,0.0020964360587002106,-0.002110370660506686,0.006303242777907107,53,Size-colour
Colour sufficient,3,High,DCF,0.0020964360587002098,-0.0021103706605066844,0.006303242777907104,53,Size-colour-form
Colour sufficient,3,High,DF,0,0,0,53,Size-form
Colour sufficient,3,High,DFC,0.006289308176100629,-0.0030447578744020806,0.01562337422660334,53,Size-form-colour
Colour sufficient,3,High,C,0.7148846960167715,0.6227107937680574,0.8070585982654856,53,Colour
Colour sufficient,3,High,CD,0,0,0,53,Colour-size
Colour sufficient,3,High,CDF,0.004192872117400419,-0.001698968268352705,0.010084712503153542,53,Colour-size-form
Colour sufficient,3,High,CF,0.22851153039832284,0.146067034708373,0.31095602608827266,53,Colour-form
Colour sufficient,3,High,CFD,0,0,0,53,Colour-form-size
Colour sufficient,3,High,F,0.020964360587002094,0.00886715350923105,0.03306156766477314,53,Form
Colour sufficient,3,High,FD,0,0,0,53,Form-size
Colour sufficient,3,High,FDC,0,0,0,53,Form-size-colour
Colour sufficient,3,High,FC,0.020964360587002098,-0.0015543760267853167,0.04348309720078951,53,Form-colour
Colour sufficient,3,High,FCD,0,0,0,53,Form-colour-size
