family,context_order,context,discriminability,rmse,n_utterances,context_position
Colour-form,1,Colour sufficient,High,0.053677051582522964,15,First
Colour-form,1,Colour sufficient,Low,0.06523987145770431,15,First
Colour-form,2,Both necessary,High,0.09325911941198704,15,Both
Colour-form,2,Both necessary,Low,0.10221198792688622,15,Both
Colour-form,3,Form sufficient,High,0.03729238114772432,15,Second
Colour-form,3,Form sufficient,Low,0.03932222426624485,15,Second
Size-colour,1,Size sufficient,High,0.037170659921043056,15,First
Size-colour,1,Size sufficient,Low,0.044884167604968224,15,First
Size-colour,2,Both necessary,High,0.05457631512892358,15,Both
Size-colour,2,Both necessary,Low,0.04236197800642566,15,Both
Size-colour,3,Colour sufficient,High,0.04385755331433972,15,Second
Size-colour,3,Colour sufficient,Low,0.055811480594927666,15,Second
Size-form,1,Size sufficient,High,0.04019123683100012,15,First
Size-form,1,Size sufficient,Low,0.037478159619328516,15,First
Size-form,2,Both necessary,High,0.05109930487847259,15,Both
Size-form,2,Both necessary,Low,0.10533034496652369,15,Both
Size-form,3,Form sufficient,High,0.04520148207361664,15,Second
Size-form,3,Form sufficient,Low,0.05309528620679162,15,Second
