family,context,context_order,discriminability,condition,response,source,proportion
Size-colour,Size sufficient,1,High,Size sufficient · High,S,Observed,0.27157894736842103
Size-colour,Size sufficient,1,High,Size sufficient · High,S,Plan-guided,0.2464
Size-colour,Size sufficient,1,High,Size sufficient · High,SC,Observed,0.04421052631578947
Size-colour,Size sufficient,1,High,Size sufficient · High,SC,Plan-guided,0.0358678947368421
Size-colour,Size sufficient,1,High,Size sufficient · High,SCF,Observed,0.1936842105263158
Size-colour,Size sufficient,1,High,Size sufficient · High,SCF,Plan-guided,0.15329473684210526
Size-colour,Size sufficient,1,High,Size sufficient · High,SF,Observed,0.23157894736842105
Size-colour,Size sufficient,1,High,Size sufficient · High,SF,Plan-guided,0.3397926315789474
Size-colour,Size sufficient,1,High,Size sufficient · High,SFC,Observed,0.0231578947368421
Size-colour,Size sufficient,1,High,Size sufficient · High,SFC,Plan-guided,0.06707631578947368
Size-colour,Size sufficient,1,High,Size sufficient · High,C,Observed,0
Size-colour,Size sufficient,1,High,Size sufficient · High,C,Plan-guided,0.00814052631578947
Size-colour,Size sufficient,1,High,Size sufficient · High,CS,Observed,0
Size-colour,Size sufficient,1,High,Size sufficient · High,CS,Plan-guided,7.1894736842105e-4
Size-colour,Size sufficient,1,High,Size sufficient · High,CSF,Observed,0.01894736842105263
Size-colour,Size sufficient,1,High,Size sufficient · High,CSF,Plan-guided,0.00961578947368421
Size-colour,Size sufficient,1,High,Size sufficient · High,CF,Observed,0.09894736842105264
Size-colour,Size sufficient,1,High,Size sufficient · High,CF,Plan-guided,0.04529263157894737
Size-colour,Size sufficient,1,High,Size sufficient · High,CFS,Observed,0.00210526315789473
Size-colour,Size sufficient,1,High,Size sufficient · High,CFS,Plan-guided,0.00376684210526315
Size-colour,Size sufficient,1,High,Size sufficient · High,F,Observed,0.1031578947368421
Size-colour,Size sufficient,1,High,Size sufficient · High,F,Plan-guided,0.06271368421052631
Size-colour,Size sufficient,1,High,Size sufficient · High,FS,Observed,0.00210526315789473
Size-colour,Size sufficient,1,High,Size sufficient · High,FS,Plan-guided,0.00279052631578947
Size-colour,Size sufficient,1,High,Size sufficient · High,FSC,Observed,0
Size-colour,Size sufficient,1,High,Size sufficient · High,FSC,Plan-guided,0.00517105263157894
Size-colour,Size sufficient,1,High,Size sufficient · High,FC,Observed,0.01052631578947368
Size-colour,Size sufficient,1,High,Size sufficient · High,FC,Plan-guided,0.01754526315789473
Size-colour,Size sufficient,1,High,Size sufficient · High,FCS,Observed,0
Size-colour,Size sufficient,1,High,Size sufficient · High,FCS,Plan-guided,0.00181315789473684
Size-colour,Size sufficient,1,Low,Size sufficient · Low,S,Observed,0.0588235294117647
