context,discriminability,response,source,proportion,lower,upper
Both necessary,Low,S,Observed,0,0,0
Both necessary,Low,SC,Observed,0.06679035250463822,0.03703703703703703,0.1038961038961039
Both necessary,Low,SCF,Observed,0.313543599257885,0.2504638218923933,0.378496251491472
Both necessary,Low,SF,Observed,0.08163265306122448,0.05400372439478584,0.11131725417439704
Both necessary,Low,SFC,Observed,0.02968460111317254,0.00555555555555555,0.06307977736549165
Both necessary,Low,C,Observed,0.00927643784786642,0,0.02407407407407407
Both necessary,Low,CSF,Observed,0.05194805194805195,0.02411873840445269,0.08348794063079777
Both necessary,Low,CF,Observed,0.2764378478664193,0.2240740740740741,0.32838589981447125
Both necessary,Low,F,Observed,0.11873840445269015,0.0962962962962963,0.1425925925925926
Both necessary,High,S,Observed,0,0,0
Both necessary,High,SC,Observed,0.19747899159663865,0.13836477987421383,0.26260504201680673
Both necessary,High,SCF,Observed,0.30462184873949577,0.24579831932773108,0.36554621848739494
Both necessary,High,SF,Observed,0.11134453781512606,0.07756813417190776,0.14947368421052631
Both necessary,High,SFC,Observed,0.0315126050420168,0.01052631578947368,0.05672268907563025
Both necessary,High,C,Observed,0,0,0
Both necessary,High,CSF,Observed,0.02941176470588235,0.00840336134453781,0.05894736842105263
Both necessary,High,CF,Observed,0.203781512605042,0.14705882352941177,0.2620545073375262
Both necessary,High,F,Observed,0.08403361344537816,0.05485232067510549,0.11554621848739496
Size sufficient,Low,S,Observed,0.0588235294117647,0.02676864244741874,0.09604791395045634
Size sufficient,Low,SC,Observed,0.04364326375711575,0.02268324000428006,0.06705302579036779
Size sufficient,Low,SCF,Observed,0.3055028462998102,0.23773351746897195,0.3818525519848771
Size sufficient,Low,SF,Observed,0.3510436432637571,0.2808332725149613,0.4215574815147081
Size sufficient,Low,SFC,Observed,0.03415559772296015,0.00756143667296786,0.06792452830188679
Size sufficient,Low,C,Observed,0.00569259962049335,0,0.01512287334593572
Size sufficient,Low,CSF,Observed,0.03984819734345351,0.01156013783903957,0.07909604519774012
Size sufficient,Low,CF,Observed,0.08918406072106262,0.05639097744360902,0.12810707456978968
Size sufficient,Low,F,Observed,0.03795066413662239,0.02439024390243902,0.05323193916349809
Size sufficient,High,S,Observed,0.27157894736842103,0.1957894736842105,0.35157894736842105
Size sufficient,High,SC,Observed,0.04421052631578947,0.02531645569620253,0.06512605042016807
Size sufficient,High,SCF,Observed,0.1936842105263158,0.13444673466871024,0.2578616352201258
Size sufficient,High,SF,Observed,0.23157894736842105,0.17051735957540912,0.3004201680672269
Size sufficient,High,SFC,Observed,0.0231578947368421,0.00632911392405063,0.04219409282700422
Size sufficient,High,C,Observed,0,0,0
Size sufficient,High,CSF,Observed,0.01894736842105263,0.00210084033613445,0.04641350210970464
Size sufficient,High,CF,Observed,0.09894736842105264,0.04651162790697674,0.16101694915254236
Size sufficient,High,F,Observed,0.1031578947368421,0.08227848101265822,0.12447257383966244
Colour sufficient,Low,S,Observed,0,0,0
Colour sufficient,Low,SC,Observed,0,0,0
Colour sufficient,Low,SCF,Observed,0.02777777777777777,0.00921296296296297,0.05185185185185185
Colour sufficient,Low,SF,Observed,0,0,0
Colour sufficient,Low,SFC,Observed,0.01481481481481481,0,0.04074074074074074
Colour sufficient,Low,C,Observed,0.6148148148148148,0.524074074074074,0.7037037037037037
Colour sufficient,Low,CSF,Observed,0.00555555555555555,0,0.01481481481481481
Colour sufficient,Low,CF,Observed,0.27037037037037037,0.1907407407407407,0.35555555555555557
Colour sufficient,Low,F,Observed,0.04629629629629629,0.03148148148148148,0.06300925925925942
Colour sufficient,High,S,Observed,0,0,0
Colour sufficient,High,SC,Observed,0.0020964360587002,0,0.00628930817610062
Colour sufficient,High,SCF,Observed,0.0020964360587002,0,0.00628930817610062
Colour sufficient,High,SF,Observed,0,0,0
Colour sufficient,High,SFC,Observed,0.00628930817610062,0,0.01677148846960167
Colour sufficient,High,C,Observed,0.7148846960167715,0.6247379454926625,0.8029350104821803
Colour sufficient,High,CSF,Observed,0.00419287211740041,0,0.01048218029350104
Colour sufficient,High,CF,Observed,0.22851153039832284,0.1509433962264151,0.31236897274633124
Colour sufficient,High,F,Observed,0.02096436058700209,0.01048218029350104,0.03354297693920335
Both necessary,Low,S,Plan-guided,0.00391929499072356,0,0.00927643784786642
Both necessary,Low,SC,Plan-guided,0.04233024118738403,0.02597402597402597,0.06122448979591836
Both necessary,Low,SCF,Plan-guided,0.20333024118738405,0.16883116883116883,0.2374768089053803
Both necessary,Low,SF,Plan-guided,0.186484693877551,0.15398886827458255,0.22077922077922077
Both necessary,Low,SFC,Plan-guided,0.03905102040816326,0.02411873840445269,0.05565862708719851
Both necessary,Low,C,Plan-guided,0.04103014842300556,0.02597402597402597,0.05936920222634508
Both necessary,Low,CSF,Plan-guided,0.01558673469387755,0.00556586270871985,0.02602040816326547
Both necessary,Low,CF,Plan-guided,0.284610853432282,0.24675324675324675,0.3246753246753247
Both necessary,Low,F,Plan-guided,0.12099489795918368,0.09461966604823747,0.150278293135436
Both necessary,High,S,Plan-guided,0.00769905462184873,0,0.01680672268907563
Both necessary,High,SC,Plan-guided,0.04984348739495799,0.0315126050420168,0.06932773109243698
Both necessary,High,SCF,Plan-guided,0.20824369747899163,0.1722689075630252,0.24789915966386555
Both necessary,High,SF,Plan-guided,0.2004138655462185,0.1638655462184874,0.23949579831932777
Both necessary,High,SFC,Plan-guided,0.04778466386554622,0.02941176470588235,0.06722689075630252
Both necessary,High,C,Plan-guided,0.04189390756302521,0.02521008403361344,0.06092436974789916
Both necessary,High,CSF,Plan-guided,0.02137605042016807,0.00840336134453781,0.03571428571428571
Both necessary,High,CF,Plan-guided,0.22685819327731097,0.1890231092436975,0.2668067226890756
Both necessary,High,F,Plan-guided,0.12741491596638657,0.09873949579831932,0.15756302521008403
Size sufficient,Low,S,Plan-guided,0.03230502846299811,0.01892789373814043,0.04933586337760911
Size sufficient,Low,SC,Plan-guided,0.03390132827324479,0.01897533206831119,0.05123339658444022
