source,category,mean,lower,upper
Global,Size,0.487610853432282,0.4452690166975881,0.5324675324675324
Global,Colour,0.3008051948051948,0.26159554730983303,0.34137291280148424
Global,Form,0.2115839517625232,0.17810760667903525,0.24675324675324675
Plan-guided,Size,0.4732073283858998,0.43042671614100186,0.5157699443413729
Plan-guided,Colour,0.3418033395176252,0.2987012987012987,0.38404452690166974
Plan-guided,Form,0.18498933209647497,0.15398886827458255,0.2189239332096475
Fully incremental,Size,0.4890556586270872,0.4452690166975881,0.5324675324675324
Fully incremental,Colour,0.3628228200371057,0.3209647495361781,0.4044526901669759
Fully incremental,Form,0.14812152133580703,0.11873840445269015,0.17810760667903525
Observed,Size,0.49165120593692024,0.4256505576208178,0.5611111111111111
Observed,Colour,0.3469387755102041,0.29074074074074074,0.4070718022855569
Observed,Form,0.1614100185528757,0.12430426716141002,0.20037105751391465
