model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws
Global,color_form,both,blurred,Exact response,D,0.0037037037037037,0.0026347222222222,0.0,0.0074074074074074,540,4000
Global,color_form,both,blurred,Exact response,DC,0.0259259259259259,0.0317055555555555,0.0185185185185185,0.0481481481481481,540,4000
Global,color_form,both,blurred,Exact response,DCF,0.0814814814814814,0.1226638888888888,0.0962962962962963,0.15,540,4000
Global,color_form,both,blurred,Exact response,DF,0.0222222222222222,0.1128143518518518,0.087037037037037,0.1389351851851853,540,4000
Global,color_form,both,blurred,Exact response,DFC,0.0111111111111111,0.0539708333333333,0.0351851851851851,0.0722222222222222,540,4000
Global,color_form,both,blurred,Exact response,C,0.0074074074074074,0.0628337962962962,0.0425925925925925,0.0833333333333333,540,4000
Global,color_form,both,blurred,Exact response,CD,0.0,0.0007342592592592,0.0,0.0037037037037037,540,4000
Global,color_form,both,blurred,Exact response,CDF,0.0074074074074074,0.0077138888888888,0.0018518518518518,0.0166666666666666,540,4000
Global,color_form,both,blurred,Exact response,CF,0.7592592592592593,0.3480486111111111,0.3074074074074074,0.3888888888888889,540,4000
Global,color_form,both,blurred,Exact response,CFD,0.0037037037037037,0.0036393518518518,0.0,0.0092592592592592,540,4000
Global,color_form,both,blurred,Exact response,F,0.0129629629629629,0.1420560185185185,0.1148148148148148,0.174074074074074,540,4000
Global,color_form,both,blurred,Exact response,FD,0.0018518518518518,0.0010814814814814,0.0,0.0037037037037037,540,4000
Global,color_form,both,blurred,Exact response,FDC,0.0,0.004436574074074,0.0,0.0111111111111111,540,4000
Global,color_form,both,blurred,Exact response,FC,0.0629629629629629,0.1040333333333333,0.0796296296296296,0.1296296296296296,540,4000
Global,color_form,both,blurred,Exact response,FCD,0.0,0.0016333333333333,0.0,0.0055555555555555,540,4000
Global,color_form,both,blurred,Response length,1,0.024074074074074,0.207524537037037,0.174074074074074,0.2425925925925925,540,4000
Global,color_form,both,blurred,Response length,2,0.8722222222222222,0.5984175925925925,0.5537037037037037,0.6389351851851853,540,4000
Global,color_form,both,blurred,Response length,3,0.1037037037037037,0.1940578703703704,0.1629629629629629,0.2259259259259259,540,4000
Global,color_form,both,blurred,Initial adjective,D,0.1444444444444444,0.3237893518518518,0.2888888888888888,0.3592592592592593,540,4000
Global,color_form,both,blurred,Initial adjective,C,0.7777777777777778,0.4229699074074073,0.3814814814814815,0.4629629629629629,540,4000
Global,color_form,both,blurred,Initial adjective,F,0.0777777777777777,0.2532407407407407,0.2185185185185185,0.2889351851851853,540,4000
Global,color_form,both,sharp,Exact response,D,0.0041928721174004,0.0032730607966457,0.0,0.0083857442348008,477,4000
Global,color_form,both,sharp,Exact response,DC,0.0146750524109014,0.0258721174004192,0.0125786163522012,0.0398322851153039,477,4000
Global,color_form,both,sharp,Exact response,DCF,0.1090146750524109,0.0859654088050314,0.0628930817610062,0.1111111111111111,477,4000
Global,color_form,both,sharp,Exact response,DF,0.050314465408805,0.085880503144654,0.0628930817610062,0.1111111111111111,477,4000
Global,color_form,both,sharp,Exact response,DFC,0.0230607966457023,0.0416650943396226,0.0251572327044025,0.060796645702306,477,4000
Global,color_form,both,sharp,Exact response,C,0.0020964360587002,0.0783480083857442,0.0545073375262054,0.1027253668763102,477,4000
Global,color_form,both,sharp,Exact response,CD,0.0,0.0009392033542976,0.0,0.0041928721174004,477,4000
Global,color_form,both,sharp,Exact response,CDF,0.0020964360587002,0.0082190775681341,0.0020964360587002,0.0167714884696016,477,4000
Global,color_form,both,sharp,Exact response,CF,0.7253668763102725,0.3616446540880503,0.3186582809224318,0.4046121593291404,477,4000
Global,color_form,both,sharp,Exact response,CFD,0.0,0.0043694968553459,0.0,0.010482180293501,477,4000
Global,color_form,both,sharp,Exact response,F,0.0041928721174004,0.1746011530398322,0.140461215932914,0.2096436058700209,477,4000
Global,color_form,both,sharp,Exact response,FD,0.0,0.0013957023060796,0.0,0.0062893081761006,477,4000
Global,color_form,both,sharp,Exact response,FDC,0.0,0.0050770440251572,0.0,0.0125786163522012,477,4000
Global,color_form,both,sharp,Exact response,FC,0.0649895178197065,0.1207384696016771,0.0922431865828092,0.1509433962264151,477,4000
Global,color_form,both,sharp,Exact response,FCD,0.0,0.0020110062893081,0.0,0.0062893081761006,477,4000
Global,color_form,both,sharp,Response length,1,0.010482180293501,0.2562222222222223,0.2180293501048218,0.2955974842767295,477,4000
Global,color_form,both,sharp,Response length,2,0.8553459119496856,0.5964706498951782,0.5513626834381551,0.6415094339622641,477,4000
Global,color_form,both,sharp,Response length,3,0.1341719077568134,0.1473071278825995,0.1174004192872117,0.1781970649895178,477,4000
Global,color_form,both,sharp,Initial adjective,D,0.2012578616352201,0.2426561844863732,0.2096436058700209,0.2767295597484276,477,4000
Global,color_form,both,sharp,Initial adjective,C,0.7295597484276729,0.4535204402515723,0.4109014675052411,0.4968553459119497,477,4000
Global,color_form,both,sharp,Initial adjective,F,0.0691823899371069,0.3038233752620545,0.2640985324947589,0.3459119496855345,477,4000
Global,color_form,first,blurred,Exact response,D,0.0055555555555555,0.0024106481481481,0.0,0.0074074074074074,540,4000
