model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws
Plan-guided,color_form,both,blurred,Exact response,D,0.003703703703703704,0.0030995370370370374,0.0,0.009259259259259259,540,4000
Plan-guided,color_form,both,blurred,Exact response,DC,0.025925925925925925,0.03161898148148148,0.018518518518518517,0.04814814814814815,540,4000
Plan-guided,color_form,both,blurred,Exact response,DCF,0.08148148148148149,0.1414902777777778,0.11296296296296296,0.17037037037037037,540,4000
Plan-guided,color_form,both,blurred,Exact response,DF,0.022222222222222223,0.10692314814814814,0.08148148148148149,0.13333333333333333,540,4000
Plan-guided,color_form,both,blurred,Exact response,DFC,0.011111111111111112,0.0244162037037037,0.012962962962962963,0.03888888888888889,540,4000
Plan-guided,color_form,both,blurred,Exact response,C,0.007407407407407408,0.06368888888888889,0.04259259259259259,0.08518518518518518,540,4000
Plan-guided,color_form,both,blurred,Exact response,CD,0.0,0.0007560185185185184,0.0,0.003703703703703704,540,4000
Plan-guided,color_form,both,blurred,Exact response,CDF,0.007407407407407408,0.01181574074074074,0.003703703703703704,0.022222222222222223,540,4000
Plan-guided,color_form,both,blurred,Exact response,CF,0.7592592592592593,0.41688842592592595,0.37592592592592594,0.45740740740740743,540,4000
Plan-guided,color_form,both,blurred,Exact response,CFD,0.003703703703703704,0.011356018518518517,0.003703703703703704,0.020370370370370372,540,4000
Plan-guided,color_form,both,blurred,Exact response,F,0.012962962962962963,0.12886296296296296,0.10185185185185185,0.1574074074074074,540,4000
Plan-guided,color_form,both,blurred,Exact response,FD,0.001851851851851852,0.0006814814814814815,0.0,0.003703703703703704,540,4000
Plan-guided,color_form,both,blurred,Exact response,FDC,0.0,0.0015962962962962962,0.0,0.005555555555555556,540,4000
Plan-guided,color_form,both,blurred,Exact response,FC,0.06296296296296296,0.055331481481481475,0.037037037037037035,0.07592592592592592,540,4000
Plan-guided,color_form,both,blurred,Exact response,FCD,0.0,0.001474537037037037,0.0,0.005555555555555556,540,4000
Plan-guided,color_form,both,blurred,Response length,1,0.024074074074074074,0.19565138888888892,0.16296296296296298,0.22962962962962963,540,4000
Plan-guided,color_form,both,blurred,Response length,2,0.8722222222222222,0.612199537037037,0.5685185185185185,0.6555555555555556,540,4000
Plan-guided,color_form,both,blurred,Response length,3,0.1037037037037037,0.19214907407407406,0.15925925925925927,0.22407407407407406,540,4000
Plan-guided,color_form,both,blurred,Initial adjective,D,0.14444444444444443,0.3075481481481481,0.2740740740740741,0.3425925925925926,540,4000
Plan-guided,color_form,both,blurred,Initial adjective,C,0.7777777777777778,0.5045050925925927,0.46296296296296297,0.5462962962962963,540,4000
Plan-guided,color_form,both,blurred,Initial adjective,F,0.07777777777777778,0.18794675925925924,0.15550925925925926,0.2222222222222222,540,4000
