fixed,updating,factor,delta_elpd,lower_95,upper_95,prob_positive
G-HO,G-UPD-HO,response,-45.103938819075054,-60.18227417347532,-30.157044073797927,1e-05
G-HO,G-UPD-HO,length,-15.746290580153554,-25.19386057876525,-6.346635504140091,0.00082
G-HO,G-UPD-HO,set_given_length,-28.228015598798798,-36.72488978511827,-20.23175683890025,0.0
G-HO,G-UPD-HO,order_given_set,-1.1296326401226904,-4.990251605826464,3.1112186519885223,0.27844
I-HO,I-UPD-HO,response,-23.792657114608108,-32.38304135107206,-16.102388240470926,0.0
I-HO,I-UPD-HO,length,2.07952412568602,-0.6416444174816063,4.919897494284949,0.932015
I-HO,I-UPD-HO,set_given_length,-28.139801271706787,-36.452030836503425,-21.1459385456747,0.0
I-HO,I-UPD-HO,order_given_set,2.2676200314126507,0.07826989270149336,4.322757980293745,0.97846
K-HO,K-UPD-HO,response,-61.68291613446656,-80.9198181243411,-43.57342313198855,0.0
K-HO,K-UPD-HO,length,-18.7978536137339,-28.576396352841943,-9.248911378869682,0.00017
K-HO,K-UPD-HO,set_given_length,-40.45142952007275,-52.068664563939265,-30.171956431805867,0.0
K-HO,K-UPD-HO,order_given_set,-2.433633000659959,-9.758340689104884,6.4502852305456635,0.254905
K-HKO,K-UPD-HKO,response,-54.14038882842393,-69.04134958122606,-39.72861012301229,0.0
K-HKO,K-UPD-HKO,length,-21.54902183581437,-30.933161311704705,-12.442859472902406,1e-05
K-HKO,K-UPD-HKO,set_given_length,-31.06785935784629,-39.20241506731803,-23.530146043557366,0.0
K-HKO,K-UPD-HKO,order_given_set,-1.5235076347632557,-4.878949124355089,1.7740172553351912,0.180175
