combination,relevant_property,sharpness,response,n,observed_percent,fixed_predicted_percent,updating_predicted_percent,fixed_residual_pp,updating_residual_pp,fixed_absolute_error_advantage_pp
color_form,both,blurred,C,540,0.7407407407407408,6.237658144618574,6.138190724426197,-5.496917403877832,-5.397449983685457,-0.09946742019237564
color_form,both,blurred,CD,540,0.0,0.06194710044856733,0.06477484580656183,-0.06194710044856733,-0.06477484580656183,0.0028277453579945034
color_form,both,blurred,CDF,540,0.7407407407407408,1.2097877052982753,1.200141792345024,-0.4690469645575346,-0.4594010516042831,-0.009645912953251505
color_form,both,blurred,CF,540,75.92592592592592,41.08946525733819,41.069344259521834,34.83646066858774,34.8565816664041,0.020120997816353015
color_form,both,blurred,CFD,540,0.3703703703703704,1.1613642199674534,1.1496091219401274,-0.7909938495970831,-0.7792387515697571,-0.011755098027325939
color_form,both,blurred,D,540,0.3703703703703704,0.2660657582418514,0.2750360900443822,0.10430461212851899,0.0953342803259882,-0.008970331802530792
color_form,both,blurred,DC,540,2.5925925925925926,3.0851679376068373,3.1578608206097583,-0.49257534501424455,-0.5652682280171659,0.07269288300292137
color_form,both,blurred,DCF,540,8.148148148148149,14.873401136217337,14.603994098667716,-6.7252529880691885,-6.455845950519567,-0.26940703754962103
color_form,both,blurred,DF,540,2.2222222222222223,10.81583657139829,11.053822023542082,-8.593614349176066,-8.831599801319859,0.23798545214379213
color_form,both,blurred,DFC,540,1.1111111111111112,2.532515326733231,2.540843848109934,-1.42140421562212,-1.4297327369988229,0.00832852137670273
color_form,both,blurred,F,540,1.2962962962962963,12.998027632871839,12.877798120566464,-11.701731336575543,-11.581501824270166,-0.12022951230537537
color_form,both,blurred,FC,540,6.296296296296296,5.3058922577841425,5.497062915972368,0.9904040385121535,0.7992333803239278,-0.19117065818822568
color_form,both,blurred,FCD,540,0.0,0.14720850239541738,0.14913368930517568,-0.14720850239541738,-0.14913368930517568,0.0019251869097582823
color_form,both,blurred,FD,540,0.1851851851851852,0.05605659322465484,0.0592732882083211,0.12912859196053034,0.12591189697686408,-0.0032166949836662587
color_form,both,blurred,FDC,540,0.0,0.15960585585534373,0.1631143609340565,-0.15960585585534373,-0.1631143609340565,0.0035085050787127996
color_form,both,sharp,C,477,0.20964360587002098,7.945008379226386,7.75050780485861,-7.735364773356365,-7.540864198988589,-0.1945005743677758
color_form,both,sharp,CD,477,0.0,0.07613236856140847,0.0806896102150668,-0.07613236856140847,-0.0806896102150668,0.004557241653658345
color_form,both,sharp,CDF,477,0.20964360587002098,1.3414951467570806,1.3398762620555136,-1.1318515408870597,-1.1302326561854925,-0.0016188847015671456
color_form,both,sharp,CF,477,72.53668763102725,42.33412962080368,42.168430034593854,30.202558010223573,30.368257596433395,0.16569958620982206
color_form,both,sharp,CFD,477,0.0,1.4740422602277836,1.448858634327646,-1.4740422602277836,-1.448858634327646,-0.025183625900137598
color_form,both,sharp,D,477,0.41928721174004197,0.34815273832924876,0.3601587714677384,0.07113447341079321,0.05912844027230356,-0.012006033138489648
color_form,both,sharp,DC,477,1.4675052410901468,2.4605798875541964,2.518655954592175,-0.9930746464640495,-1.0511507135020282,0.0580760670379786
color_form,both,sharp,DCF,477,10.90146750524109,10.200856954080443,10.100980795099982,0.7006105511606477,0.8004867101411073,0.09987615898045948
color_form,both,sharp,DF,477,5.031446540880504,7.9534616755972065,8.161018691587612,-2.922015134716703,-3.129572150707109,0.2075570159904061
color_form,both,sharp,DFC,477,2.3060796645702304,2.306250093002685,2.3497499947783145,-0.00017042843245447525,-0.04367033020808396,0.043499901775629485
color_form,both,sharp,F,477,0.41928721174004197,16.30489519941465,16.112201996057497,-15.885607987674607,-15.692914784317455,-0.19269320335715268
color_form,both,sharp,FC,477,6.498951781970649,6.761182804290657,7.0980730350998975,-0.2622310223200072,-0.5991212531292478,0.3368902308092406
color_form,both,sharp,FCD,477,0.0,0.2128175326044071,0.21548643623800381,-0.2128175326044071,-0.21548643623800381,0.00266890363359671
color_form,both,sharp,FD,477,0.0,0.07225671154506008,0.0780425299770804,-0.07225671154506008,-0.0780425299770804,0.005785818432020324
color_form,both,sharp,FDC,477,0.0,0.20873862800510934,0.2172694490509955,-0.20873862800510934,-0.2172694490509955,0.008530821045886136
color_form,first,blurred,C,540,63.14814814814815,79.28509157156287,78.97826204425986,-16.136943423414717,-15.830113896111708,-0.3068295273030097
color_form,first,blurred,CD,540,0.0,0.1995314668253924,0.20361200675315907,-0.1995314668253924,-0.20361200675315907,0.004080539927766658
color_form,first,blurred,CDF,540,0.7407407407407408,0.5495284659638645,0.5342108327826508,0.19121227477687625,0.20652990795808995,0.015317633181213732
color_form,first,blurred,CF,540,25.185185185185183,7.349970932719832,7.347706298205284,17.835214252465352,17.8374788869799,0.0022646345145482805
