semantics,speaker,nobj,sd_spread,color_semvalue,k,wf,n_scenes,mean_big_blue,mean_blue_big,mean_advantage,mcse_advantage
static,global_speaker,2,2.0,0.9,0.1,0.1,1000,0.5,0.5,9.992007221626408e-19,1.8232305766774716e-18
static,global_speaker,2,2.0,0.9,0.1,0.2,1000,0.5,0.5,-2.7755575615628914e-19,1.7711389277553995e-18
static,global_speaker,2,2.0,0.9,0.1,0.3,1000,0.5,0.5,-2.609024107869118e-18,1.8543607101793552e-18
static,global_speaker,2,2.0,0.9,0.1,0.5,1000,0.5,0.5,-2.9976021664879226e-18,1.871162438930573e-18
static,global_speaker,2,2.0,0.9,0.1,0.8,1000,0.5,0.5,-2.7755575615628915e-18,1.8094954244867603e-18
static,global_speaker,2,2.0,0.92,0.1,0.1,1000,0.5,0.5,2.6645352591003758e-18,2.01759707776084e-18
static,global_speaker,2,2.0,0.92,0.1,0.2,1000,0.5,0.5,-4.440892098500626e-19,1.930276184237058e-18
static,global_speaker,2,2.0,0.92,0.1,0.3,1000,0.5,0.5,1.4988010832439613e-18,1.9209332652158206e-18
static,global_speaker,2,2.0,0.92,0.1,0.5,1000,0.5,0.5,2.275957200481571e-18,2.0203646636923773e-18
static,global_speaker,2,2.0,0.92,0.1,0.8,1000,0.5,0.5,-3.885780586188048e-19,1.964344428253524e-18
static,global_speaker,2,2.0,0.94,0.1,0.1,1000,0.5,0.5,-3.885780586188048e-19,1.9830982760354405e-18
static,global_speaker,2,2.0,0.94,0.1,0.2,1000,0.5,0.5,6.106226635438361e-19,1.8242479207688082e-18
static,global_speaker,2,2.0,0.94,0.1,0.3,1000,0.5,0.5,4.440892098500626e-19,1.7117670538624646e-18
static,global_speaker,2,2.0,0.94,0.1,0.5,1000,0.5,0.5,-7.771561172376096e-19,1.6917088072372538e-18
static,global_speaker,2,2.0,0.94,0.1,0.8,1000,0.5,0.5,2.0539125955565395e-18,1.5685504883774209e-18
static,global_speaker,2,2.0,0.96,0.1,0.1,1000,0.5,0.5,-8.326672684688674e-19,1.9704777917859388e-18
static,global_speaker,2,2.0,0.96,0.1,0.2,1000,0.5,0.5,-1.2212453270876721e-18,1.8797412409724152e-18
static,global_speaker,2,2.0,0.96,0.1,0.3,1000,0.5,0.5,1.942890293094024e-18,1.7578531223231643e-18
static,global_speaker,2,2.0,0.96,0.1,0.5,1000,0.5,0.5,2.4424906541753442e-18,1.7563513020298715e-18
static,global_speaker,2,2.0,0.96,0.1,0.8,1000,0.5,0.5,-2.0539125955565395e-18,1.695194191642497e-18
static,global_speaker,2,2.0,0.98,0.1,0.1,1000,0.5,0.5,8.881784197001253e-19,2.2324604101271766e-18
static,global_speaker,2,2.0,0.98,0.1,0.2,1000,0.5,0.5,7.771561172376096e-19,2.2102846508226296e-18
static,global_speaker,2,2.0,0.98,0.1,0.3,1000,0.5,0.5,-1.6653345369377348e-19,2.1645872219175707e-18
static,global_speaker,2,2.0,0.98,0.1,0.5,1000,0.5,0.5,-2.1649348980190553e-18,2.2350392303069505e-18
static,global_speaker,2,2.0,0.98,0.1,0.8,1000,0.5,0.5,-5.551115123125783e-20,2.0185928678500494e-18
static,global_speaker,2,2.0,0.9,0.3,0.1,1000,0.5,0.5,1.609823385706477e-18,1.8604786409726215e-18
static,global_speaker,2,2.0,0.9,0.3,0.2,1000,0.5,0.5,-3.3861802251067274e-18,1.9535804968867312e-18
static,global_speaker,2,2.0,0.9,0.3,0.3,1000,0.5,0.5,-4.496403249731884e-18,1.9370581476197365e-18
static,global_speaker,2,2.0,0.9,0.3,0.5,1000,0.5,0.5,-2.1094237467877974e-18,2.081454969279699e-18
static,global_speaker,2,2.0,0.9,0.3,0.8,1000,0.5,0.5,-2.9420910152566647e-18,1.9128230756604235e-18
static,global_speaker,2,2.0,0.92,0.3,0.1,1000,0.5,0.5,1.6653345369377347e-18,1.7519868944526713e-18
static,global_speaker,2,2.0,0.92,0.3,0.2,1000,0.5,0.5,-3.1086244689504384e-18,1.9246173777739415e-18
static,global_speaker,2,2.0,0.92,0.3,0.3,1000,0.5,0.5,-3.1641356201816963e-18,1.9301283640015573e-18
static,global_speaker,2,2.0,0.92,0.3,0.5,1000,0.5,0.5,-2.55351295663786e-18,2.0601004652424485e-18
