model,relevant_property,sharpness,metric,mean,lower_95,upper_95,trials,posterior_draws
G-HO,all,all,speaker_size_first_given_set,0.9721515801741322,0.9683663786985378,0.9756349258392473,3034,200
G-HO,all,all,listener_size_first,0.15233497586981706,0.14986604890925267,0.15514488477903718,3034,200
G-HO,all,all,listener_colour_first,0.14994411799615226,0.14854372215682893,0.15165845786674015,3034,200
G-HO,all,all,listener_advantage,0.002390857873664819,0.0010164397209045657,0.0038646849721720657,3034,200
G-HO,both,blurred,speaker_size_first_given_set,0.9738383740342752,0.9696347681158056,0.977397723068949,539,200
G-HO,both,blurred,listener_size_first,0.15259498752560635,0.14975420875105647,0.15582652392682775,539,200
G-HO,both,blurred,listener_colour_first,0.15237228030499048,0.1505014771701528,0.1544138004337675,539,200
G-HO,both,blurred,listener_advantage,0.00022270722061588027,-0.0017267518721348668,0.0024163138723668413,539,200
G-HO,both,sharp,speaker_size_first_given_set,0.9717969465912715,0.9666746149609774,0.9762402986364791,476,200
G-HO,both,sharp,listener_size_first,0.17882542423253012,0.17479505079223212,0.18256666500219,476,200
G-HO,both,sharp,listener_colour_first,0.16936331135336033,0.1659077877148869,0.1731728591761029,476,200
G-HO,both,sharp,listener_advantage,0.009462112879169777,0.006281691853420847,0.012274243838670052,476,200
G-HO,first,blurred,speaker_size_first_given_set,0.9736340181443444,0.9697221820679519,0.9769816597214148,527,200
G-HO,first,blurred,listener_size_first,0.16138975111748663,0.15680843290075105,0.16665465861086073,527,200
G-HO,first,blurred,listener_colour_first,0.1462743803781985,0.144186025842578,0.1480051154819838,527,200
G-HO,first,blurred,listener_advantage,0.01511537073928814,0.011043951839024206,0.019717463894202935,527,200
G-HO,first,sharp,speaker_size_first_given_set,0.9714020640811527,0.9669330798133793,0.9757986053459784,475,200
G-HO,first,sharp,listener_size_first,0.2176330874869268,0.20822251389236598,0.22695564797255297,475,200
G-HO,first,sharp,listener_colour_first,0.16049809740615587,0.1572243371547528,0.16396123657738096,475,200
G-HO,first,sharp,listener_advantage,0.05713499008077094,0.05037014374120588,0.06371974489302523,475,200
G-HO,second,blurred,speaker_size_first_given_set,0.9735259889643015,0.9690123967151189,0.9774744676998794,540,200
G-HO,second,blurred,listener_size_first,0.09942290398409039,0.09698285293152403,0.10180187822666131,540,200
G-HO,second,blurred,listener_colour_first,0.13131182478378015,0.1293896282851189,0.13390776739481605,540,200
G-HO,second,blurred,listener_advantage,-0.03188892079968978,-0.033788814223577684,-0.0297626079544743,540,200
G-HO,second,sharp,speaker_size_first_given_set,0.96815203778838,0.961473757118808,0.9731001557747625,477,200
