semantics,speaker,parameter,value,order,mean,sum_variance,scene_groups,mcse
recursive,global_speaker,color_semvalue,0.9,big blue,0.13685950637285824,1.770973329289401e-05,24,0.00017534555809773926
recursive,global_speaker,color_semvalue,0.9,blue big,0.12241546729874353,3.599295914523932e-06,24,7.904921017557244e-05
recursive,global_speaker,color_semvalue,0.92,big blue,0.13704321602465128,1.796166800997218e-05,24,0.0001765883671315914
recursive,global_speaker,color_semvalue,0.92,blue big,0.12237681192177918,3.622614446118514e-06,24,7.930486234259521e-05
recursive,global_speaker,color_semvalue,0.94,big blue,0.1370739412839922,1.8355208939368526e-05,24,0.00017851241465624651
recursive,global_speaker,color_semvalue,0.94,blue big,0.12246753763433604,3.671256731440576e-06,24,7.98355159261556e-05
recursive,global_speaker,color_semvalue,0.96,big blue,0.13722792941312165,1.9232456230759356e-05,24,0.00018272843499625186
recursive,global_speaker,color_semvalue,0.96,blue big,0.12246157679390422,3.683113636361046e-06,24,7.996433272135308e-05
recursive,global_speaker,color_semvalue,0.98,big blue,0.13723899543872342,1.9254264790055238e-05,24,0.00018283200769638323
recursive,global_speaker,color_semvalue,0.98,blue big,0.12246638464226556,3.670264456562972e-06,24,7.982472614268813e-05
recursive,global_speaker,k,0.1,big blue,0.1359978351018198,1.6583459674425352e-05,24,0.00016967830916600067
recursive,global_speaker,k,0.1,blue big,0.12401724710260076,2.724046952117086e-06,24,6.876952944988666e-05
recursive,global_speaker,k,0.3,big blue,0.13708012443673448,1.8181308780835852e-05,24,0.00017766477475558045
recursive,global_speaker,k,0.3,blue big,0.12268312316199932,3.21949999864179e-06,24,7.476235496467603e-05
recursive,global_speaker,k,0.5,big blue,0.13722248584223576,2.0585295743158326e-05,24,0.00018904592210678716
recursive,global_speaker,k,0.5,blue big,0.12206159029076312,4.188549020610744e-06,24,8.527477056032385e-05
recursive,global_speaker,k,0.7,big blue,0.13743122458490656,2.6460943226723134e-05,24,0.00021433417260529022
recursive,global_speaker,k,0.7,blue big,0.12178845832174158,5.513547057885704e-06,24,9.783726441816199e-05
recursive,global_speaker,k,0.9,big blue,0.13771191856765017,3.517590288960711e-05,24,0.00024712198576818767
recursive,global_speaker,k,0.9,blue big,0.12163735941392377,6.898301863967841e-06,24,0.00010943591053138388
recursive,global_speaker,wf,0.1,big blue,0.16020441444154554,0.00014404163873573572,24,0.0005000722842467511
recursive,global_speaker,wf,0.1,blue big,0.11751755838149884,2.0515000885171062e-05,24,0.00018872286819884802
recursive,global_speaker,wf,0.2,big blue,0.13858242704345344,3.5511972643994764e-05,24,0.00024829967838221846
recursive,global_speaker,wf,0.2,blue big,0.12073641825268296,7.0843168132794455e-06,24,0.00011090158310035842
recursive,global_speaker,wf,0.3,big blue,0.13179432615413317,8.522459431453013e-06,24,0.0001216385486305195
recursive,global_speaker,wf,0.3,blue big,0.12300866971573789,2.7253432587174555e-06,24,6.878589036314888e-05
recursive,global_speaker,wf,0.5,big blue,0.128003529372316,7.773958434544597e-07,24,3.6737522528783586e-05
recursive,global_speaker,wf,0.5,blue big,0.1250208998041308,4.83064570845267e-07,24,2.8959519485457426e-05
recursive,global_speaker,wf,0.8,big blue,0.12685889152189864,7.835449659215753e-08,24,1.166328050503641e-05
recursive,global_speaker,wf,0.8,blue big,0.12590423213697802,6.932057057775345e-08,24,1.0970333304353142e-05
recursive,incremental_speaker,color_semvalue,0.9,big blue,0.13304814683335223,1.6613921829805386e-05,24,0.00016983407869993752
recursive,incremental_speaker,color_semvalue,0.9,blue big,0.1252114153717431,9.433510076723715e-06,24,0.00012797508218781762
recursive,incremental_speaker,color_semvalue,0.92,big blue,0.1323060698218488,1.7096327209192918e-05,24,0.00017228210477896722
recursive,incremental_speaker,color_semvalue,0.92,blue big,0.1261042934952556,1.0180351093707419e-05,24,0.00013294442691891075
recursive,incremental_speaker,color_semvalue,0.94,big blue,0.13147858570146195,1.769270394308493e-05,24,0.00017526123330956312
recursive,incremental_speaker,color_semvalue,0.94,blue big,0.12709112540021825,1.101681376643718e-05,24,0.00013829827471430523
recursive,incremental_speaker,color_semvalue,0.96,big blue,0.13075103617880143,1.8671365786092457e-05,24,0.00018004323258832852
recursive,incremental_speaker,color_semvalue,0.96,blue big,0.12805701549516937,1.1922283133659493e-05,24,0.0001438694137687328
recursive,incremental_speaker,color_semvalue,0.98,big blue,0.12989047578633925,1.9216955080048543e-05,24,0.00018265478158590697
recursive,incremental_speaker,color_semvalue,0.98,blue big,0.12907732394336605,1.2942491283770993e-05,24,0.00014989864216601004
recursive,incremental_speaker,k,0.1,big blue,0.13566914652707499,2.1846739687281997e-05,24,0.00019475206677373763
recursive,incremental_speaker,k,0.1,blue big,0.12343211583094156,1.2846491979686345e-05,24,0.00014934168026620444
recursive,incremental_speaker,k,0.3,big blue,0.13391187331376422,1.924264868597683e-05,24,0.00018277684807144475
recursive,incremental_speaker,k,0.3,blue big,0.12481158516456355,1.1942476960478808e-05,24,0.0001439912044024763
recursive,incremental_speaker,k,0.5,big blue,0.13154441477396894,1.9101434363752173e-05,24,0.0001821049489636944
recursive,incremental_speaker,k,0.5,blue big,0.1267490751059404,1.1537994641055079e-05,24,0.00014153176567921485
recursive,incremental_speaker,k,0.7,big blue,0.12935005860776952,2.2208202174206485e-05,24,0.00019635658010986495
recursive,incremental_speaker,k,0.7,blue big,0.12897495192689887,1.1287280534248984e-05,24,0.000139985617653164
recursive,incremental_speaker,k,0.9,big blue,0.12699882109922606,2.7406140904030775e-05,24,0.00021812864492350503
recursive,incremental_speaker,k,0.9,blue big,0.131573445677408,1.0706514265971476e-05,24,0.00013633670957751144
recursive,incremental_speaker,wf,0.1,big blue,0.1603028225177015,0.0001004977651709715,24,0.0004177023901717093
recursive,incremental_speaker,wf,0.1,blue big,0.11161284633145607,1.5036362708470305e-05,24,0.00016156978792110875
recursive,incremental_speaker,wf,0.2,big blue,0.13666401002267473,3.31090318231144e-05,24,0.00023975186761783583
recursive,incremental_speaker,wf,0.2,blue big,0.12159365086802333,1.4007144944306764e-05,24,0.00015594216868042716
recursive,incremental_speaker,wf,0.3,big blue,0.12709738288324895,1.629966237837779e-05,24,0.00016822016812041726
recursive,incremental_speaker,wf,0.3,blue big,0.1277749949739616,1.3170502966039612e-05,24,0.00015121328161991332
recursive,incremental_speaker,wf,0.5,big blue,0.11902475774468473,1.1331905122744337e-05,24,0.0001402620632731936
recursive,incremental_speaker,wf,0.5,blue big,0.13482374066791625,1.2457559915781489e-05,24,0.00014706361952271079
recursive,incremental_speaker,wf,0.8,big blue,0.1143853411534938,1.060896815643892e-05,24,0.0001357142125711879
recursive,incremental_speaker,wf,0.8,blue big,0.13973594086439514,1.2381423779583969e-05,24,0.00014661353073680157
static,global_speaker,color_semvalue,0.9,big blue,0.12636252636252635,8.516408234061895e-36,24,1.2159535748503318e-19
static,global_speaker,color_semvalue,0.9,blue big,0.12636252636252635,8.699313743044617e-36,24,1.2289416279197864e-19
static,global_speaker,color_semvalue,0.92,big blue,0.12636252636252635,8.542530707281562e-36,24,1.2178170009455188e-19
static,global_speaker,color_semvalue,0.92,blue big,0.12636252636252635,8.63612820357786e-36,24,1.224470421497047e-19
static,global_speaker,color_semvalue,0.94,big blue,0.12636252636252635,8.499828656963067e-36,24,1.2147694009108977e-19
static,global_speaker,color_semvalue,0.94,blue big,0.12636252636252635,8.708615656940181e-36,24,1.229598487491345e-19
static,global_speaker,color_semvalue,0.96,big blue,0.12636252636252635,8.507684677506988e-36,24,1.2153306504178042e-19
static,global_speaker,color_semvalue,0.96,blue big,0.12636252636252635,8.726496538055487e-36,24,1.2308601708070164e-19
static,global_speaker,color_semvalue,0.98,big blue,0.12636252636252635,8.521709843017917e-36,24,1.2163319918561842e-19
static,global_speaker,color_semvalue,0.98,blue big,0.12636252636252635,8.646297653484408e-36,24,1.2251911453397062e-19
static,global_speaker,k,0.1,big blue,0.12636252636252635,8.514046608254214e-36,24,1.2157849693555194e-19
static,global_speaker,k,0.1,blue big,0.12636252636252635,8.694445902094089e-36,24,1.2285977427775135e-19
static,global_speaker,k,0.3,big blue,0.12636252636252635,8.487779545699382e-36,24,1.2139080845743765e-19
static,global_speaker,k,0.3,blue big,0.12636252636252635,8.624464663874613e-36,24,1.2236432866786737e-19
static,global_speaker,k,0.5,big blue,0.12636252636252635,8.577569522836355e-36,24,1.220311999241351e-19
static,global_speaker,k,0.5,blue big,0.12636252636252635,8.614584392638392e-36,24,1.222942176951301e-19
static,global_speaker,k,0.7,big blue,0.12636252636252635,8.536457955204666e-36,24,1.2173840604165827e-19
static,global_speaker,k,0.7,blue big,0.12636252636252635,8.608367051226331e-36,24,1.2225007847096387e-19
static,global_speaker,k,0.9,big blue,0.12636252636252635,8.60774049744062e-36,24,1.2224562944812278e-19
static,global_speaker,k,0.9,blue big,0.12636252636252635,8.646731421489901e-36,24,1.2252218776875553e-19
static,global_speaker,wf,0.1,big blue,0.12636252636252635,8.53477107962775e-36,24,1.2172637718313772e-19
static,global_speaker,wf,0.1,blue big,0.12636252636252635,8.719315267742333e-36,24,1.2303536124874106e-19
static,global_speaker,wf,0.2,big blue,0.12636252636252635,8.494286065781773e-36,24,1.2143732712704123e-19
static,global_speaker,wf,0.2,blue big,0.12636252636252635,8.667311303528273e-36,24,1.226679072027984e-19
static,global_speaker,wf,0.3,big blue,0.12636252636252635,8.430184793858974e-36,24,1.2097825213375543e-19
static,global_speaker,wf,0.3,blue big,0.12636252636252635,8.64774354683605e-36,24,1.2252935835015816e-19
static,global_speaker,wf,0.5,big blue,0.12636252636252635,8.487008402578507e-36,24,1.2138529395198542e-19
static,global_speaker,wf,0.5,blue big,0.12636252636252635,8.652659584231634e-36,24,1.2256418092104474e-19
static,global_speaker,wf,0.8,big blue,0.12636252636252635,8.445222084716051e-36,24,1.2108610117216789e-19
static,global_speaker,wf,0.8,blue big,0.12636252636252635,8.645285528138259e-36,24,1.2251194335300098e-19
static,incremental_speaker,color_semvalue,0.9,big blue,0.1245679738080656,1.1230302164485296e-05,24,0.00013963184582643776
static,incremental_speaker,color_semvalue,0.9,blue big,0.12909706071994834,1.1326235133984684e-05,24,0.0001402269683875675
