semantics,speaker,nobj,sd_spread,mean_advantage,mcse_advantage,n_scenes,parameter_combinations
static,global_speaker,2,2.0,-8.464340339742194e-19,2.107924850097691e-19,1000,125
static,incremental_speaker,2,2.0,-0.0671849043259226,0.003621654788635029,1000,125
recursive,global_speaker,2,2.0,0.01670138203521762,0.0010271653348680326,1000,125
recursive,incremental_speaker,2,2.0,-0.051284362526856524,0.003431029595241642,1000,125
static,global_speaker,2,7.75,-6.261657858885881e-20,2.3943196690981794e-19,1000,125
static,incremental_speaker,2,7.75,0.0017545519469122817,0.004063048558141611,1000,125
recursive,global_speaker,2,7.75,0.07216367481932563,0.003113815935867284,1000,125
recursive,incremental_speaker,2,7.75,0.07258193125195125,0.003977899322915984,1000,125
static,global_speaker,2,15.0,-1.505462421391712e-19,2.2738158618297066e-19,1000,125
static,incremental_speaker,2,15.0,0.021883414812947387,0.003977527145949329,1000,125
recursive,global_speaker,2,15.0,0.08525014419566196,0.0034607960422601393,1000,125
recursive,incremental_speaker,2,15.0,0.10553060541902096,0.0038445086427596757,1000,125
static,global_speaker,6,2.0,-1.4712675522332574e-18,8.292276197267316e-20,1000,125
static,incremental_speaker,6,2.0,-0.040208362764588855,0.0012886291370543318,1000,125
recursive,global_speaker,6,2.0,0.008439202132704085,0.000504387615707283,1000,125
recursive,incremental_speaker,6,2.0,-0.03426198347296568,0.001211420389223983,1000,125
static,global_speaker,6,7.75,-1.2021494910641194e-18,9.022437964592454e-20,1000,125
static,incremental_speaker,6,7.75,-0.008857067441142863,0.0013528353946991572,1000,125
recursive,global_speaker,6,7.75,0.048991753327340834,0.002187412129293917,1000,125
recursive,incremental_speaker,6,7.75,0.028659543616461107,0.0016485067819342134,1000,125
static,global_speaker,6,15.0,-1.0573764086529992e-18,9.299846576707532e-20,1000,125
static,incremental_speaker,6,15.0,-0.0033054385229788256,0.0013337264058141485,1000,125
recursive,global_speaker,6,15.0,0.04621847460442199,0.0022649577744284547,1000,125
recursive,incremental_speaker,6,15.0,0.03254215871617704,0.0017768076302788057,1000,125
static,global_speaker,10,2.0,1.1282086376240842e-18,6.814187400918652e-20,1000,125
static,incremental_speaker,10,2.0,-0.02348061962540655,0.0006351426692206385,1000,125
recursive,global_speaker,10,2.0,0.0023250591466072016,0.00020546457380233844,1000,125
recursive,incremental_speaker,10,2.0,-0.021898314240218028,0.0006117014548645631,1000,125
static,global_speaker,10,7.75,9.564571357145723e-19,6.681485575468354e-20,1000,125
static,incremental_speaker,10,7.75,-0.005826254401980539,0.0007089195242326106,1000,125
recursive,global_speaker,10,7.75,0.010714483539601964,0.0009891013177566292,1000,125
recursive,incremental_speaker,10,7.75,0.0031492541044533667,0.0007396876166968413,1000,125
static,global_speaker,10,15.0,8.595346656647962e-19,6.782259904517973e-20,1000,125
static,incremental_speaker,10,15.0,-0.0022383462748869223,0.0006803759206769249,1000,125
recursive,global_speaker,10,15.0,0.011222446310771161,0.0011083786193432066,1000,125
recursive,incremental_speaker,10,15.0,0.007828171191238782,0.0007628344338424263,1000,125
static,global_speaker,14,2.0,-2.681188604469753e-19,5.450118195093168e-20,1000,125
static,incremental_speaker,14,2.0,-0.017058054537903645,0.00040787088227251775,1000,125
recursive,global_speaker,14,2.0,0.0016268106592111815,0.00013833296192240863,1000,125
recursive,incremental_speaker,14,2.0,-0.01600978864244946,0.00039677592175958455,1000,125
static,global_speaker,14,7.75,-9.359180097590071e-20,5.0907400494030165e-20,1000,125
static,incremental_speaker,14,7.75,-0.0031013756157075,0.000405724363141297,1000,125
recursive,global_speaker,14,7.75,0.0075898745289730354,0.0005962063293508874,1000,125
recursive,incremental_speaker,14,7.75,0.002820266968120607,0.00047781522387821716,1000,125
static,global_speaker,14,15.0,-3.155253835984695e-19,4.963465657776441e-20,1000,125
static,incremental_speaker,14,15.0,-0.002003732985903982,0.000433877229445166,1000,125
recursive,global_speaker,14,15.0,0.007832973095899896,0.0006936329053230624,1000,125
recursive,incremental_speaker,14,15.0,0.004530814491901891,0.0005436646714547848,1000,125
