nu,wf,q,denom,mean_abs_delta_theta,mean_abs_delta_target_sem,mean_abs_delta_listener,mean_abs_order_delta,mean_L1_C_minus_D
0.59,0.3,fullrange,ans,0.0,0.0,0.0,5.996574978685259e-17,-0.18286751180568436
0.59,0.3,fullrange,constant,0.0,0.0,0.0,4.231868627815026e-17,-0.24881018287185863
0.59,0.3,midrange,ans,0.006172839506172839,0.000614238674585742,5.19473052233494e-05,5.1947305223394976e-05,-0.08031864245789536
0.59,0.3,midrange,constant,0.006172839506172839,0.0005847073078965161,0.00566958449094313,0.005669584490943155,-0.09404272021202224
0.59,0.6856,fullrange,ans,0.0,0.0,0.0,3.7864087722555495e-17,-0.06821458944827166
0.59,0.6856,fullrange,constant,0.0,0.0,0.0,6.23643797783267e-17,-0.24395119211262525
0.59,0.6856,midrange,ans,0.006172839506172839,0.0002726322022910341,6.270601792372714e-06,6.270601792402526e-06,-0.039535711410473684
0.59,0.6856,midrange,constant,0.006172839506172839,0.001982368239873895,0.0017532646117919394,0.001753264611791978,-0.08822062472310759
0.59,1.0,fullrange,ans,0.0,0.0,0.0,3.683610344049516e-17,-0.03378407454611233
0.59,1.0,fullrange,constant,0.0,0.0,0.0,7.075958474848606e-17,-0.2359181294491401
0.59,1.0,midrange,ans,0.006172839506172839,0.0001872516557680531,3.00589955532703e-09,3.0058995858238965e-09,-0.01976953239719459
0.59,1.0,midrange,constant,0.006172839506172839,0.0018503985777102458,0.0008553126424660142,0.0008553126424660531,-0.08488257080903767
0.8,0.3,fullrange,ans,0.0,0.0,0.0,6.71616397612749e-17,-0.0809206623588349
0.8,0.3,fullrange,constant,0.0,0.0,0.0,8.566535683836084e-17,-0.14686333342500918
0.8,0.3,midrange,ans,0.1728395061728395,0.014419514167076907,0.00498769345612284,0.004987693456122887,0.021628206988954134
0.8,0.3,midrange,constant,0.1728395061728395,0.0005847108469663406,0.01569598188613168,0.015695981886131725,0.007904129234827244
0.8,0.6856,fullrange,ans,0.0,0.0,0.0,4.591663126536141e-17,0.03373225999857782
0.8,0.6856,fullrange,constant,0.0,0.0,0.0,8.703600254777462e-17,-0.14200434266577577
0.8,0.6856,midrange,ans,0.1728395061728395,0.009330688005205751,0.00145892454898825,0.0014589245489882836,0.062411138036375796
0.8,0.6856,midrange,constant,0.1728395061728395,0.002184718775492536,0.012816866865935592,0.012816866865935635,0.013726224723741902
0.8,1.0,fullrange,ans,0.0,0.0,0.0,3.6664772726818444e-17,0.06816277490073716
0.8,1.0,fullrange,constant,0.0,0.0,0.0,7.161623831686966e-17,-0.1339712800022906
0.8,1.0,midrange,ans,0.1728395061728395,0.006732348097427178,0.0005762476309662623,0.0005762476309662913,0.0821773170496549
0.8,1.0,midrange,constant,0.1728395061728395,0.0031640530388723875,0.01115857250868696,0.011158572508687,0.01706427863781182
0.95,0.3,fullrange,ans,0.0,0.0,0.0,1.0142778249661923e-16,0.05396690377873124
0.95,0.3,fullrange,constant,0.0,0.0,0.0,6.167905692361981e-17,-0.011975767287443012
0.95,0.3,midrange,ans,0.2962962962962963,0.026548399994979096,0.007632928640194464,0.0076329286401945265,0.15651577312652026
0.95,0.3,midrange,constant,0.2962962962962963,0.11224141398948125,0.06746959606924664,0.0674695960692467,0.1427916953723934
0.95,0.6856,fullrange,ans,0.0,0.0,0.0,8.258140399217985e-17,0.16861982613614396
0.95,0.6856,fullrange,constant,0.0,0.0,0.0,9.114793967601594e-17,-0.007116776528209639
0.95,0.6856,midrange,ans,0.2962962962962963,0.014648878243381588,0.0020889958996505513,0.002088995899650589,0.19729870417394194
0.95,0.6856,midrange,constant,0.2962962962962963,0.06813220274911444,0.029632533157442815,0.029632533157442822,0.14861379086130805
0.95,1.0,fullrange,ans,0.0,0.0,0.0,5.3455182667137164e-17,0.20305034103830327
0.95,1.0,fullrange,constant,0.0,0.0,0.0,1.302113423943085e-16,0.0009162861352755223
0.95,1.0,midrange,ans,0.2962962962962963,0.010379440712370389,0.0007930154931407479,0.0007930154931407648,0.21706488318722106
0.95,1.0,midrange,constant,0.2962962962962963,0.05043873483492498,0.02173624354104018,0.021736243541040222,0.15195184477537793
0.99,0.3,fullrange,ans,0.0,0.0,0.0,1.0828101104368811e-16,0.1123901874842729
0.99,0.3,fullrange,constant,0.0,0.0,0.0,6.853228547068867e-17,0.04644751641809863
0.99,0.3,midrange,ans,0.30246913580246915,0.027142084426274245,0.00808811224320525,0.0080881122432053,0.21493905683206194
0.99,0.3,midrange,constant,0.30246913580246915,0.11782424914660697,0.0503057372536776,0.05030573725367764,0.20121497907793504
0.99,0.6856,fullrange,ans,0.0,0.0,0.0,8.909197111189528e-17,0.2270431098416856
0.99,0.6856,fullrange,constant,0.0,0.0,0.0,1.1170762531722254e-16,0.05130650717733201
0.99,0.6856,midrange,ans,0.30246913580246915,0.014909169509350517,0.0022110601354206785,0.0022110601354207175,0.2557219878794836
0.99,0.6856,midrange,constant,0.30246913580246915,0.07142957694779552,0.022969544275667712,0.02296954427566771,0.2070370745668497
0.99,1.0,fullrange,ans,0.0,0.0,0.0,7.966878185967558e-17,0.26147362474384495
0.99,1.0,fullrange,constant,0.0,0.0,0.0,1.034837510607399e-16,0.05933956984081718
0.99,1.0,midrange,ans,0.30246913580246915,0.01055794046229586,0.0008104110881502367,0.0008104110881502639,0.2754881668927627
0.99,1.0,midrange,constant,0.30246913580246915,0.05280246892472761,0.01893697997039193,0.01893697997039195,0.2103751284809196
