theta_uniform,theta_after_color,delta_theta,size_target_uniform,size_target_after_color,delta_size_target,L1_D_target,L1_C_target,L1_C_minus_D,rec_DC_target,rec_CD_target,fix_DC_target,fix_CD_target,delta_rec_fix_DC,delta_rec_fix_CD,rec_order_delta,fix_order_delta,delta_order_advantage,n_color_match,target_c,target_size,max_other_size,target_minus_max_other,item,list,trials,conditions,relevant_property,sharpness,coding,param_set
9.5,9.5,0.0,0.4847609068896446,0.4847609068896446,0.0,0.17760869929005482,0.44444444444444453,0.2668357451543897,0.4634803635894224,0.46348036358942235,0.4634803635894224,0.46348036358942235,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,1,1,9.0,10.0,-1.0,"<bound method IndexOpsMixin.item of id                                 1
item                              15
conditions                      zrdc
list                               1
annotation                         C
trials                             8
size_A                             9
size_B                            10
size_C                            10
size_D                            10
size_E                            10
size_F                             1
color_A                         blue
color_B                          red
color_C                          red
color_D                          red
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        circle
form_D                        circle
form_E                        circle
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property             second
Name: 1, dtype: object>",1,8,zrdc,second,sharp,blue-coded,slider
9.5,9.5,0.0,0.477778712653694,0.477778712653694,0.0,0.17966476691583466,0.22348484848484845,0.04382008156901379,0.2396398571832203,0.2396398571832203,0.2396398571832203,0.2396398571832203,0.0,0.0,0.0,0.0,0.0,1,1,9.0,10.0,-1.0,"<bound method IndexOpsMixin.item of id                                 1
item                              15
conditions                      zrdc
list                               1
annotation                         C
trials                             8
size_A                             9
size_B                            10
size_C                            10
size_D                            10
size_E                            10
size_F                             1
color_A                         blue
color_B                          red
color_C                          red
color_D                          red
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        circle
form_D                        circle
form_E                        circle
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property             second
Name: 1, dtype: object>",1,8,zrdc,second,sharp,blue-coded,production
9.5,9.5,0.0,0.4847609068896446,0.4847609068896446,0.0,0.17760869929005482,0.44444444444444453,0.2668357451543897,0.4634803635894224,0.46348036358942235,0.4634803635894224,0.46348036358942235,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,1,1,9.0,10.0,-1.0,"<bound method IndexOpsMixin.item of id                                 1
item                              15
conditions                      zrdc
list                               1
annotation                         C
trials                             8
size_A                             9
size_B                            10
size_C                            10
size_D                            10
size_E                            10
size_F                             1
color_A                         blue
color_B                          red
color_C                          red
color_D                          red
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        circle
form_D                        circle
form_E                        circle
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property             second
Name: 1, dtype: object>",1,8,zrdc,second,sharp,target-match,slider
9.5,9.5,0.0,0.477778712653694,0.477778712653694,0.0,0.17966476691583466,0.22348484848484845,0.04382008156901379,0.2396398571832203,0.2396398571832203,0.2396398571832203,0.2396398571832203,0.0,0.0,0.0,0.0,0.0,1,1,9.0,10.0,-1.0,"<bound method IndexOpsMixin.item of id                                 1
item                              15
conditions                      zrdc
list                               1
annotation                         C
trials                             8
size_A                             9
size_B                            10
size_C                            10
size_D                            10
size_E                            10
size_F                             1
color_A                         blue
color_B                          red
color_C                          red
color_D                          red
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        circle
form_D                        circle
form_E                        circle
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property             second
Name: 1, dtype: object>",1,8,zrdc,second,sharp,target-match,production
9.5,9.5,0.0,0.4847609068896446,0.4847609068896446,0.0,0.17933535778830967,0.44444444444444453,0.26510908665613486,0.4664100120123727,0.46641001201237275,0.4664100120123727,0.46641001201237275,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,1,1,9.0,10.0,-1.0,"<bound method IndexOpsMixin.item of id                                 1
item                              18
conditions                      zrdc
list                               1
annotation                         C
trials                             8
size_A                             9
size_B                            10
size_C                             9
size_D                            10
size_E                             9
size_F                             2
color_A                         blue
color_B                          red
color_C                          red
color_D                          red
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        square
form_D                        circle
form_E                        square
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property             second
Name: 2, dtype: object>",1,8,zrdc,second,sharp,blue-coded,slider
9.5,9.5,0.0,0.477778712653694,0.477778712653694,0.0,0.18337910434820703,0.22348484848484845,0.04010574413664142,0.24422496489623477,0.24422496489623477,0.24422496489623477,0.24422496489623477,0.0,0.0,0.0,0.0,0.0,1,1,9.0,10.0,-1.0,"<bound method IndexOpsMixin.item of id                                 1
item                              18
conditions                      zrdc
list                               1
annotation                         C
trials                             8
size_A                             9
size_B                            10
size_C                             9
size_D                            10
size_E                             9
size_F                             2
color_A                         blue
color_B                          red
color_C                          red
color_D                          red
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        square
form_D                        circle
form_E                        square
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property             second
Name: 2, dtype: object>",1,8,zrdc,second,sharp,blue-coded,production
9.5,9.5,0.0,0.4847609068896446,0.4847609068896446,0.0,0.17933535778830967,0.44444444444444453,0.26510908665613486,0.4664100120123727,0.46641001201237275,0.4664100120123727,0.46641001201237275,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,1,1,9.0,10.0,-1.0,"<bound method IndexOpsMixin.item of id                                 1
item                              18
conditions                      zrdc
list                               1
annotation                         C
trials                             8
size_A                             9
size_B                            10
size_C                             9
size_D                            10
size_E                             9
size_F                             2
color_A                         blue
color_B                          red
color_C                          red
color_D                          red
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        square
form_D                        circle
form_E                        square
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property             second
Name: 2, dtype: object>",1,8,zrdc,second,sharp,target-match,slider
9.5,9.5,0.0,0.477778712653694,0.477778712653694,0.0,0.18337910434820703,0.22348484848484845,0.04010574413664142,0.24422496489623477,0.24422496489623477,0.24422496489623477,0.24422496489623477,0.0,0.0,0.0,0.0,0.0,1,1,9.0,10.0,-1.0,"<bound method IndexOpsMixin.item of id                                 1
item                              18
conditions                      zrdc
list                               1
annotation                         C
trials                             8
size_A                             9
size_B                            10
size_C                             9
size_D                            10
size_E                             9
size_F                             2
color_A                         blue
color_B                          red
color_C                          red
color_D                          red
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        square
form_D                        circle
form_E                        square
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property             second
Name: 2, dtype: object>",1,8,zrdc,second,sharp,target-match,production
6.0,6.0,0.0,0.6341997055153059,0.6341997055153059,0.0,0.2349719723065055,0.26666666666666666,0.031694694360161174,0.3979692843352727,0.3979692843352727,0.3979692843352727,0.3979692843352727,0.0,0.0,0.0,0.0,0.0,3,1,10.0,10.0,0.0,"<bound method IndexOpsMixin.item of id                                 1
item                               1
conditions                      brdc
list                               1
annotation                       DCF
trials                             2
size_A                            10
size_B                            10
size_C                             3
size_D                             2
size_E                            10
size_F                             1
color_A                         blue
color_B                          red
color_C                         blue
color_D                         blue
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        square
form_D                        circle
form_E                        square
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property               both
Name: 3, dtype: object>",1,2,brdc,both,sharp,blue-coded,slider
6.0,6.0,0.0,0.6915637037255977,0.6915637037255977,0.0,0.26343181056047044,0.19666666666666666,-0.06676514389380378,0.31897668179558814,0.3189766817955881,0.31897668179558814,0.3189766817955881,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,3,1,10.0,10.0,0.0,"<bound method IndexOpsMixin.item of id                                 1
item                               1
conditions                      brdc
list                               1
annotation                       DCF
trials                             2
size_A                            10
size_B                            10
size_C                             3
size_D                             2
size_E                            10
size_F                             1
color_A                         blue
color_B                          red
color_C                         blue
color_D                         blue
color_E                          red
color_F                          red
form_A                        circle
form_B                        square
form_C                        square
form_D                        circle
form_E                        square
form_F                        circle
sharpness                      sharp
combination          dimension_color
relevant_property               both
Name: 3, dtype: object>",1,2,brdc,both,sharp,blue-coded,production
