id,item,conditions,sharpness,relevant_property,combination,human_slider
1,10,zrdc,blurred,second,dimension_color,0.9700000286102295
1,13,erdc,blurred,first,dimension_color,0.9800000190734863
1,8,zrdc,blurred,second,dimension_color,0.9800000190734863
1,16,brdc,blurred,both,dimension_color,0.9800000190734863
1,10,brdc,blurred,both,dimension_color,0.9800000190734863
1,2,zrdc,blurred,second,dimension_color,0.019999999552965164
1,27,zrdc,blurred,second,dimension_color,0.9700000286102295
1,13,brdc,blurred,both,dimension_color,0.9800000190734863
1,27,brdc,blurred,both,dimension_color,0.9800000190734863
1,21,brdc,blurred,both,dimension_color,0.009999999776482582
1,5,erdc,blurred,first,dimension_color,0.9800000190734863
1,2,erdc,blurred,first,dimension_color,0.9900000095367432
1,24,brdc,blurred,both,dimension_color,0.9900000095367432
1,21,erdc,blurred,first,dimension_color,0.9900000095367432
1,16,zrdc,blurred,second,dimension_color,0.9800000190734863
1,24,erdc,blurred,first,dimension_color,0.009999999776482582
1,21,zrdc,blurred,second,dimension_color,0.9800000190734863
1,10,erdc,blurred,first,dimension_color,0.9800000190734863
1,5,zrdc,blurred,second,dimension_color,0.9900000095367432
1,8,brdc,blurred,both,dimension_color,0.9900000095367432
1,13,zrdc,blurred,second,dimension_color,0.9800000190734863
1,24,zrdc,blurred,second,dimension_color,0.9700000286102295
1,16,erdc,blurred,first,dimension_color,0.9599999785423279
1,8,erdc,blurred,first,dimension_color,0.9900000095367432
1,2,brdc,blurred,both,dimension_color,0.9900000095367432
1,27,erdc,blurred,first,dimension_color,0.9900000095367432
2,12,zrdc,blurred,second,dimension_color,0.009999999776482582
2,26,brdc,blurred,both,dimension_color,0.9800000190734863
2,4,brdc,blurred,both,dimension_color,0.9900000095367432
2,4,erdc,blurred,first,dimension_color,0.9800000190734863
2,15,erdc,blurred,first,dimension_color,0.7799999713897705
2,1,brdc,blurred,both,dimension_color,0.5
2,12,brdc,blurred,both,dimension_color,0.5
2,20,zrdc,blurred,second,dimension_color,0.6600000262260437
2,18,erdc,blurred,first,dimension_color,0.5
2,23,brdc,blurred,both,dimension_color,0.7099999785423279
2,7,erdc,blurred,first,dimension_color,0.5
2,23,erdc,blurred,first,dimension_color,0.9800000190734863
2,15,brdc,blurred,both,dimension_color,0.5
2,7,brdc,blurred,both,dimension_color,0.75
2,26,zrdc,blurred,second,dimension_color,0.5
2,1,zrdc,blurred,second,dimension_color,0.14000000059604645
2,18,zrdc,blurred,second,dimension_color,0.15000000596046448
2,4,zrdc,blurred,second,dimension_color,0.23999999463558197
2,12,erdc,blurred,first,dimension_color,0.8100000023841858
2,1,erdc,blurred,first,dimension_color,0.6700000166893005
2,18,brdc,blurred,both,dimension_color,0.15000000596046448
2,23,zrdc,blurred,second,dimension_color,0.07999999821186066
2,26,erdc,blurred,first,dimension_color,0.9100000262260437
2,15,zrdc,blurred,second,dimension_color,0.5
2,20,erdc,blurred,first,dimension_color,0.8100000023841858
2,20,brdc,blurred,both,dimension_color,0.8899999856948853
2,7,zrdc,blurred,second,dimension_color,0.17000000178813934
3,22,brdc,blurred,both,dimension_color,0.9900000095367432
3,6,brdc,blurred,both,dimension_color,0.9700000286102295
3,14,zrdc,blurred,second,dimension_color,0.9800000190734863
3,11,brdc,blurred,both,dimension_color,0.9599999785423279
3,19,erdc,blurred,first,dimension_color,0.9900000095367432
3,11,erdc,blurred,first,dimension_color,0.019999999552965164
3,6,zrdc,blurred,second,dimension_color,1.0
3,14,erdc,blurred,first,dimension_color,1.0
3,17,zrdc,blurred,second,dimension_color,0.0
3,19,brdc,blurred,both,dimension_color,1.0
3,22,zrdc,blurred,second,dimension_color,1.0
3,3,brdc,blurred,both,dimension_color,1.0
3,19,zrdc,blurred,second,dimension_color,1.0
3,25,erdc,blurred,first,dimension_color,1.0
3,3,zrdc,blurred,second,dimension_color,1.0
3,11,zrdc,blurred,second,dimension_color,1.0
3,9,zrdc,blurred,second,dimension_color,1.0
3,6,erdc,blurred,first,dimension_color,0.0
3,25,brdc,blurred,both,dimension_color,1.0
3,17,brdc,blurred,both,dimension_color,0.0
3,3,erdc,blurred,first,dimension_color,1.0
3,25,zrdc,blurred,second,dimension_color,1.0
3,9,brdc,blurred,both,dimension_color,1.0
4,2,zrdc,blurred,second,dimension_color,0.0
4,8,brdc,blurred,both,dimension_color,0.7699999809265137
4,8,erdc,blurred,first,dimension_color,0.699999988079071
4,10,erdc,blurred,first,dimension_color,0.8600000143051147
4,21,zrdc,blurred,second,dimension_color,0.25999999046325684
4,13,brdc,blurred,both,dimension_color,0.0
4,24,brdc,blurred,both,dimension_color,0.5
4,2,brdc,blurred,both,dimension_color,0.5
4,5,zrdc,blurred,second,dimension_color,0.3499999940395355
4,24,zrdc,blurred,second,dimension_color,0.14000000059604645
4,24,erdc,blurred,first,dimension_color,0.75
4,8,zrdc,blurred,second,dimension_color,0.2199999988079071
4,16,erdc,blurred,first,dimension_color,0.8700000047683716
4,21,erdc,blurred,first,dimension_color,0.9900000095367432
4,10,brdc,blurred,both,dimension_color,0.20999999344348907
4,10,zrdc,blurred,second,dimension_color,0.11999999731779099
4,27,erdc,blurred,first,dimension_color,0.8600000143051147
4,13,erdc,blurred,first,dimension_color,0.8299999833106995
4,27,brdc,blurred,both,dimension_color,0.47999998927116394
4,27,zrdc,blurred,second,dimension_color,0.33000001311302185
4,13,zrdc,blurred,second,dimension_color,0.1899999976158142
4,16,brdc,blurred,both,dimension_color,0.75
4,2,erdc,blurred,first,dimension_color,0.7900000214576721
4,16,zrdc,blurred,second,dimension_color,0.2199999988079071
4,21,brdc,blurred,both,dimension_color,0.1899999976158142
4,5,brdc,blurred,both,dimension_color,0.30000001192092896
5,14,brdc,sharp,both,dimension_color,1.0
5,25,zrdc,sharp,second,dimension_color,1.0
5,9,brdc,sharp,both,dimension_color,1.0
5,14,erdc,sharp,first,dimension_color,1.0
5,22,erdc,sharp,first,dimension_color,1.0
5,11,erdc,sharp,first,dimension_color,1.0
5,9,erdc,sharp,first,dimension_color,1.0
5,17,brdc,sharp,both,dimension_color,1.0
5,11,brdc,sharp,both,dimension_color,0.0
5,3,brdc,sharp,both,dimension_color,0.0
5,14,zrdc,sharp,second,dimension_color,1.0
5,11,zrdc,sharp,second,dimension_color,0.0
5,6,zrdc,sharp,second,dimension_color,1.0
5,22,zrdc,sharp,second,dimension_color,0.0
5,3,erdc,sharp,first,dimension_color,1.0
5,25,brdc,sharp,both,dimension_color,0.0
5,19,erdc,sharp,first,dimension_color,0.0
5,6,brdc,sharp,both,dimension_color,0.0
5,25,erdc,sharp,first,dimension_color,1.0
5,9,zrdc,sharp,second,dimension_color,0.0
5,19,brdc,sharp,both,dimension_color,0.0
5,19,zrdc,sharp,second,dimension_color,0.0
5,6,erdc,sharp,first,dimension_color,0.0
5,22,brdc,sharp,both,dimension_color,0.0
5,3,zrdc,sharp,second,dimension_color,1.0
5,17,zrdc,sharp,second,dimension_color,1.0
5,17,erdc,sharp,first,dimension_color,0.0
6,4,brdc,sharp,both,dimension_color,1.0
6,4,zrdc,sharp,second,dimension_color,1.0
6,1,brdc,sharp,both,dimension_color,1.0
6,26,erdc,sharp,first,dimension_color,0.75
6,15,erdc,sharp,first,dimension_color,0.6800000071525574
6,26,zrdc,sharp,second,dimension_color,1.0
6,7,erdc,sharp,first,dimension_color,0.75
6,15,zrdc,sharp,second,dimension_color,1.0
6,23,brdc,sharp,both,dimension_color,1.0
6,18,erdc,sharp,first,dimension_color,1.0
6,12,zrdc,sharp,second,dimension_color,1.0
6,23,zrdc,sharp,second,dimension_color,1.0
6,7,brdc,sharp,both,dimension_color,1.0
6,4,erdc,sharp,first,dimension_color,1.0
6,1,zrdc,sharp,second,dimension_color,1.0
6,15,brdc,sharp,both,dimension_color,1.0
6,18,brdc,sharp,both,dimension_color,1.0
6,7,zrdc,sharp,second,dimension_color,1.0
6,26,brdc,sharp,both,dimension_color,1.0
6,20,brdc,sharp,both,dimension_color,1.0
6,12,brdc,sharp,both,dimension_color,1.0
6,20,zrdc,sharp,second,dimension_color,1.0
6,1,erdc,sharp,first,dimension_color,1.0
6,12,erdc,sharp,first,dimension_color,1.0
6,23,erdc,sharp,first,dimension_color,1.0
7,1,brdc,sharp,both,dimension_color,1.0
7,12,erdc,sharp,first,dimension_color,1.0
7,18,erdc,sharp,first,dimension_color,1.0
7,26,zrdc,sharp,second,dimension_color,0.0
7,15,zrdc,sharp,second,dimension_color,1.0
7,1,erdc,sharp,first,dimension_color,1.0
