model,speaker_type,fold,artifact,n_heldout,heldout_elpd,heldout_elpd_mean,heldout_log_lik_mean,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,n_draws,divergence_rate,diagnostic_status
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,0,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec_speaker_hier_fold0of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,699,-578.6287841796875,-0.8277950882911682,-0.8383620381355286,277,1.0,0,0,1881.0,1194.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,1,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec_speaker_hier_fold1of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,698,-571.34130859375,-0.8185405731201172,-0.8268727660179138,277,1.0,0,0,2114.0,844.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,2,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec_speaker_hier_fold2of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,698,-595.1043090820312,-0.852584958076477,-0.8621534109115601,277,1.0,0,0,2283.0,1311.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,3,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec_speaker_hier_fold3of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,696,-572.8526611328125,-0.8230641484260559,-0.8334205150604248,277,1.0,0,0,1970.0,2125.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,4,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec_speaker_hier_fold4of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,694,-528.5653686523438,-0.7616215944290161,-0.7702352404594421,277,1.0,0,0,2727.0,1781.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,0,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static_speaker_hier_fold0of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,699,-578.651123046875,-0.8278270959854126,-0.8384024500846863,277,1.0,0,0,1414.0,683.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,1,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static_speaker_hier_fold1of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,698,-571.296630859375,-0.8184765577316284,-0.8268150091171265,277,1.0,0,0,2296.0,1599.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,2,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static_speaker_hier_fold2of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,698,-595.0891723632812,-0.8525632619857788,-0.8621395230293274,277,1.0,0,0,1930.0,698.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,3,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static_speaker_hier_fold3of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,696,-572.8092041015625,-0.8230017423629761,-0.8334215879440308,277,1.0,0,0,2228.0,1786.0,0,8000,0.0,pass
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,4,mcmc_results_production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static_speaker_hier_fold4of5_orderplanlogalpha2x2_warmup2000_samples2000_chains4.nc,694,-528.5989990234375,-0.7616700530052185,-0.7702826857566833,277,1.0,0,0,2627.0,2551.0,0,8000,0.0,pass
