study,outcome,context,discriminability,observed_mean,posterior_mean,median,lower,upper,n_observations
study1a_slider,centered_rating,size_sufficient,low,0.3004220194738666,0.29824370127758676,0.29839340875016274,0.25674962484279834,0.3385374302378527,545
study1a_slider,centered_rating,size_sufficient,high,0.3430052735958975,0.3406622084588074,0.34040370466600467,0.29997535238105,0.38189471955958126,569
study1a_slider,centered_rating,both_necessary,low,0.24560200754416028,0.2465942488389257,0.24587531761320108,0.19396186085281178,0.29846443107406007,598
study1a_slider,centered_rating,both_necessary,high,0.2039198614267522,0.20363590350292793,0.20414279240332767,0.151676998356064,0.2546473319756118,574
study1a_slider,centered_rating,colour_sufficient,low,0.06226114715763908,0.06544163550816143,0.06472334682483429,-0.005643005709463184,0.1423708941299541,628
study1a_slider,centered_rating,colour_sufficient,high,0.04346760183298755,0.04358404834657627,0.04306419710477692,-0.03370511126046761,0.12041064452057877,571
study1b_slider,centered_rating,size_sufficient,low,0.22871148459383756,0.22554723678108196,0.22551265313361618,0.16784971700864096,0.28340534288435487,357
study1b_slider,centered_rating,size_sufficient,high,0.31544326241134757,0.3147619805973471,0.3153773245691047,0.2695026193692132,0.3581413887197375,564
study1b_slider,centered_rating,both_necessary,low,0.15816939890710385,0.1597505392681942,0.15957269141347688,0.09315055184950015,0.2285610923185502,366
study1b_slider,centered_rating,both_necessary,high,0.23620567375886525,0.23555827982373792,0.23563868442980168,0.18215844871107692,0.2892852945556096,564
study1b_slider,centered_rating,colour_sufficient,low,-0.012309782608695646,-0.004936359633435364,-0.0051801104517346375,-0.09424279751934038,0.08430880986236068,368
study1b_slider,centered_rating,colour_sufficient,high,0.11936507936507938,0.1191359615890521,0.11866900649369952,0.047246147764932855,0.19350307912352466,567
