alpha,bias,color_semvalue,k
0.3474788,2.8499458,0.97535557,0.0034208992
0.3095897,2.722753,0.9865724,0.001706369
0.35246494,2.7877069,0.97494304,0.0039723376
0.3665231,2.4076273,0.97413933,0.0037959088
0.3555191,2.3905675,0.97201544,0.0047510383
0.34106684,2.6774468,0.97941774,0.0032335357
0.34850663,2.5580227,0.9736667,0.0032792964
0.32922217,3.0007572,0.9723837,0.0054639396
0.30885828,3.0038702,0.9789836,0.0011028196
0.3269134,3.1464744,0.97913593,0.0043948456
0.32561657,2.9773784,0.9756383,0.0025521903
0.28692612,3.3415117,0.9780385,0.0025673136
0.3698457,2.533597,0.9730979,0.0034083526
0.34961903,2.3610034,0.9758522,0.004825044
0.32306314,2.734779,0.98003083,0.0026473275
0.3347411,2.8204346,0.97373205,0.0036002216
0.31317952,2.9241292,0.9850856,0.0015050755
0.34272712,2.6053348,0.9754445,0.0035641224
0.34154072,2.4760504,0.97935724,0.0037276114
0.35567558,2.5097616,0.9757555,0.0035660602
0.34801114,2.5469096,0.9718389,0.0032395136
0.37779427,2.3576076,0.97137064,0.0059241294
0.3041188,3.170333,0.9766148,0.0030203736
0.3225633,3.246606,0.9801997,0.0024765898
0.30847618,3.1378171,0.9723637,0.0023353226
0.3232407,2.91448,0.9770761,0.0036391304
0.35935134,2.4504783,0.9826239,0.0044133323
0.34293252,2.7482498,0.9696518,0.0025474534
0.3243037,2.770839,0.98323786,0.0034040941
0.31192192,3.0664191,0.9842569,0.0027363785
0.32294977,2.8753967,0.98281866,0.002097599
0.33612508,2.5647492,0.9730741,0.0040621106
0.2804489,3.213838,0.9782971,0.0021260725
0.3095865,3.2370853,0.9770273,0.0013504184
0.35595244,2.7236667,0.9833958,0.002654526
0.34482783,2.5212724,0.98439366,0.0030320438
0.32323247,2.586929,0.9834319,0.0025242884
0.3642134,2.5913935,0.9765896,0.0038154526
0.33937645,2.6166575,0.9846341,0.0020062088
0.34490407,2.7120764,0.96885914,0.004666272
0.3141346,2.8933253,0.9844439,0.0020834992
0.3131882,3.1032608,0.9766981,0.0021352465
0.319583,2.8680248,0.9796379,0.0040009716
0.32100224,3.2778404,0.9470318,0.0036878109
0.32639062,2.845539,0.97676533,0.003915943
0.3045803,2.9313445,0.97293967,0.001936127
0.32004946,2.8760202,0.9689812,0.0019883362
0.31136274,3.1985083,0.9706471,0.004045508
0.30077583,2.9277468,0.9803919,0.00155581
0.31583768,3.0678406,0.9851097,0.001674499
0.29926077,2.899344,0.9851959,0.0023320222
0.31209147,2.9574404,0.9702594,0.0024489395
0.31269863,2.9369283,0.9662008,0.002202062
0.32906425,2.8204002,0.9782503,0.0029757214
0.2873068,3.3428116,0.9801381,0.0013815239
0.35017955,2.3847098,0.98042494,0.0028322858
0.28458488,3.1733036,0.9831282,0.0009982493
0.27527237,3.2589421,0.9837181,0.0012379558
0.30162343,3.063193,0.9761371,0.001326774
0.29703707,3.1014664,0.97646517,0.0022660627
0.27744615,3.5424538,0.9853559,0.0023072776
0.2841036,3.2477093,0.9787113,0.0011085845
0.28805193,3.0664892,0.9849045,0.0010007985
0.2691232,3.3449414,0.99015033,0.0011223081
0.27752578,3.2797909,0.9896159,0.0011667546
0.270255,3.566902,0.98798966,0.0010283956
0.2673203,3.5364807,0.9878011,0.0009031873
0.26413876,3.4226577,0.98680425,0.0008268594
0.29829276,2.940826,0.9817218,0.001384329
0.28261882,3.305896,0.99008405,0.0010736857
0.27262533,3.2501628,0.9870402,0.00071281777
0.30845273,2.9607942,0.98716366,0.0020961154
0.2876098,3.1809323,0.9903594,0.0015198904
0.3065868,2.9046378,0.9854388,0.0023238698
0.28211814,3.1246395,0.98729867,0.0008224608
0.31885633,2.9178872,0.9626164,0.0020486729
0.33052173,2.8655016,0.9724874,0.0020575987
0.3213512,2.8768983,0.9703297,0.0027884953
0.32202762,2.733202,0.97874546,0.0011871883
0.31276658,2.7470942,0.9823698,0.001871033
0.30267113,3.2348351,0.98617667,0.0014799752
0.3583356,2.5901093,0.95719236,0.0053979605
0.35580668,2.6623387,0.97153836,0.0057838345
0.3094982,2.8316193,0.98912907,0.0011447133
0.3133467,2.8587933,0.98627037,0.0026375481
0.3127762,3.171614,0.98226064,0.004178282
0.27772218,3.0737467,0.9848455,0.000642646
0.34557277,2.401736,0.98607826,0.004763801
0.31934857,2.9056964,0.9657468,0.0031944897
0.31021863,3.2823732,0.97121453,0.007292167
0.3215199,3.4060857,0.9775749,0.003478824
0.32351243,2.6804376,0.98872524,0.0015284561
0.32521805,2.802615,0.98242664,0.0022997668
0.32099572,2.712923,0.97461456,0.0014837711
0.32489347,2.5803936,0.981951,0.0021200175
0.30121753,3.0960457,0.9756718,0.0035235372
0.29022953,2.9426088,0.9829837,0.0017776348
0.32867032,2.945065,0.97740483,0.0018124836
0.29105306,3.4468765,0.971086,0.0016404517
0.3123311,3.1833143,0.9789903,0.0028509775
0.25725964,3.752345,0.98405623,0.0006868813
0.22290349,4.572382,0.9896975,0.00043935806
0.27244866,3.5241141,0.9923038,0.0014548558
0.28792107,3.378467,0.97261477,0.00096555904
0.27155706,3.7460983,0.99110097,0.0009688174
0.25963932,3.4417925,0.9907645,0.0010019095
0.30368638,3.2671402,0.9770682,0.0019239811
0.31745797,2.8934941,0.9820316,0.0028849219
0.28662276,3.5185056,0.9810326,0.000711826
0.27777934,3.7855392,0.98012507,0.0017518279
0.3080815,3.3475232,0.97238106,0.0021084745
0.29336956,3.427564,0.98119396,0.0019786535
0.282296,3.235929,0.98095316,0.00087178755
0.27599853,3.3912115,0.98506576,0.001134505
0.27599853,3.3912115,0.98506576,0.001134505
0.28077734,3.445269,0.9837931,0.0009642862
0.27950093,3.463991,0.97865146,0.00064890244
0.279742,3.6218534,0.9792827,0.002439688
0.28505817,3.3236673,0.984253,0.0029052426
0.30514032,2.6931252,0.9820219,0.0016345319
0.31025794,3.124096,0.98444116,0.0025675357
0.30445707,3.0865536,0.9748419,0.0025561203
0.30576625,3.1119518,0.9789368,0.002217568
0.29289225,3.121986,0.9789357,0.0020849006
0.2912753,3.1462867,0.9794033,0.00191233
0.31900495,2.7186232,0.9812821,0.0018628112
0.31650513,2.7158597,0.98314935,0.0016297619
0.34764364,2.6127164,0.9763566,0.0049639335
0.3487526,2.6534853,0.96351075,0.003606659
0.2754672,3.4347887,0.9897132,0.0013083919
0.26574597,3.7130628,0.98922056,0.0011563215
0.2776125,3.75795,0.9732255,0.0012781967
0.31344724,2.8991842,0.9823156,0.0036147854
0.27897117,3.3344433,0.9719285,0.001841077
0.31150344,2.779499,0.98060006,0.004059507
0.30059454,3.292726,0.979194,0.002101757
0.315596,2.7404015,0.98668915,0.0015053507
0.33637112,3.032178,0.958775,0.0033019795
0.30403888,3.3954804,0.9796878,0.00635219
0.30919042,3.4317317,0.9752364,0.003672359
0.34368646,2.8115773,0.96583116,0.003806783
0.29026377,3.4370542,0.98307854,0.0021705
0.29575476,3.0360916,0.98564386,0.0010818384
0.31228235,2.726168,0.9875722,0.0023051372
0.3086548,2.673976,0.98737353,0.0022791764
0.34252083,2.5350666,0.9682216,0.004214211
0.3374339,2.440267,0.9790309,0.0022495256
0.36298323,2.4386203,0.97993535,0.006911613
0.3654674,2.4702435,0.98334694,0.005282178
0.35007045,2.2780256,0.984309,0.0046152333
0.3935948,1.9753197,0.96152693,0.00546425
0.39418298,2.0202358,0.96928734,0.004929787
0.39418298,2.0202358,0.96928734,0.004929787
0.38145015,1.9184633,0.96653664,0.0047271196
0.2653659,3.8507133,0.97648513,0.001338003
0.3072196,3.0233994,0.9857013,0.0017307947
0.29735115,3.0964966,0.9856096,0.0016066664
0.2873032,3.1847672,0.9846207,0.0011367525
0.30746055,2.9154825,0.98797345,0.0021084603
0.30336946,2.6653705,0.98624516,0.001668872
0.2995778,3.1107059,0.97982556,0.002985191
0.31499392,3.1790562,0.97880846,0.00252646
0.3086169,2.8478816,0.9839219,0.0020435737
0.31291375,3.2747023,0.96740043,0.0025122783
0.33330646,2.6849353,0.98085046,0.003307524
0.38706267,2.1713467,0.9520861,0.0055423635
0.33522132,2.6754608,0.9793114,0.0026327681
0.28049937,3.3947835,0.97900826,0.0016089289
0.30262476,3.1025214,0.9870918,0.0016136004
0.2802094,3.215468,0.98742247,0.0010025683
0.31058735,3.0183194,0.98122543,0.0031849337
0.33574295,2.6653204,0.97399116,0.004616526
0.35190153,2.8964396,0.97125703,0.005296059
0.32376024,2.7460108,0.98403764,0.0026640997
0.33689082,2.626782,0.9840628,0.0025518856
0.26164684,3.786491,0.974415,0.00093619357
0.28193024,3.4125166,0.9923246,0.0011599024
0.3076127,2.8763092,0.9919585,0.0010350429
0.3058697,2.7194176,0.9925633,0.0015583424
0.30627647,2.8502011,0.98780316,0.0008201415
0.2924416,2.8514557,0.98743445,0.00085055555
0.27597988,3.3519084,0.99040025,0.0010281198
0.27346474,3.4954252,0.9906441,0.0011645345
0.29921103,3.305552,0.9842445,0.0018817282
0.28242385,3.475716,0.9865552,0.0027809937
0.34504524,2.591733,0.96326756,0.0022382087
0.33877796,3.2497933,0.9640848,0.0072745145
0.28833005,2.7983618,0.9880421,0.000819795
0.28802755,2.7809174,0.9875639,0.00087287434
0.3209219,3.0785425,0.9848408,0.002269555
0.31194407,3.075786,0.98505026,0.002582724
0.32194945,2.7236204,0.98553073,0.0016524838
0.33259028,2.6108527,0.9837773,0.0027691927
0.3057517,3.1267195,0.9809445,0.0025449016
0.3015383,3.1643095,0.97163504,0.0014095535
0.3027031,3.5605366,0.9687895,0.0046821292
0.31256464,3.29989,0.9587743,0.0033383376
0.32424945,2.6363509,0.9796892,0.0038968395
0.35975605,2.651038,0.97560775,0.0035712658
0.33295703,2.4886968,0.975747,0.0025708424
0.35737616,2.5133247,0.97640663,0.0029043246
0.35533905,2.4763272,0.9705732,0.0023712453
0.34389728,2.3885002,0.97228086,0.0020549097
0.319425,2.9076793,0.987298,0.0032239857
0.30864912,2.5984335,0.98743093,0.0008136473
0.26938203,3.797084,0.98957413,0.0021337506
0.28453487,3.5211492,0.9749215,0.0009423269
0.29519963,2.9830327,0.9894292,0.0030258477
0.30735752,3.0727024,0.9742653,0.0016501042
0.31465256,2.8145397,0.98418057,0.0037556512
0.33112982,2.814225,0.97010136,0.0038096101
0.3545691,2.5112867,0.9665895,0.0043142084
0.28340793,3.335252,0.98641205,0.0010839048
0.2962321,3.1088376,0.9887029,0.00136461
0.35119593,2.4893339,0.9813835,0.0036932793
0.34410334,2.7487826,0.96239805,0.0035971333
0.33725417,2.5989666,0.9832412,0.0031373673
0.35076874,2.3685312,0.9749119,0.0030528507
0.35715127,2.5619335,0.97595054,0.0044734674
0.33922112,2.5399504,0.97440153,0.0034700457
0.34562442,2.9652169,0.96858627,0.005018692
0.34519422,2.9191527,0.97285753,0.0039314185
0.3208401,2.8634682,0.9712966,0.0047546155
0.3393474,2.935389,0.9713279,0.0043587303
0.33673733,2.9535336,0.9717685,0.003691492
0.3363355,2.7408063,0.97299385,0.0015005464
0.3123719,2.5880926,0.9852035,0.0018389628
0.30717364,3.0136168,0.99191475,0.0021977937
0.26066902,3.9481676,0.98574543,0.0008029229
0.2686536,3.4507318,0.9867126,0.0009684376
0.3069987,2.8462992,0.9862838,0.0016843685
0.27978644,3.1281352,0.9913229,0.00095020613
0.2740457,2.9623632,0.9918867,0.0009704447
0.29343006,3.0188107,0.9836727,0.0021747136
0.3383695,2.8186026,0.966964,0.0025164557
0.32406145,2.7827668,0.9754514,0.0021179365
0.3257748,2.8415074,0.965844,0.001872928
0.3414012,2.951249,0.9677767,0.0039110547
0.35911,2.344189,0.9742425,0.004713633
0.3453496,2.7263625,0.96423596,0.004202651
0.345239,2.6219268,0.96454144,0.0029557294
0.32635587,2.8020713,0.98343635,0.003582913
0.34399158,2.6449056,0.9791533,0.003236483
0.29808795,3.2020774,0.98246694,0.0015224143
0.29203513,3.2851114,0.97496516,0.0013721039
0.28512087,3.6208622,0.9888249,0.0015282416
